map_order,relative_time_min,point_index,row,column,distance_nm,normalization_valid,normalization_denominator_pN,normalized_force
2,0.0,0,0,0,20.0,True,674.946620129585,1.0
2,0.0,0,0,0,25.0,True,674.946620129585,0.8112370705402009
2,0.0,0,0,0,30.0,True,674.946620129585,0.6742231106015524
2,0.0,0,0,0,35.0,True,674.946620129585,0.5606349043989097
2,0.0,0,0,0,40.0,True,674.946620129585,0.4876546990257098
2,0.0,0,0,0,45.0,True,674.946620129585,0.4108300036486435
2,0.0,0,0,0,50.0,True,674.946620129585,0.3514763559811107
2,0.0,0,0,0,55.0,True,674.946620129585,0.29061141504086885
2,0.0,0,0,0,60.0,True,674.946620129585,0.25896506103141853
2,0.0,0,0,0,65.0,True,674.946620129585,0.21428277256269532
2,0.0,0,0,0,70.0,True,674.946620129585,0.1993390781688506
2,0.0,0,0,0,75.0,True,674.946620129585,0.16497633025072822
2,0.0,0,0,0,80.0,True,674.946620129585,0.13963927732514567
2,0.0,0,0,0,85.0,True,674.946620129585,0.12609127961295255
2,0.0,0,0,0,90.0,True,674.946620129585,0.12155675474885307
2,0.0,0,0,0,95.0,True,674.946620129585,0.11947170485767142
2,0.0,0,0,0,100.0,True,674.946620129585,0.07898572205290201
2,0.0,0,0,0,105.0,True,674.946620129585,0.09019443802749219
2,0.0,0,0,0,110.0,True,674.946620129585,0.05417213687843988
2,0.0,0,0,0,115.0,True,674.946620129585,0.05799512576349866
2,0.0,0,0,0,120.0,True,674.946620129585,0.0498252304594172
2,0.0,0,0,0,125.0,True,674.946620129585,0.06126992278921947
2,0.0,0,0,0,130.0,True,674.946620129585,0.04926827935675179
2,0.0,0,0,0,135.0,True,674.946620129585,0.038373320032762094
2,0.0,0,0,0,140.0,True,674.946620129585,0.04940601357471065
2,0.0,0,0,0,145.0,True,674.946620129585,0.039639370812937794
2,0.0,0,0,0,150.0,True,674.946620129585,0.03359461029724071
2,0.0,0,0,0,155.0,True,674.946620129585,0.022799286115757572
2,0.0,0,0,0,160.0,True,674.946620129585,0.056915709205663856
2,0.0,0,0,0,165.0,True,674.946620129585,0.018012593892729935
2,0.0,0,0,0,170.0,True,674.946620129585,0.031794711984586346
2,0.0,0,0,0,175.0,True,674.946620129585,0.029862037836652387
2,0.0,0,0,0,180.0,True,674.946620129585,0.02679623479813547
2,0.0,0,0,0,185.0,True,674.946620129585,-0.012793278178976611
2,0.0,0,0,0,190.0,True,674.946620129585,-0.00148658353901682
2,0.0,0,0,0,195.0,True,674.946620129585,-0.006112439382472614
2,0.0,0,0,0,200.0,True,674.946620129585,0.0
2,0.0,1,0,1,20.0,True,604.745323587619,1.0
2,0.0,1,0,1,25.0,True,604.745323587619,0.8196627588693163
2,0.0,1,0,1,30.0,True,604.745323587619,0.6790958168632747
2,0.0,1,0,1,35.0,True,604.745323587619,0.5347478118595193
2,0.0,1,0,1,40.0,True,604.745323587619,0.45287835210327315
2,0.0,1,0,1,45.0,True,604.745323587619,0.36078769943200295
2,0.0,1,0,1,50.0,True,604.745323587619,0.31822074983122256
2,0.0,1,0,1,55.0,True,604.745323587619,0.2838116615329447
2,0.0,1,0,1,60.0,True,604.745323587619,0.22600080410748274
2,0.0,1,0,1,65.0,True,604.745323587619,0.19624062353030286
2,0.0,1,0,1,70.0,True,604.745323587619,0.14620243827325508
2,0.0,1,0,1,75.0,True,604.745323587619,0.1281580986513943
2,0.0,1,0,1,80.0,True,604.745323587619,0.11831041089120445
2,0.0,1,0,1,85.0,True,604.745323587619,0.10086756652801734
2,0.0,1,0,1,90.0,True,604.745323587619,0.07796303616831193
2,0.0,1,0,1,95.0,True,604.745323587619,0.07432614943844164
2,0.0,1,0,1,100.0,True,604.745323587619,0.047029400663451966
2,0.0,1,0,1,105.0,True,604.745323587619,0.0247881788676149
