metric,dataset,Moran_I_rook_neighbors,Moran_permutation_p_two_sided,horizontal_neighbor_Spearman_rho,horizontal_neighbor_p_naive,vertical_neighbor_Spearman_rho,vertical_neighbor_p_naive,finite_pixels,variance,Moran_BH_q_across_spatial_tests
apparent_lambda_D_nm,map2,0.6255285073471286,0.0002,0.7685821929694495,4.649589923376092e-12,0.4205421907435504,0.0012503612163487286,64,30.352978841168756,0.0002745098039215686
apparent_lambda_D_nm,map3,0.3217791006008877,0.0002,0.7911980887113146,3.968582420613103e-13,0.37615796681956976,0.00427436309143652,64,1537.371137292261,0.0002745098039215686
apparent_lambda_D_nm,map4,0.33382883387124795,0.0002,0.8157692206990423,1.8956765717118023e-14,0.35669683382307626,0.00696604795092556,64,467.67149892392416,0.0002745098039215686
apparent_lambda_D_nm,map5,0.25722895494023795,0.0026,0.32170918664784626,0.015614183035047947,0.20974739769517023,0.12077736640265585,64,19.295704484533736,0.003309090909090909
apparent_lambda_D_nm,map5_minus_map2,0.47553042320443994,0.0002,0.6690819608802439,1.7317865460232797e-08,0.3708665858326448,0.004895640957699055,64,71.47288505017359,0.0002745098039215686
apparent_zeta_magnitude_mV,map2,0.6621299594644392,0.0002,0.7727384099306439,3.02148116350281e-12,0.6585787682117046,3.4453366499625105e-08,64,51.919642857142854,0.0002745098039215686
apparent_zeta_magnitude_mV,map3,0.37058892944866056,0.0004,0.6484924186012134,6.505716814273733e-08,0.4589250931187844,0.00037446169569340174,64,102.00837053571429,0.0005384615384615384
apparent_zeta_magnitude_mV,map4,0.45254918117210835,0.0002,0.6552022115466447,4.2736374274169523e-08,0.4713452009247541,0.0002457006434503418,64,61.919642857142854,0.0002745098039215686
apparent_zeta_magnitude_mV,map5,0.5208548171226715,0.0002,0.6328826644006214,1.6633542792389362e-07,0.6333286698339226,1.6205078882839706e-07,64,61.767299107142854,0.0002745098039215686
apparent_zeta_magnitude_mV,map5_minus_map2,-0.004451828352775768,0.8974,-0.03823000082938165,0.7796793907710513,0.12929841961354763,0.34223812780473384,64,33.396763392857146,0.8974
fitted_baseline_pN,map2,0.513837502657056,0.0002,0.7036226930963774,1.4645318599422824e-09,0.3559808612440192,0.007088421983012684,64,7640.5820511269885,0.0002745098039215686
fitted_baseline_pN,map3,0.5052096625649787,0.0002,0.6546138072453863,4.435911934465113e-08,0.36589200273410805,0.005550732243259905,64,10771.399285636526,0.0002745098039215686
fitted_baseline_pN,map4,0.4208561820098442,0.0002,0.5842788790157212,2.2716204764802695e-06,0.22761449077238552,0.09158053139983446,64,6390.713761285427,0.0002745098039215686
fitted_baseline_pN,map5,0.13352181106916416,0.1114,0.12344497607655504,0.36471576858745414,0.10013670539986332,0.46276475419215835,64,3213.404063813702,0.12377777777777778
fitted_baseline_pN,map5_minus_map2,0.4430917238409185,0.0002,0.6437457279562543,8.703893162490943e-08,0.2609022556390977,0.052117555449749706,64,12244.092867282148,0.0002745098039215686
