map_order,relative_time_min,point_index,row,column,window,far_baseline_150_200nm_pN,positive_fit_bins,log_force_slope_per_nm,log_force_intercept,log_linear_r2,apparent_local_decay_length_nm,fit_status
2,0.0,0,0,0,20_60nm,-39.67526965666011,9,-0.03538191197719758,7.163728736089478,0.9979224105548433,28.263028878836888,negative_log_slope
2,0.0,1,0,1,20_60nm,-43.92530893071031,9,-0.03615885228561375,7.101598732725429,0.9935532199252746,27.655745046915175,negative_log_slope
2,0.0,2,0,2,20_60nm,24.458683350854756,9,-0.03553867050109814,6.7940243846364305,0.9913366741435032,28.138362687740393,negative_log_slope
2,0.0,3,0,3,20_60nm,-7.132402498178115,9,-0.034539243049089195,6.519637217576541,0.9907718588879646,28.952574281339675,negative_log_slope
2,0.0,4,0,4,20_60nm,-92.68012938724802,9,-0.0417379378781251,6.813231254804902,0.9907459657766178,23.959017882483863,negative_log_slope
2,0.0,5,0,5,20_60nm,-93.26929572194058,9,-0.031418407228286926,6.518420550812513,0.9937317404651801,31.828475349942956,negative_log_slope
2,0.0,6,0,6,20_60nm,-49.28495221847881,9,-0.030066502010960564,6.379375073327806,0.9936646836495837,33.259605644695746,negative_log_slope
2,0.0,7,0,7,20_60nm,55.45308091224646,9,-0.03213740170369036,6.419110377908142,0.9874708727967564,31.116392333770072,negative_log_slope
2,0.0,8,1,7,20_60nm,84.29992102256583,9,-0.03388367770081448,6.739875774244226,0.9789843465196486,29.512734976108057,negative_log_slope
2,0.0,9,1,6,20_60nm,5.303351606085039,9,-0.03152095805153671,6.82532982136507,0.9935638045589251,31.72492404466266,negative_log_slope
2,0.0,10,1,5,20_60nm,-75.45523089914744,9,-0.02600328819150573,6.329824184863267,0.989966810668177,38.45667488801133,negative_log_slope
2,0.0,11,1,4,20_60nm,-166.73787338273172,9,-0.032893393153538265,6.325881299694128,0.9933138615178314,30.401241833952675,negative_log_slope
2,0.0,12,1,3,20_60nm,-110.71835922873913,9,-0.03100551812361403,6.195758321258923,0.9869851013152715,32.25232347394294,negative_log_slope
2,0.0,13,1,2,20_60nm,-147.40858908229552,9,-0.03432743270880774,6.160045501421861,0.9816353608865217,29.13122016676242,negative_log_slope
2,0.0,14,1,1,20_60nm,-113.54236032317708,9,-0.03073564174141824,6.491864725963882,0.9560893866425975,32.53551718272523,negative_log_slope
