map_order,relative_time_min,point_index,row,column,rmse_pN,mean_residual_pN,median_residual_pN,lag1_residual_Pearson_rho,Durbin_Watson,residual_sign_runs,runs_test_z,runs_test_p_naive_correlated_bins
2,0.0,0,0,0,12.284891240899427,-3.4566943901842714e-15,1.8318005540594058,0.508145064636546,0.9270952878990786,12,-2.36731353114351,0.01791774654107456
2,0.0,1,0,1,11.073103031016846,1.7379491239537586e-14,0.7140876517974348,0.6081918492075081,0.7617814409781656,9,-3.484356088645901,0.0004933226775485019
2,0.0,2,0,2,10.545134543251447,-1.1138237479482651e-14,0.7727572915616605,0.5174409786857214,0.8638259051392149,14,-1.8056949521888914,0.07096600157621807
2,0.0,3,0,3,8.894600736958544,1.0562121747785272e-14,-0.1629858683466523,0.39421448703113177,1.1312160658167478,17,-0.8297722115409967,0.40666758491137867
2,0.0,4,0,4,7.234563339181968,-6.721350203136083e-15,1.0921667786966083,-0.22671383052243133,2.177262123153599,23,1.3042717735934395,0.1921409357235333
2,0.0,5,0,5,11.132323164190417,6.721350203136083e-15,-0.7720865900717513,0.5578517745847985,0.8402460456607408,12,-2.4983358977919132,0.012477789910120008
2,0.0,6,0,6,6.4479032523718125,-5.761157316973786e-16,0.4408987862902123,0.1560695427332439,1.5589012662705575,14,-1.8309104232915465,0.0671139143096102
2,0.0,7,0,7,12.088236783607044,-1.51710476013643e-14,0.8638496486475731,0.6997485901625591,0.560374083411515,8,-3.7934101584090874,0.00014859240887383818
2,0.0,8,1,7,15.220286110250727,2.9765979471031226e-14,1.2633573625198693,0.5772181010613864,0.7278407049554219,12,-2.43402830987508,0.014931827188895736
2,0.0,9,1,6,15.1100952752619,1.0706150680709618e-14,1.616177700111507,0.6852096623194325,0.5981702205981291,6,-4.500612321293013,6.77579882394268e-06
2,0.0,10,1,5,10.223966831706369,-1.1138237479482651e-14,-1.4837067832259692,0.5205741111301795,0.8999872769764075,10,-3.1137192341420836,0.0018474520055344445
2,0.0,11,1,4,8.579061444413366,5.857176605590015e-15,-1.617703670565703,0.4124545781139483,1.107497914590012,11,-2.812891634063097,0.004909819436614774
2,0.0,12,1,3,7.553021512418904,-1.3250661829039707e-14,1.0545255652110228,0.05462679264407171,1.543956629235374,13,-2.16462316054173,0.030416555859351053
2,0.0,13,1,2,8.250169098768806,2.3620744999592518e-14,-0.9270518358710831,0.3532087469544582,1.1491454606714113,19,-0.16234673704063013,0.8710328119798447
2,0.0,14,1,1,10.42179598856248,-3.0726172357193523e-15,-0.032331901525992635,0.1674441728054105,1.5484800500225626,16,-1.16348494879118,0.2446328013015212
2,0.0,15,1,0,10.580032705968607,-2.6885400812544333e-15,0.9488237106543735,0.4431312156017189,1.0247200853192895,10,-3.1137192341420836,0.0018474520055344445
2,0.0,16,2,0,15.621331565501094,-1.9203857723245952e-15,-0.7622905230378336,0.7371106083173437,0.49422699603997017,8,-3.833186846792646,0.00012649379958034248
2,0.0,17,2,1,8.573918109797876,3.74475225603296e-15,-0.12412239674051762,0.5768993833299535,0.8402870459551568,12,-2.4983358977919132,0.012477789910120008
2,0.0,18,2,2,9.20518476290548,-2.0356089186640708e-14,1.2617370399070325,0.10356602123357096,1.7825670847578179,21,0.5444306388509218,0.5861451666738509
2,0.0,19,2,3,6.74764956310713,-1.7859587682618735e-14,-0.7666639104657236,0.24113407819282615,1.5014712418978977,15,-1.4144919234745748,0.15721751709835763
2,0.0,20,2,4,8.652782960442812,-2.880578658486893e-16,1.7586620903922636,0.27923582645633027,1.4094695119997032,11,-2.6294476813246472,0.008552369056072024
2,0.0,21,2,5,15.003642882616647,7.393485223449691e-15,2.053209260252004,0.6457428827617698,0.5926750338177954,6,-4.491552770520107,7.070577646318873e-06
2,0.0,22,2,6,19.463972543662308,1.5363086178596762e-15,3.1272392966221076,0.7586245700822526,0.4436304305987277,8,-3.8200883159373027,0.00013340389842214498
