map_order,relative_time_min,distance_nm,valid_pixels,normalized_force_median,normalized_force_q25,normalized_force_q75
2,0.0,20.0,64,1.0,1.0,1.0
2,0.0,25.0,64,0.8088945065781044,0.7727685982972912,0.8382525096887677
2,0.0,30.0,64,0.6591480358285271,0.6247790582220601,0.6904406973349846
2,0.0,35.0,64,0.5539061202050546,0.5038487295093809,0.5840490346705622
2,0.0,40.0,64,0.46662515570914986,0.408283674941747,0.5018189286744984
2,0.0,45.0,64,0.39219284177202174,0.3519779381628826,0.44184572117896975
2,0.0,50.0,64,0.33712640414880835,0.28837897924716915,0.38163801888730825
2,0.0,55.0,64,0.2830624778889992,0.24027024084144716,0.3282569807196198
2,0.0,60.0,64,0.24527273984357684,0.2074588841660949,0.2977115834192307
2,0.0,65.0,64,0.20614433447074193,0.14742480793490334,0.24702389596600893
2,0.0,70.0,64,0.17519699336214395,0.12539837052197517,0.23550893246439106
2,0.0,75.0,64,0.16240805627975854,0.11018866005171511,0.21189198270314433
2,0.0,80.0,64,0.13582470769099494,0.06185178954408395,0.20405877066297207
2,0.0,85.0,64,0.12753798843595432,0.06987975448581572,0.18975999872972824
2,0.0,90.0,64,0.09788030542711362,0.06203145260766056,0.14208425980913586
2,0.0,95.0,64,0.08870776733703903,0.042116657464464344,0.13407669549552792
2,0.0,100.0,64,0.07651458198842816,0.0300633332778014,0.13793451220057534
2,0.0,105.0,64,0.07086797126976865,0.016350411840812023,0.12119566147010605
2,0.0,110.0,64,0.05445507659149919,0.01601824246329686,0.10031838590419229
2,0.0,115.0,64,0.05766497158170311,0.015053523855578954,0.10253595312939226
2,0.0,120.0,64,0.04356640815413913,0.008900072121873593,0.0949278714974297
2,0.0,125.0,64,0.04061569862112126,0.006320064258547865,0.0775053985854476
2,0.0,130.0,64,0.02599273020084939,-0.001820067759602674,0.0654871812989093
2,0.0,135.0,64,0.026291438349934828,-0.0006628521523973359,0.053285018284383326
2,0.0,140.0,64,0.022199436145041954,-0.013821644427973836,0.059261363593829545
2,0.0,145.0,64,0.015277068841074349,-0.011888804074401793,0.04690880686748168
2,0.0,150.0,64,0.014512053480896379,-0.009709230633608052,0.05441594362553811
2,0.0,155.0,64,0.01757369316721456,-0.018609834330694457,0.04603296750558852
2,0.0,160.0,64,0.01522455359122716,-0.011542288997520429,0.04324797358333743
2,0.0,165.0,64,0.006118678002323947,-0.019505661185606957,0.03333537587465531
2,0.0,170.0,64,0.007075390902920629,-0.0173142054512486,0.024957005234192312
2,0.0,175.0,64,0.004684741861873991,-0.009427851824164783,0.021498182999547998
2,0.0,180.0,64,0.005372093051134221,-0.01643437406599707,0.027383030537112264
2,0.0,185.0,64,0.0013872491366324563,-0.012898686312630657,0.0245620776710328
2,0.0,190.0,64,0.002775592297452779,-0.008977015694106175,0.015724414777284063
2,0.0,195.0,64,0.0006614358197379919,-0.017667184533927138,0.013556941375601234
2,0.0,200.0,64,0.0,0.0,0.0
3,27.161,20.0,64,1.0,1.0,1.0
3,27.161,25.0,64,0.7765871631634489,0.7262946793589795,0.7974178282702464
3,27.161,30.0,64,0.5804180296268772,0.5240878559254957,0.6402988453321715
3,27.161,35.0,64,0.442461827022127,0.370678616428666,0.5357678622306676
3,27.161,40.0,64,0.33815359476920925,0.25177189011281176,0.46613772046131613
3,27.161,45.0,64,0.24635466111574153,0.15651752786020612,0.3502621843027882
3,27.161,50.0,64,0.19841437495931802,0.07474934615817333,0.3065244053481577
3,27.161,55.0,64,0.13096070647968439,0.02028695919499283,0.25142803987080886
3,27.161,60.0,64,0.08806148178424814,-0.02150555005429237,0.20503669419595189
3,27.161,65.0,64,0.05450931933635487,-0.05583295835485815,0.17730286084537414
3,27.161,70.0,64,0.03852349419168967,-0.10201469481447484,0.1473530006939629
3,27.161,75.0,64,0.01291885196507464,-0.11311569764221739,0.124004717897681
3,27.161,80.0,64,-0.0021074018428422015,-0.12908936342835428,0.11551333290765078
3,27.161,85.0,64,-0.01637294463941135,-0.14422642737068242,0.10532120743605464
3,27.161,90.0,64,-0.031281973838082525,-0.15133363179442227,0.0952826994546592
3,27.161,95.0,64,-0.042853066645609034,-0.16080182466160717,0.08574536869801092
3,27.161,100.0,64,-0.041279215499852716,-0.1797859475972092,0.08371986110835662
3,27.161,105.0,64,-0.05739009937470381,-0.15662874964668572,0.0693581439548907
3,27.161,110.0,64,-0.03987426366788649,-0.17247644218291494,0.062081153888184304
3,27.161,115.0,64,-0.053753784394867304,-0.17062454503864477,0.05086834968981631
3,27.161,120.0,64,-0.05409521918553921,-0.1514851693561563,0.04762729944777454
3,27.161,125.0,64,-0.040834896962473596,-0.15471899396353028,0.04257964682217171
3,27.161,130.0,64,-0.04487315490108089,-0.1461356699009027,0.03819102807284467
3,27.161,135.0,64,-0.0347523533660993,-0.14104727951696847,0.02482969711349549
3,27.161,140.0,64,-0.028055665028962715,-0.12867017912195336,0.03840943680175094
3,27.161,145.0,64,-0.03194377660610292,-0.12998544352999056,0.02616154534068145
3,27.161,150.0,64,-0.02621673945330137,-0.11719899273829718,0.0246672625032091
3,27.161,155.0,64,-0.02079560325327289,-0.10915539262324708,0.034125054167158955
3,27.161,160.0,64,-0.024421204897300028,-0.09198191076504601,0.019390458768132963
3,27.161,165.0,64,-0.01204887373013647,-0.08237287566451514,0.020151923430283616
3,27.161,170.0,64,-0.01708112920328343,-0.057409620223872665,0.016774225287841237
3,27.161,175.0,64,-0.01025170883168096,-0.04261484003978243,0.01449355313348633
3,27.161,180.0,64,-0.014113132982823915,-0.044583683885834904,0.01657964136792609
3,27.161,185.0,64,-0.007996367071385437,-0.02948753624685469,0.012040978274486292
3,27.161,190.0,64,-0.008318697691288627,-0.024380850177771803,0.014167630124247052
3,27.161,195.0,64,-0.0020985481891118325,-0.025448715032238056,0.015452192796240695
3,27.161,200.0,64,0.0,0.0,0.0
4,53.33301666666667,20.0,64,1.0,1.0,1.0
4,53.33301666666667,25.0,64,0.7350444586179035,0.6935850324173614,0.782958798188292
4,53.33301666666667,30.0,64,0.5151489258509747,0.44832298353672284,0.6093875502747184
4,53.33301666666667,35.0,64,0.3543645769022289,0.24200436703367817,0.46911660304707614
4,53.33301666666667,40.0,64,0.25276617201435125,0.13792538713909455,0.37263688161391406
4,53.33301666666667,45.0,64,0.17436683720939988,0.031088021289950096,0.3075887846467521
4,53.33301666666667,50.0,64,0.10855636831881715,-0.057688102490265576,0.27788781897786435
4,53.33301666666667,55.0,64,0.041773802151824954,-0.08596996952488553,0.19663180233015673
4,53.33301666666667,60.0,64,0.005570517432073794,-0.15930803543806243,0.19129728305355018
4,53.33301666666667,65.0,64,-0.010427692794484059,-0.21133067622934265,0.1661357595482884
4,53.33301666666667,70.0,64,-0.03487270136215613,-0.2392514151834978,0.1317771475185197
4,53.33301666666667,75.0,64,-0.05089295197944062,-0.2194512359606227,0.12644474087014862
4,53.33301666666667,80.0,64,-0.08372825926373642,-0.25999564017828564,0.1015739066714439
4,53.33301666666667,85.0,64,-0.08701913065828681,-0.24356169341571454,0.09941382536482453
4,53.33301666666667,90.0,64,-0.09759592879948506,-0.24483666542619695,0.08626995363290603
4,53.33301666666667,95.0,64,-0.08898405552029012,-0.27561993011371716,0.0694710708122733
4,53.33301666666667,100.0,64,-0.06821120040357441,-0.2715423118305019,0.055504990748818796
4,53.33301666666667,105.0,64,-0.06667917420046562,-0.24763108385306612,0.05061813075180456
4,53.33301666666667,110.0,64,-0.07608369280570249,-0.25217820481973136,0.05267059946659128
4,53.33301666666667,115.0,64,-0.0803740210236431,-0.22979768895405223,0.04513288577777516
4,53.33301666666667,120.0,64,-0.055300041274324904,-0.23702614725676424,0.04787396956533343
4,53.33301666666667,125.0,64,-0.05967227773610766,-0.22531173915340214,0.0366453761196515
4,53.33301666666667,130.0,64,-0.06272158622171511,-0.21631357951083743,0.033266376886377985
4,53.33301666666667,135.0,64,-0.06069785640939441,-0.1784140971847072,0.025653891618698077
4,53.33301666666667,140.0,64,-0.07576287567517746,-0.1925932019900191,0.028824208177459558
4,53.33301666666667,145.0,64,-0.05621250864588079,-0.15801285801881276,0.02100863500527982
4,53.33301666666667,150.0,64,-0.047244052946969116,-0.1580393957354589,0.018753820779323395
4,53.33301666666667,155.0,64,-0.046660713855804885,-0.12311810200662883,0.026232668185008797
4,53.33301666666667,160.0,64,-0.04170219742208911,-0.12276691168882373,0.020452886203707665
4,53.33301666666667,165.0,64,-0.02367461580676468,-0.11665189289240771,0.025133749658972637
4,53.33301666666667,170.0,64,-0.021614804295373827,-0.07249502635639457,0.016863687484626737
4,53.33301666666667,175.0,64,-0.02197590957805249,-0.05738112538357172,0.011874979977083928
4,53.33301666666667,180.0,64,-0.011773367304798988,-0.0776115351924173,0.013653810788564225
4,53.33301666666667,185.0,64,-0.0069519238376539744,-0.041520924041652744,0.012952705662536122
4,53.33301666666667,190.0,64,-0.0034702673856577145,-0.034405374498169404,0.013386205796505991
4,53.33301666666667,195.0,64,-0.001902583440986178,-0.018150949757215335,0.009436194543424474
4,53.33301666666667,200.0,64,0.0,0.0,0.0
5,78.6563,20.0,60,1.0,1.0,1.0
5,78.6563,25.0,60,0.6945547368163589,0.6460198543877398,0.735051654719722
5,78.6563,30.0,60,0.47448697126149086,0.4191678659319686,0.5766577426412627
5,78.6563,35.0,60,0.3350431333645707,0.24862593805061825,0.3885020368369484
5,78.6563,40.0,60,0.21467154933171947,0.13296666570046517,0.25499331095144173
5,78.6563,45.0,60,0.15337799050927964,0.10036169730093783,0.2249609642099906
5,78.6563,50.0,60,0.09848521914003183,0.015139973063966486,0.1671914402415976
5,78.6563,55.0,60,0.05974260847533139,-0.0218935753258744,0.1284675888209304
5,78.6563,60.0,60,0.03133432105465177,-0.05148698484771853,0.08376766234512457
5,78.6563,65.0,60,0.030544882996284585,-0.06383141825802247,0.059136109269883955
5,78.6563,70.0,60,-0.003263688839740054,-0.07889527163661972,0.04789768972105027
5,78.6563,75.0,60,-0.0017869856055891238,-0.08767531271451581,0.07149423437244576
5,78.6563,80.0,60,-0.0027495505908279416,-0.1076519123785046,0.04727779056788035
