map_order,relative_time_min,distance_nm,residual_mean_pN,residual_median_pN,residual_q25_pN,residual_q75_pN,residual_std_pN,one_sample_t_p_naive_pixels,exact_physical_row_signflip_p,exact_row_signflip_BH_q_across_distance_tests
2,0.0,20.0,18.301823650226215,17.214064920593472,8.595618487836134,24.767223392830026,14.099313706280771,2.8146743581402317e-15,0.0078125,0.13444767441860464
2,0.0,25.0,-2.678079501238262,-0.7832391805821004,-10.725861371552313,5.452908523582401,12.143250950327287,0.08252492331997766,0.609375,0.7080910852713178
2,0.0,30.0,-11.476299702425715,-11.248240177533432,-16.927451576668666,-2.0471223984893214,11.996304332454315,1.442740241808966e-10,0.0078125,0.13444767441860464
2,0.0,35.0,-11.662288838763851,-12.070673803071216,-18.907146754444412,-3.8420184715420556,11.504919645358818,2.2966348714749036e-11,0.0078125,0.13444767441860464
2,0.0,40.0,-9.775484734758514,-9.124326443651086,-16.66602337164334,-2.6184458780687,9.900007808668867,5.350984451403639e-11,0.015625,0.13444767441860464
2,0.0,45.0,-5.589358731190556,-4.85054662508254,-14.415226888914717,2.7897745885027945,11.512396326995827,0.00024901455975008855,0.0546875,0.1371822033898305
2,0.0,50.0,-3.3978142980197883,-4.613409446221206,-10.294125805773723,4.6318459373537095,10.447021665383186,0.01154099742004111,0.125,0.21511627906976744
2,0.0,55.0,-1.2537190175998565,-2.7650148039993994,-8.279465802222393,4.670148842973369,10.181931384478313,0.3283656306418282,0.3046875,0.40994318181818185
2,0.0,60.0,1.374028428195733,1.0465788997319834,-5.966354475236847,7.455151604358103,8.808312850736883,0.2166722415160938,0.5078125,0.6211260330578512
2,0.0,65.0,1.9423976807738796,0.9245653243583902,-4.464701291553726,8.178530111515371,9.351246054006179,0.10153699166662924,0.671875,0.742070895522388
2,0.0,70.0,4.246202261626071,3.909088438120005,-1.956706533149724,10.048792064269618,9.35197291812589,0.000565545749939241,0.2109375,0.30606617647058826
