metric,point_index,row,column,valid_timepoints,linear_slope_per_min,linear_intercept,linear_r2,fitted_map5_minus_map2_change,observed_map5_minus_map2,strictly_decreasing,strictly_increasing
apparent_lambda_D_nm,0,0,0,4,-0.16333055610074587,23.67705983791525,0.9623664402970682,-12.846977219827098,-12.701872169094486,True,False
apparent_lambda_D_nm,1,0,1,4,-0.15591227681093545,21.895369436474567,0.8703765683710443,-12.263482818523983,-12.663526432621582,True,False
apparent_lambda_D_nm,2,0,2,4,-0.14693391760292746,20.890328730651444,0.7097165173239021,-11.557278303151143,-11.936331995357037,False,False
apparent_lambda_D_nm,3,0,3,4,-0.1424907997041675,20.596641270711512,0.6637138610807323,-11.20779908877091,-11.936331995357037,False,False
apparent_lambda_D_nm,4,0,4,4,-0.17834114076480262,19.380027766232285,0.970585396669746,-14.027654270338545,-14.580642105177212,True,False
apparent_lambda_D_nm,5,0,5,4,-0.2954590017401339,25.67555730169439,0.9013871578299247,-23.239711878572493,-24.1805318584628,True,False
apparent_lambda_D_nm,6,0,6,4,-0.22278459726800956,25.77604717698042,0.9697986664583373,-17.52341211809174,-18.087863701325624,True,False
apparent_lambda_D_nm,7,0,7,4,-0.23423770218607726,31.627293929632426,0.8641341488399851,-18.42427097445875,-17.989400724127186,False,False
apparent_lambda_D_nm,8,1,7,4,-0.062426249345788734,23.376856293967368,0.7317224020416604,-4.910217796417163,-5.900029359673315,False,False
apparent_lambda_D_nm,9,1,6,4,-0.21246702191842187,27.79562704163903,0.962299753623928,-16.71186981612197,-17.75368205759864,True,False
apparent_lambda_D_nm,10,1,5,4,-0.2958214747491372,29.473247168895682,0.895654277171745,-23.268222664310564,-24.017631024357872,True,False
apparent_lambda_D_nm,11,1,4,4,-0.20882253598517464,23.209225060092866,0.8924392746260642,-16.42520803721069,-16.43035066995725,True,False
apparent_lambda_D_nm,12,1,3,4,-0.156530939109001,20.88128586519433,0.5323261420168661,-12.312144505839317,-12.717286612488893,False,False
apparent_lambda_D_nm,13,1,2,4,-0.1537168253157358,19.215550322543137,0.5709470427441521,-12.09079672708211,-11.921864136018359,False,False
apparent_lambda_D_nm,14,1,1,4,-0.2011576302749408,23.070641999176896,0.7095227537373022,-15.822314914194827,-16.223442112047177,False,False
apparent_lambda_D_nm,15,1,0,4,-0.1259490062539749,21.219188618034167,0.8121253764683771,-9.906682820614526,-10.013704475269636,False,False
apparent_lambda_D_nm,16,2,0,4,-0.3058540558534181,30.49414516211241,0.8219093231472565,-24.057348373423213,-24.347116403730674,True,False
apparent_lambda_D_nm,17,2,1,4,-0.28051072946868183,26.761875739261292,0.8246178706860948,-22.06393609030748,-22.28207890884666,True,False
apparent_lambda_D_nm,18,2,2,4,-0.23871491037598605,23.691678067670182,0.635598674144889,-18.77643160500667,-18.32526327561785,False,False
apparent_lambda_D_nm,19,2,3,4,-0.16350780523725889,22.190918630877224,0.42413225526562576,-12.860918981083406,-13.077773394309348,False,False
apparent_lambda_D_nm,20,2,4,4,-0.2735875199446498,27.7647498749753,0.8972804134263898,-21.519382045022358,-22.013031329078586,True,False
apparent_lambda_D_nm,21,2,5,4,-0.3000577290894863,30.152192226635066,0.994359942880954,-23.60143075658136,-24.15334320289346,True,False
apparent_lambda_D_nm,22,2,6,4,-0.16372967269768152,25.975770927485872,0.9460629903654706,-12.878370254610648,-13.492058970135943,True,False
apparent_lambda_D_nm,23,2,7,4,-0.06271470791063001,20.979724145801995,0.5783096658192776,-4.932906879830887,-5.339551381303201,False,False
apparent_lambda_D_nm,24,3,7,4,-0.027512350255579392,17.633761982191942,0.8846276319594439,-2.1640196754079293,-2.0619502329956596,False,False
apparent_lambda_D_nm,25,3,6,4,-0.10256685628656753,21.685614121684537,0.9531113311120604,-8.067529418133143,-8.599057654890421,True,False
apparent_lambda_D_nm,26,3,5,4,-0.25653436898209375,32.29668739450868,0.8921523433050471,-20.178044286966262,-18.568570923524277,False,False
apparent_lambda_D_nm,27,3,4,4,-0.23834475758457277,32.23502575292946,0.7637154290206326,-18.74731675599943,-15.368416846401345,False,False
apparent_lambda_D_nm,28,3,3,4,-0.33575953303491235,32.8154492387405,0.9193566144548244,-26.409602558253976,-27.802808273748614,True,False
apparent_lambda_D_nm,29,3,2,4,-0.31541261773541235,31.704521237602947,0.885418308744492,-24.809189484381914,-24.347116403730674,True,False
apparent_lambda_D_nm,30,3,1,4,-0.2735488355256386,30.212359613939753,0.8383807551909348,-21.516339271755285,-20.0268573787082,False,False
apparent_lambda_D_nm,31,3,0,4,-0.28626361464431804,29.992360311249993,0.9402905148092978,-22.516436752547875,-20.661235228436386,True,False
apparent_lambda_D_nm,32,4,0,4,-0.10060787556408636,32.16828576721913,0.06880112581217,-7.9134432427314465,-9.701368149467731,False,False
apparent_lambda_D_nm,33,4,1,4,-0.23765845209635997,39.68393019797708,0.2811931984669783,-18.69333450562692,-13.53885673426524,False,False
apparent_lambda_D_nm,34,4,2,4,-0.39647558248476916,44.08493099702405,0.7546996665414972,-31.18530235859675,-29.922396356411067,False,False
apparent_lambda_D_nm,35,4,3,4,-0.3364531785603535,43.21102921960549,0.6153313760137902,-26.464162148796735,-28.958577663504574,False,False
apparent_lambda_D_nm,36,4,4,4,-0.19991152902361317,36.57097108899459,0.3861558328470351,-15.724301200340024,-14.435824652848401,False,False
apparent_lambda_D_nm,37,4,5,4,-0.11524026801769077,24.517543169150127,0.5801605213339474,-9.06437309327989,-9.005250520727548,False,False
apparent_lambda_D_nm,38,4,6,4,-0.06000134912063755,18.114057805962993,0.9429341744163338,-4.719484116837603,-4.578886671711528,True,False
apparent_lambda_D_nm,39,4,7,4,-0.06986686078230078,18.185665649511392,0.8609157487034855,-5.495468761750885,-5.605774754933757,True,False
apparent_lambda_D_nm,40,5,7,4,-0.11725362362878977,20.418148108131565,0.9707137244414517,-9.222736196233177,-9.105617776005008,True,False
apparent_lambda_D_nm,41,5,6,4,-0.0863573167926806,16.6652672342148,0.684342157005789,-6.792547016840124,-6.981248403769836,False,False
apparent_lambda_D_nm,42,5,5,4,-0.09582152844080565,18.075012914894305,0.9671616892519985,-7.536966887498541,-7.33908532815917,True,False
apparent_lambda_D_nm,43,5,4,4,-0.05066368786788286,22.476896918276445,0.026019580102852657,-3.9850182320425547,0.8520389956989192,False,False
apparent_lambda_D_nm,44,5,3,4,0.3888934027358139,52.72201248912501,0.042399218393626655,30.588916153609,6.779635606404504,False,False
apparent_lambda_D_nm,45,5,2,4,-0.6402743044602772,131.56723507956048,0.027157098076620086,-50.361607773918905,15.322962247594557,False,False
apparent_lambda_D_nm,46,5,1,4,-0.11661306955942007,69.14918256810908,0.005005406568946285,-9.172352583186612,5.716002209993121,False,False
apparent_lambda_D_nm,47,5,0,4,0.07565150215750793,20.566975420478357,0.09632679985986906,5.9504672491515915,1.2073664511445017,False,False
apparent_lambda_D_nm,48,6,0,4,-0.10003419785169729,18.083909274802938,0.7961062166175306,-7.868319876482458,-8.546451779303672,True,False
apparent_lambda_D_nm,49,6,1,4,-0.08127565101523812,16.300058524247724,0.43153368222341404,-6.392841988949875,-6.4312378985078436,False,False
apparent_lambda_D_nm,50,6,2,4,-0.17130810291087323,16.977038218359176,0.8966239467274347,-13.474461534988517,-13.091141506501721,True,False
apparent_lambda_D_nm,51,6,3,4,-0.1238650200106157,16.732472149200227,0.8587040263241892,-9.74276417346099,-9.252303923686345,False,False
apparent_lambda_D_nm,52,6,4,4,-0.14087015874631703,19.779079261513402,0.8402849927757168,-11.080325467397936,-11.18975554040812,True,False
apparent_lambda_D_nm,53,6,5,4,-0.15209212897077903,20.07630718370278,0.7240543454136734,-11.963004123964287,-12.929789061351288,True,False
apparent_lambda_D_nm,54,6,6,4,-0.16536062839008975,22.50075156354302,0.8816945841915864,-13.006655194839416,-12.305689508232248,False,False
