model,map_order,relative_time_min,point_index,row,column,lambda_D_nm,zeta_magnitude_mV,zeta_signed_silica_mV,baseline_pN,rss_pN2,rmse_pN,r2,aic_correlated_bins_diagnostic,bic_correlated_bins_diagnostic,delta_aic_to_best_same_curve,aic_winner_tie_inclusive
sphere_plane_nonlinear_PB_fixed_no_slip_hydrodynamics,2,0.0,0,0,0,24.54371275602257,35.5,-35.5,-42.85840496700437,5583.986453626916,12.284891240899427,0.9942064913694476,191.6193913171393,196.45214505507198,0.0,True
sphere_plane_nonlinear_PB_fixed_no_slip_hydrodynamics,2,0.0,1,0,1,23.77817258228512,34.0,-34.0,-48.20548754492393,4536.703597214035,11.073103031016846,0.9945309486371223,183.93440728607135,188.76716102400403,0.0,True
sphere_plane_nonlinear_PB_fixed_no_slip_hydrodynamics,2,0.0,2,0,2,23.77817258228512,28.0,-28.0,28.251482261229384,4114.39491380517,10.545134543251447,0.99079953046586,180.31917838801942,185.1519321259521,1.1949814655600335,False
sphere_plane_nonlinear_PB_fixed_no_slip_hydrodynamics,2,0.0,3,0,3,23.77817258228512,25.0,-25.0,-12.74482682799053,2927.215123986429,8.894600736958544,0.9900434243637296,167.72288810693522,172.5556418448679,3.0899596524265576,False
sphere_plane_nonlinear_PB_fixed_no_slip_hydrodynamics,2,0.0,4,0,4,20.294088553975286,26.5,-26.5,-99.05707210788941,1936.5395482195227,7.234563339181968,0.9944696317117976,152.436380319198,157.26913405713069,0.0,True
sphere_plane_nonlinear_PB_fixed_no_slip_hydrodynamics,2,0.0,5,0,5,28.75737120051241,26.5,-26.5,-93.1965498795955,4585.35890418291,11.132323164190417,0.9854555535803192,184.32911263475515,189.16186637268783,0.0,True
sphere_plane_nonlinear_PB_fixed_no_slip_hydrodynamics,2,0.0,6,0,6,26.9914125884324,25.0,-25.0,-51.10874119126369,1538.291885022039,6.4479032523718125,0.9942687231967476,143.9178700597175,148.75062379765018,0.0,True
sphere_plane_nonlinear_PB_fixed_no_slip_hydrodynamics,2,0.0,7,0,7,28.75737120051241,25.0,-25.0,54.80146597910519,5406.642335852364,12.088236783607044,0.9785053899293351,190.42522816926433,195.257981907197,0.0,True
sphere_plane_nonlinear_PB_fixed_no_slip_hydrodynamics,2,0.0,8,1,7,23.77817258228512,28.0,-28.0,85.68043454167093,8571.313043281976,15.220286110250727,0.9813227125649597,207.47455714181362,212.3073108797463,1.5524224541379397,False
sphere_plane_nonlinear_PB_fixed_no_slip_hydrodynamics,2,0.0,9,1,6,27.860403281929248,31.0,-31.0,12.423045730783144,8447.654231417204,15.1100952752619,0.9850527100458581,206.9368680464639,211.76962178439658,0.0,True
sphere_plane_nonlinear_PB_fixed_no_slip_hydrodynamics,2,0.0,10,1,5,32.64347032328333,26.5,-26.5,-76.73240954797679,3867.591417705783,10.223966831706369,0.9868208132566001,178.03036435676088,182.86311809469356,0.0,True
sphere_plane_nonlinear_PB_fixed_no_slip_hydrodynamics,2,0.0,11,1,4,25.333899557064026,23.5,-23.5,-171.51396239046176,2723.210924879738,8.579061444413366,0.9871183974134313,165.050014387757,169.88276812568967,0.0,True
sphere_plane_nonlinear_PB_fixed_no_slip_hydrodynamics,2,0.0,12,1,3,25.333899557064026,22.0,-22.0,-113.68505141313605,2110.780956781322,7.553021512418904,0.9884725910339157,155.62412858066713,160.4568823185998,1.848134566874478,False
sphere_plane_nonlinear_PB_fixed_no_slip_hydrodynamics,2,0.0,13,1,2,23.036510285681896,20.5,-20.5,-151.5064934674801,2518.415735856349,8.250169098768806,0.9830532476712869,162.15729357481754,166.99004731275022,0.9516682421593714,False
sphere_plane_nonlinear_PB_fixed_no_slip_hydrodynamics,2,0.0,14,1,1,26.9914125884324,26.5,-26.5,-118.48602104593795,4018.7117702070286,10.42179598856248,0.9881625858675522,179.44855421027003,184.2813079482027,0.0,True
sphere_plane_nonlinear_PB_fixed_no_slip_hydrodynamics,2,0.0,15,1,0,23.036510285681896,32.5,-32.5,-75.62010934477753,4141.67240619652,10.580032705968607,0.9943754230493874,180.56367031177993,185.3964240497126,0.0,True
sphere_plane_nonlinear_PB_fixed_no_slip_hydrodynamics,2,0.0,16,2,0,34.77922432862523,28.0,-28.0,-39.096924512213995,9028.961995534873,15.621331565501094,0.972568527964541,209.39916673045866,214.23192046839134,0.0,True
sphere_plane_nonlinear_PB_fixed_no_slip_hydrodynamics,2,0.0,17,2,1,30.638870628004046,23.5,-23.5,-55.11721519682793,2719.94665488024,8.573918109797876,0.9855853091807937,165.00563646825324,169.83839020618592,0.0,True
sphere_plane_nonlinear_PB_fixed_no_slip_hydrodynamics,2,0.0,18,2,2,28.75737120051241,20.5,-20.5,-80.08389482057204,3135.2107812114077,9.20518476290548,0.9728751405586122,170.262749600956,175.09550333888868,0.9240690732726193,False
sphere_plane_nonlinear_PB_fixed_no_slip_hydrodynamics,2,0.0,19,2,3,27.860403281929248,20.5,-20.5,-95.24656411391862,1684.6386611804942,6.74764956310713,0.9861791155020609,147.2803731214718,152.11312685940447,2.768933611440957,False
