joint_model,held_out_point_index,held_out_row,held_out_column,map_order,training_pixels_per_map,held_out_baseline_fit_window_nm,held_out_prediction_window_nm,selected_lambda_D_nm,selected_zeta_magnitude_mV,held_out_baseline_pN,held_out_shape_RMSE_pN
all_shared_lambda_and_zeta,3,0,3,3,63,150-200,20-145,17.878143222611804,23.5,44.34011689483015,60.52564500862978
all_shared_lambda_and_zeta,3,0,3,4,63,150-200,20-145,17.878143222611804,23.5,68.45917661507573,61.37506042898709
all_shared_lambda_and_zeta,3,0,3,5,63,150-200,20-145,17.878143222611804,23.5,-41.83334359607926,61.04127861705805
map_shared_lambda_and_zeta,3,0,3,2,63,150-200,20-145,22.317981094042864,28.0,-11.295558834880751,27.03954479543903
map_shared_lambda_and_zeta,3,0,3,3,63,150-200,20-145,16.780266063679814,28.0,44.35712107267706,80.58608006956848
map_shared_lambda_and_zeta,3,0,3,4,63,150-200,20-145,13.874844806111179,23.5,68.54590824949953,47.746262615648085
map_shared_lambda_and_zeta,3,0,3,5,63,150-200,20-145,11.472483074052871,19.0,-41.73817001116912,15.298606713938867
shared_lambda_map_specific_zeta,3,0,3,2,63,150-200,20-145,18.453731477822707,28.0,-10.804202166942384,27.32067671293198
shared_lambda_map_specific_zeta,3,0,3,3,63,150-200,20-145,18.453731477822707,26.5,44.28053477928609,76.9859457554652
shared_lambda_map_specific_zeta,3,0,3,4,63,150-200,20-145,18.453731477822707,22.0,68.44644720839695,53.89287330437699
shared_lambda_map_specific_zeta,3,0,3,5,63,150-200,20-145,18.453731477822707,17.5,-41.8069661736798,22.058644631989836
map_specific_lambda_shared_zeta,3,0,3,2,63,150-200,20-145,22.317981094042864,28.0,-11.295558834880751,27.03954479543903
map_specific_lambda_shared_zeta,3,0,3,3,63,150-200,20-145,16.780266063679814,28.0,44.35712107267706,80.58608006956848
map_specific_lambda_shared_zeta,3,0,3,4,63,150-200,20-145,9.791483623609768,28.0,68.55485250994731,46.51134255159944
map_specific_lambda_shared_zeta,3,0,3,5,63,150-200,20-145,6.694329500821696,28.0,-41.73751511163809,20.282315751899695
all_shared_lambda_and_zeta,4,0,4,2,63,150-200,20-145,16.25687467927739,25.0,-96.50434801758405,24.853213908442967
