joint_model,held_out_point_index,held_out_row,held_out_column,map_order,training_pixels_per_map,held_out_baseline_fit_window_nm,held_out_prediction_window_nm,selected_lambda_D_nm,selected_zeta_magnitude_mV,held_out_baseline_pN,held_out_shape_RMSE_pN
shared_lambda_map_specific_zeta,13,1,2,3,63,150-200,20-145,17.878143222611804,28.0,24.237650195385722,114.03844321087794
shared_lambda_map_specific_zeta,13,1,2,4,63,150-200,20-145,17.878143222611804,22.0,21.94706679690903,79.46924192510447
shared_lambda_map_specific_zeta,13,1,2,5,63,150-200,20-145,17.878143222611804,17.5,-94.05524274902363,40.75578798058254
map_specific_lambda_shared_zeta,13,1,2,2,63,150-200,20-145,22.317981094042864,28.0,-153.72682059360042,60.2852820490553
map_specific_lambda_shared_zeta,13,1,2,3,63,150-200,20-145,16.780266063679814,28.0,24.2929515177481,110.01818575262685
map_specific_lambda_shared_zeta,13,1,2,4,63,150-200,20-145,9.791483623609768,28.0,22.03125372293107,76.24499350717795
map_specific_lambda_shared_zeta,13,1,2,5,63,150-200,20-145,6.694329500821696,28.0,-94.00128608791461,32.94294155608181
all_shared_lambda_and_zeta,14,1,1,2,63,150-200,20-145,16.25687467927739,25.0,-117.74445344517231,41.16775166385755
all_shared_lambda_and_zeta,14,1,1,3,63,150-200,20-145,16.25687467927739,25.0,-30.381074021699916,67.37990516871864
all_shared_lambda_and_zeta,14,1,1,4,63,150-200,20-145,16.25687467927739,25.0,-31.005237558004122,95.03276940006738
all_shared_lambda_and_zeta,14,1,1,5,63,150-200,20-145,16.25687467927739,25.0,62.137949841547425,89.93947655049725
map_shared_lambda_and_zeta,14,1,1,2,63,150-200,20-145,22.317981094042864,28.0,-118.36046080275531,20.669941118523354
map_shared_lambda_and_zeta,14,1,1,3,63,150-200,20-145,16.780266063679814,28.0,-30.41191101746945,91.17577159431681
map_shared_lambda_and_zeta,14,1,1,4,63,150-200,20-145,13.874844806111179,23.5,-30.966347097196763,76.24512285744663
map_shared_lambda_and_zeta,14,1,1,5,63,150-200,20-145,11.472483074052871,19.0,62.18528225284114,34.884152834189756
shared_lambda_map_specific_zeta,14,1,1,2,63,150-200,20-145,18.453731477822707,28.0,-117.86910413481692,28.94725826224749
shared_lambda_map_specific_zeta,14,1,1,3,63,150-200,20-145,18.453731477822707,26.5,-30.488497310860428,84.92149397281955
shared_lambda_map_specific_zeta,14,1,1,4,63,150-200,20-145,18.453731477822707,22.0,-31.065808138299357,80.78691685268659
shared_lambda_map_specific_zeta,14,1,1,5,63,150-200,20-145,18.453731477822707,17.5,62.116486090330454,42.61035939961773
map_specific_lambda_shared_zeta,14,1,1,2,63,150-200,20-145,22.317981094042864,28.0,-118.36046080275531,20.669941118523354
map_specific_lambda_shared_zeta,14,1,1,3,63,150-200,20-145,16.780266063679814,28.0,-30.41191101746945,91.17577159431681
map_specific_lambda_shared_zeta,14,1,1,4,63,150-200,20-145,9.791483623609768,28.0,-30.957402836748987,75.0609810729278
map_specific_lambda_shared_zeta,14,1,1,5,63,150-200,20-145,6.694329500821696,28.0,62.18593715237216,33.935018016993084
all_shared_lambda_and_zeta,15,1,0,2,63,150-200,20-145,17.320508075688775,23.5,-84.29008877980996,103.82406354819759
all_shared_lambda_and_zeta,15,1,0,3,63,150-200,20-145,17.320508075688775,23.5,-158.44624921543684,37.204485088647765
all_shared_lambda_and_zeta,15,1,0,4,63,150-200,20-145,17.320508075688775,23.5,-22.04154636123832,56.436633084661715
all_shared_lambda_and_zeta,15,1,0,5,63,150-200,20-145,17.320508075688775,23.5,-16.940759270256482,63.3425037877626
map_shared_lambda_and_zeta,15,1,0,2,63,150-200,20-145,22.317981094042864,28.0,-84.88029696634281,56.57001867687638
map_shared_lambda_and_zeta,15,1,0,3,63,150-200,20-145,16.780266063679814,28.0,-158.45128704015625,53.8365685613019
map_shared_lambda_and_zeta,15,1,0,4,63,150-200,20-145,13.874844806111179,23.5,-21.97685672938084,45.516252242319005
map_shared_lambda_and_zeta,15,1,0,5,63,150-200,20-145,11.472483074052871,19.0,-16.86762768791266,20.59931033061935
shared_lambda_map_specific_zeta,15,1,0,2,63,150-200,20-145,18.453731477822707,28.0,-84.38894029840446,65.45590168214126
shared_lambda_map_specific_zeta,15,1,0,3,63,150-200,20-145,18.453731477822707,26.5,-158.5278733335472,50.20666163216338
shared_lambda_map_specific_zeta,15,1,0,4,63,150-200,20-145,18.453731477822707,22.0,-22.076317770483428,50.93578006603483
shared_lambda_map_specific_zeta,15,1,0,5,63,150-200,20-145,18.453731477822707,17.5,-16.93642385042333,28.38384987786264
map_specific_lambda_shared_zeta,15,1,0,2,63,150-200,20-145,22.317981094042864,28.0,-84.88029696634281,56.57001867687638
map_specific_lambda_shared_zeta,15,1,0,3,63,150-200,20-145,16.780266063679814,28.0,-158.45128704015625,53.8365685613019
map_specific_lambda_shared_zeta,15,1,0,4,63,150-200,20-145,9.48607856330461,28.0,-21.967853757652758,43.819395578963565
map_specific_lambda_shared_zeta,15,1,0,5,63,150-200,20-145,6.694329500821696,28.0,-16.866972788381627,23.022376433872665
all_shared_lambda_and_zeta,16,2,0,2,63,150-200,20-145,16.25687467927739,25.0,-38.22144958168202,57.83549594088931
all_shared_lambda_and_zeta,16,2,0,3,63,150-200,20-145,16.25687467927739,25.0,-132.1196560440015,44.58058589707259
all_shared_lambda_and_zeta,16,2,0,4,63,150-200,20-145,16.25687467927739,25.0,-31.86331101236153,95.40814741956257
all_shared_lambda_and_zeta,16,2,0,5,63,150-200,20-145,16.25687467927739,25.0,-59.124530552122366,93.95795038200507
map_shared_lambda_and_zeta,16,2,0,2,63,150-200,20-145,22.317981094042864,28.0,-38.83745693926499,35.1328854742113
map_shared_lambda_and_zeta,16,2,0,3,63,150-200,20-145,16.780266063679814,28.0,-132.15049303977105,68.62572519883982
map_shared_lambda_and_zeta,16,2,0,4,63,150-200,20-145,13.874844806111179,23.5,-31.82442055155417,76.81095930286952
map_shared_lambda_and_zeta,16,2,0,5,63,150-200,20-145,11.472483074052871,19.0,-59.07719814082866,39.71058545083613
shared_lambda_map_specific_zeta,16,2,0,2,63,150-200,20-145,18.453731477822707,28.0,-38.34610027132663,45.15690141376062
shared_lambda_map_specific_zeta,16,2,0,3,63,150-200,20-145,18.453731477822707,26.5,-132.227079333162,61.35956091967389
shared_lambda_map_specific_zeta,16,2,0,4,63,150-200,20-145,18.453731477822707,22.0,-31.923881592656766,80.62396676328152
shared_lambda_map_specific_zeta,16,2,0,5,63,150-200,20-145,18.453731477822707,17.5,-59.145994303339336,47.248972708366544
map_specific_lambda_shared_zeta,16,2,0,2,63,150-200,20-145,22.317981094042864,28.0,-38.83745693926499,35.1328854742113
map_specific_lambda_shared_zeta,16,2,0,3,63,150-200,20-145,16.780266063679814,28.0,-132.15049303977105,68.62572519883982
map_specific_lambda_shared_zeta,16,2,0,4,63,150-200,20-145,9.791483623609768,28.0,-31.815476291106407,76.43422246674193
map_specific_lambda_shared_zeta,16,2,0,5,63,150-200,20-145,6.694329500821696,28.0,-59.07654324129764,38.11984966667813
all_shared_lambda_and_zeta,17,2,1,2,63,150-200,20-145,16.25687467927739,25.0,-51.830410135660784,33.41936600038665
all_shared_lambda_and_zeta,17,2,1,3,63,150-200,20-145,16.25687467927739,25.0,-80.37819716637013,62.03406182921071
all_shared_lambda_and_zeta,17,2,1,4,63,150-200,20-145,16.25687467927739,25.0,30.423847069813633,98.6968566641386
all_shared_lambda_and_zeta,17,2,1,5,63,150-200,20-145,16.25687467927739,25.0,-39.27994714453101,103.79260245008284
map_shared_lambda_and_zeta,17,2,1,2,63,150-200,20-145,22.317981094042864,28.0,-52.44641749324376,47.58468224764294
map_shared_lambda_and_zeta,17,2,1,3,63,150-200,20-145,16.780266063679814,28.0,-80.40903416213965,88.19923612099471
map_shared_lambda_and_zeta,17,2,1,4,63,150-200,20-145,13.874844806111179,23.5,30.462737530620995,79.21995784241803
map_shared_lambda_and_zeta,17,2,1,5,63,150-200,20-145,11.841840586928083,19.0,-39.232936985514655,50.79683408855196
shared_lambda_map_specific_zeta,17,2,1,2,63,150-200,20-145,18.453731477822707,28.0,-51.955060825305395,48.224235843764625
shared_lambda_map_specific_zeta,17,2,1,3,63,150-200,20-145,18.453731477822707,26.5,-80.48562045553062,80.17960345534554
shared_lambda_map_specific_zeta,17,2,1,4,63,150-200,20-145,18.453731477822707,22.0,30.363276489518398,82.37874321729052
shared_lambda_map_specific_zeta,17,2,1,5,63,150-200,20-145,18.453731477822707,17.5,-39.30141089574798,57.17699769846929
map_specific_lambda_shared_zeta,17,2,1,2,63,150-200,20-145,22.317981094042864,28.0,-52.44641749324376,47.58468224764294
map_specific_lambda_shared_zeta,17,2,1,3,63,150-200,20-145,16.780266063679814,28.0,-80.40903416213965,88.19923612099471
map_specific_lambda_shared_zeta,17,2,1,4,63,150-200,20-145,9.791483623609768,28.0,30.471681791068765,78.99894153596178
map_specific_lambda_shared_zeta,17,2,1,5,63,150-200,20-145,6.694329500821696,28.0,-39.231959833706284,47.17670363096492
all_shared_lambda_and_zeta,18,2,2,2,63,150-200,20-145,16.25687467927739,25.0,-76.68735354894712,40.17397415117209
all_shared_lambda_and_zeta,18,2,2,3,63,150-200,20-145,16.25687467927739,25.0,-62.85693073749856,76.75529991670145
all_shared_lambda_and_zeta,18,2,2,4,63,150-200,20-145,16.25687467927739,25.0,-22.150615514108075,105.58491558236749
all_shared_lambda_and_zeta,18,2,2,5,63,150-200,20-145,16.25687467927739,25.0,17.823631989038315,89.89806629214227
map_shared_lambda_and_zeta,18,2,2,2,63,150-200,20-145,22.317981094042864,28.0,-77.30336090653009,69.16166231462553
map_shared_lambda_and_zeta,18,2,2,3,63,150-200,20-145,16.780266063679814,28.0,-62.88776773326808,103.09870935124492
map_shared_lambda_and_zeta,18,2,2,4,63,150-200,20-145,13.874844806111179,23.5,-22.111725053300717,86.08272782358898
map_shared_lambda_and_zeta,18,2,2,5,63,150-200,20-145,11.472483074052871,19.0,17.87096440033202,35.08912539903545
shared_lambda_map_specific_zeta,18,2,2,2,63,150-200,20-145,17.878143222611804,28.0,-76.77349186707904,65.47804346719172
shared_lambda_map_specific_zeta,18,2,2,3,63,150-200,20-145,17.878143222611804,28.0,-62.943069055630446,106.63899053544488
shared_lambda_map_specific_zeta,18,2,2,4,63,150-200,20-145,17.878143222611804,22.0,-22.186967718874982,87.44811789409992
shared_lambda_map_specific_zeta,18,2,2,5,63,150-200,20-145,17.878143222611804,17.5,17.817662638754015,41.22429575497269
map_specific_lambda_shared_zeta,18,2,2,2,63,150-200,20-145,22.317981094042864,28.0,-77.30336090653009,69.16166231462553
map_specific_lambda_shared_zeta,18,2,2,3,63,150-200,20-145,16.780266063679814,28.0,-62.88776773326808,103.09870935124492
map_specific_lambda_shared_zeta,18,2,2,4,63,150-200,20-145,9.791483623609768,28.0,-22.10278079285294,86.17842031190658
map_specific_lambda_shared_zeta,18,2,2,5,63,150-200,20-145,6.694329500821696,28.0,17.871619299863056,34.24290311225544
all_shared_lambda_and_zeta,19,2,3,2,63,150-200,20-145,16.25687467927739,25.0,-90.79063560810428,38.782688295482686
all_shared_lambda_and_zeta,19,2,3,3,63,150-200,20-145,16.25687467927739,25.0,-118.62813416410216,78.46181016651066
all_shared_lambda_and_zeta,19,2,3,4,63,150-200,20-145,16.25687467927739,25.0,73.07897048983769,95.8002726401743
all_shared_lambda_and_zeta,19,2,3,5,63,150-200,20-145,16.25687467927739,25.0,52.66656935853063,88.04019856931168
map_shared_lambda_and_zeta,19,2,3,2,63,150-200,20-145,22.317981094042864,28.0,-91.40664296568724,67.87954971485283
map_shared_lambda_and_zeta,19,2,3,3,63,150-200,20-145,16.780266063679814,28.0,-118.65897115987171,104.74883230397207
map_shared_lambda_and_zeta,19,2,3,4,63,150-200,20-145,13.874844806111179,23.5,73.11786095064504,76.37875831738134
map_shared_lambda_and_zeta,19,2,3,5,63,150-200,20-145,11.472483074052871,19.0,52.71390176982434,33.92174137077766
shared_lambda_map_specific_zeta,19,2,3,2,63,150-200,20-145,17.878143222611804,28.0,-90.8767739262362,64.18340760416014
shared_lambda_map_specific_zeta,19,2,3,3,63,150-200,20-145,17.878143222611804,28.0,-118.71427248223408,108.44813702338509
shared_lambda_map_specific_zeta,19,2,3,4,63,150-200,20-145,17.878143222611804,22.0,73.04261828507077,78.71515914018441
shared_lambda_map_specific_zeta,19,2,3,5,63,150-200,20-145,17.878143222611804,17.5,52.66060000824633,39.17642351644256
map_specific_lambda_shared_zeta,19,2,3,2,63,150-200,20-145,22.317981094042864,28.0,-91.40664296568724,67.87954971485283
map_specific_lambda_shared_zeta,19,2,3,3,63,150-200,20-145,16.780266063679814,28.0,-118.65897115987171,104.74883230397207
map_specific_lambda_shared_zeta,19,2,3,4,63,150-200,20-145,9.791483623609768,28.0,73.12680521109282,75.98963422358662
map_specific_lambda_shared_zeta,19,2,3,5,63,150-200,20-145,6.694329500821696,28.0,52.71455666935537,34.53446217699001
all_shared_lambda_and_zeta,20,2,4,2,63,150-200,20-145,16.25687467927739,25.0,-107.1980678182743,35.27656180619518
all_shared_lambda_and_zeta,20,2,4,3,63,150-200,20-145,16.25687467927739,25.0,-114.11496835498416,49.44698294871883
all_shared_lambda_and_zeta,20,2,4,4,63,150-200,20-145,16.25687467927739,25.0,-25.274949273081823,68.61624221366834
all_shared_lambda_and_zeta,20,2,4,5,63,150-200,20-145,16.25687467927739,25.0,-33.1417560598967,86.15390208878442
map_shared_lambda_and_zeta,20,2,4,2,63,150-200,20-145,22.317981094042864,28.0,-107.81407517585725,58.20598216676116
map_shared_lambda_and_zeta,20,2,4,3,63,150-200,20-145,16.780266063679814,28.0,-114.1458053507537,74.92521809843858
map_shared_lambda_and_zeta,20,2,4,4,63,150-200,20-145,13.874844806111179,23.5,-25.236058812274464,49.53340647791211
map_shared_lambda_and_zeta,20,2,4,5,63,150-200,20-145,11.472483074052871,19.0,-33.09442364860299,31.314952466440527
shared_lambda_map_specific_zeta,20,2,4,2,63,150-200,20-145,18.453731477822707,28.0,-107.32271850791889,56.91347522532625
shared_lambda_map_specific_zeta,20,2,4,3,63,150-200,20-145,18.453731477822707,26.5,-114.22239164414468,67.11056057636473
shared_lambda_map_specific_zeta,20,2,4,4,63,150-200,20-145,18.453731477822707,22.0,-25.335519853377058,53.81933732773306
shared_lambda_map_specific_zeta,20,2,4,5,63,150-200,20-145,18.453731477822707,17.5,-33.16321981111366,40.88019262311667
map_specific_lambda_shared_zeta,20,2,4,2,63,150-200,20-145,22.317981094042864,28.0,-107.81407517585725,58.20598216676116
map_specific_lambda_shared_zeta,20,2,4,3,63,150-200,20-145,16.780266063679814,28.0,-114.1458053507537,74.92521809843858
map_specific_lambda_shared_zeta,20,2,4,4,63,150-200,20-145,9.791483623609768,28.0,-25.227114551826695,50.01747639438249
map_specific_lambda_shared_zeta,20,2,4,5,63,150-200,20-145,6.694329500821696,28.0,-33.09376874907196,28.79747545252201
all_shared_lambda_and_zeta,21,2,5,2,63,150-200,20-145,17.320508075688775,23.5,25.77369877507683,57.84392930880663
all_shared_lambda_and_zeta,21,2,5,3,63,150-200,20-145,17.320508075688775,23.5,-72.86968128497598,39.68730948908402
all_shared_lambda_and_zeta,21,2,5,4,63,150-200,20-145,17.320508075688775,23.5,-47.949307028324775,39.117979898212
all_shared_lambda_and_zeta,21,2,5,5,63,150-200,20-145,17.320508075688775,23.5,-88.64001974643935,89.64619725086541
map_shared_lambda_and_zeta,21,2,5,2,63,150-200,20-145,22.317981094042864,28.0,25.18349058854397,32.756815614250705
map_shared_lambda_and_zeta,21,2,5,3,63,150-200,20-145,17.878143222611804,26.5,-72.916635726952,16.97187689618188
map_shared_lambda_and_zeta,21,2,5,4,63,150-200,20-145,13.44207608814922,23.5,-47.881991831411256,27.56799726107504
map_shared_lambda_and_zeta,21,2,5,5,63,150-200,20-145,11.841840586928083,19.0,-88.56721041637283,44.82073940026903
shared_lambda_map_specific_zeta,21,2,5,2,63,150-200,20-145,18.453731477822707,28.0,25.674847256482337,42.734130526610514
shared_lambda_map_specific_zeta,21,2,5,3,63,150-200,20-145,18.453731477822707,26.5,-72.95130540308637,15.050709619470037
shared_lambda_map_specific_zeta,21,2,5,4,63,150-200,20-145,18.453731477822707,22.0,-47.984078437569885,32.228420916787194
shared_lambda_map_specific_zeta,21,2,5,5,63,150-200,20-145,18.453731477822707,17.5,-88.63568432660618,52.170033267336905
map_specific_lambda_shared_zeta,21,2,5,2,63,150-200,20-145,22.317981094042864,28.0,25.18349058854397,32.756815614250705
map_specific_lambda_shared_zeta,21,2,5,3,63,150-200,20-145,16.780266063679814,28.0,-72.8747191096954,16.48294340431424
map_specific_lambda_shared_zeta,21,2,5,4,63,150-200,20-145,9.48607856330461,28.0,-47.875614424739204,32.19792231098915
map_specific_lambda_shared_zeta,21,2,5,5,63,150-200,20-145,6.694329500821696,28.0,-88.56623326456447,40.05224429310163
all_shared_lambda_and_zeta,22,2,6,2,63,150-200,20-145,17.320508075688775,23.5,54.26488117045472,129.11820652902955
all_shared_lambda_and_zeta,22,2,6,3,63,150-200,20-145,17.320508075688775,23.5,-45.03444600847355,140.70363214455907
all_shared_lambda_and_zeta,22,2,6,4,63,150-200,20-145,17.320508075688775,23.5,-131.69901174481308,56.9783107402232
all_shared_lambda_and_zeta,22,2,6,5,63,150-200,20-145,17.320508075688775,23.5,-73.65575360910853,31.405935258276745
map_shared_lambda_and_zeta,22,2,6,2,63,150-200,20-145,22.317981094042864,28.0,53.67467298392189,82.53555004514052
map_shared_lambda_and_zeta,22,2,6,3,63,150-200,20-145,17.878143222611804,26.5,-45.08140045044956,115.4679406806536
map_shared_lambda_and_zeta,22,2,6,4,63,150-200,20-145,13.44207608814922,23.5,-131.6316965478996,70.7905690833961
map_shared_lambda_and_zeta,22,2,6,5,63,150-200,20-145,11.472483074052871,19.0,-73.58262202676472,66.09887602866782
shared_lambda_map_specific_zeta,22,2,6,2,63,150-200,20-145,18.453731477822707,28.0,54.16602965186025,91.94423316199051
shared_lambda_map_specific_zeta,22,2,6,3,63,150-200,20-145,18.453731477822707,26.5,-45.116070126583935,113.90120016024093
shared_lambda_map_specific_zeta,22,2,6,4,63,150-200,20-145,18.453731477822707,22.0,-131.73378315405822,66.0136334373454
shared_lambda_map_specific_zeta,22,2,6,5,63,150-200,20-145,18.453731477822707,16.0,-73.6402046198981,71.99467349325606
map_specific_lambda_shared_zeta,22,2,6,2,63,150-200,20-145,22.317981094042864,28.0,53.67467298392189,82.53555004514052
map_specific_lambda_shared_zeta,22,2,6,3,63,150-200,20-145,16.780266063679814,28.0,-45.03948383319296,106.87429670960321
map_specific_lambda_shared_zeta,22,2,6,4,63,150-200,20-145,9.48607856330461,28.0,-131.62531914122752,77.97183160018251
map_specific_lambda_shared_zeta,22,2,6,5,63,150-200,20-145,6.694329500821696,28.0,-73.58196712723367,70.31528415343926
all_shared_lambda_and_zeta,23,2,7,2,63,150-200,20-145,17.320508075688775,23.5,187.8192337280164,203.1750311262396
all_shared_lambda_and_zeta,23,2,7,3,63,150-200,20-145,17.320508075688775,23.5,157.01841345450242,158.1026220948147
all_shared_lambda_and_zeta,23,2,7,4,63,150-200,20-145,17.320508075688775,23.5,-15.49408616263754,86.01240077432148
all_shared_lambda_and_zeta,23,2,7,5,63,150-200,20-145,17.320508075688775,23.5,-12.959163317359268,19.24324779616619
map_shared_lambda_and_zeta,23,2,7,2,63,150-200,20-145,23.036510285681896,28.0,187.08321832552508,157.2101415900797
map_shared_lambda_and_zeta,23,2,7,3,63,150-200,20-145,17.878143222611804,26.5,156.97145901252642,132.60484698244935
map_shared_lambda_and_zeta,23,2,7,4,63,150-200,20-145,13.44207608814922,23.5,-15.426770965724025,99.35974436890831
map_shared_lambda_and_zeta,23,2,7,5,63,150-200,20-145,11.472483074052871,19.0,-12.886031735015445,37.9671382827605
shared_lambda_map_specific_zeta,23,2,7,2,63,150-200,20-145,18.453731477822707,28.0,187.72038220942196,162.78077552857354
shared_lambda_map_specific_zeta,23,2,7,3,63,150-200,20-145,18.453731477822707,26.5,156.93678933639202,131.18394289875576
shared_lambda_map_specific_zeta,23,2,7,4,63,150-200,20-145,18.453731477822707,22.0,-15.528857571882657,94.75974941498954
shared_lambda_map_specific_zeta,23,2,7,5,63,150-200,20-145,18.453731477822707,16.0,-12.94361432814883,40.06585404751503
map_specific_lambda_shared_zeta,23,2,7,2,63,150-200,20-145,23.036510285681896,28.0,187.08321832552508,157.2101415900797
map_specific_lambda_shared_zeta,23,2,7,3,63,150-200,20-145,16.25687467927739,28.0,157.03258613743682,125.51095911966303
map_specific_lambda_shared_zeta,23,2,7,4,63,150-200,20-145,9.48607856330461,28.0,-15.42039355905198,105.18861363721639
map_specific_lambda_shared_zeta,23,2,7,5,63,150-200,20-145,6.694329500821696,28.0,-12.885376835484415,45.777294528503596
all_shared_lambda_and_zeta,24,3,7,2,63,150-200,20-145,17.320508075688775,23.5,43.95280953033233,130.4522495928823
all_shared_lambda_and_zeta,24,3,7,3,63,150-200,20-145,17.320508075688775,23.5,148.9934714823468,150.1462669085526
all_shared_lambda_and_zeta,24,3,7,4,63,150-200,20-145,17.320508075688775,23.5,156.51889988402326,96.5696643867772
all_shared_lambda_and_zeta,24,3,7,5,63,150-200,20-145,17.320508075688775,23.5,22.03914671991603,28.990275950866334
map_shared_lambda_and_zeta,24,3,7,2,63,150-200,20-145,23.036510285681896,28.0,43.216794127840984,87.44916867928865
map_shared_lambda_and_zeta,24,3,7,3,63,150-200,20-145,17.878143222611804,26.5,148.94651704037082,124.48606748926602
map_shared_lambda_and_zeta,24,3,7,4,63,150-200,20-145,13.44207608814922,23.5,156.58621508093677,108.64433107033484
map_shared_lambda_and_zeta,24,3,7,5,63,150-200,20-145,11.472483074052871,19.0,22.11227830225985,71.33803497269804
shared_lambda_map_specific_zeta,24,3,7,2,63,150-200,20-145,18.453731477822707,28.0,43.853958011737845,90.2531780262307
shared_lambda_map_specific_zeta,24,3,7,3,63,150-200,20-145,18.453731477822707,26.5,148.9118473642364,123.40667987274885
shared_lambda_map_specific_zeta,24,3,7,4,63,150-200,20-145,18.453731477822707,22.0,156.48412847477815,106.10057018885405
shared_lambda_map_specific_zeta,24,3,7,5,63,150-200,20-145,18.453731477822707,16.0,22.054695709126467,73.32319605964669
map_specific_lambda_shared_zeta,24,3,7,2,63,150-200,20-145,23.036510285681896,28.0,43.216794127840984,87.44916867928865
map_specific_lambda_shared_zeta,24,3,7,3,63,150-200,20-145,16.780266063679814,28.0,148.98843365762738,114.26734763439714
map_specific_lambda_shared_zeta,24,3,7,4,63,150-200,20-145,9.48607856330461,28.0,156.59259248760884,113.01019120403457
map_specific_lambda_shared_zeta,24,3,7,5,63,150-200,20-145,6.694329500821696,28.0,22.11293320179088,77.46364158814059
all_shared_lambda_and_zeta,25,3,6,2,63,150-200,20-145,17.320508075688775,23.5,73.13350459690788,96.08357828936462
all_shared_lambda_and_zeta,25,3,6,3,63,150-200,20-145,17.320508075688775,23.5,118.16201958138976,158.4424569782321
all_shared_lambda_and_zeta,25,3,6,4,63,150-200,20-145,17.320508075688775,23.5,25.567073488874186,123.25826153480163
all_shared_lambda_and_zeta,25,3,6,5,63,150-200,20-145,17.320508075688775,23.5,-96.71385122498609,101.65367876681454
map_shared_lambda_and_zeta,25,3,6,2,63,150-200,20-145,22.317981094042864,28.0,72.54329641037502,50.225335107816406
map_shared_lambda_and_zeta,25,3,6,3,63,150-200,20-145,17.878143222611804,26.5,118.11506513941373,132.94231907859907
map_shared_lambda_and_zeta,25,3,6,4,63,150-200,20-145,13.44207608814922,23.5,25.634388685787698,135.4218930124784
map_shared_lambda_and_zeta,25,3,6,5,63,150-200,20-145,11.114646149663537,19.0,-96.64049783141108,146.04241285238498
shared_lambda_map_specific_zeta,25,3,6,2,63,150-200,20-145,18.453731477822707,28.0,73.03465307831338,57.858374447060505
shared_lambda_map_specific_zeta,25,3,6,3,63,150-200,20-145,18.453731477822707,26.5,118.08039546327936,131.6443343410039
shared_lambda_map_specific_zeta,25,3,6,4,63,150-200,20-145,18.453731477822707,22.0,25.532302079629073,132.84271130949801
shared_lambda_map_specific_zeta,25,3,6,5,63,150-200,20-145,18.453731477822707,16.0,-96.69830223577564,149.0196051185969
map_specific_lambda_shared_zeta,25,3,6,2,63,150-200,20-145,22.317981094042864,28.0,72.54329641037502,50.225335107816406
map_specific_lambda_shared_zeta,25,3,6,3,63,150-200,20-145,16.780266063679814,28.0,118.15698175667033,123.39925561815953
map_specific_lambda_shared_zeta,25,3,6,4,63,150-200,20-145,9.48607856330461,28.0,25.640766092459742,139.43018629490214
map_specific_lambda_shared_zeta,25,3,6,5,63,150-200,20-145,6.485527425110586,28.0,-96.6400646708373,151.85323823174517
all_shared_lambda_and_zeta,26,3,5,2,63,150-200,20-145,17.320508075688775,23.5,20.10083706264262,34.85933486394372
all_shared_lambda_and_zeta,26,3,5,3,63,150-200,20-145,17.320508075688775,23.5,22.991668026709196,63.26217978973912
all_shared_lambda_and_zeta,26,3,5,4,63,150-200,20-145,17.320508075688775,23.5,24.20565686276101,10.392954202862244
all_shared_lambda_and_zeta,26,3,5,5,63,150-200,20-145,17.320508075688775,23.5,40.922865634520036,51.883034131874595
map_shared_lambda_and_zeta,26,3,5,2,63,150-200,20-145,22.317981094042864,28.0,19.510628876109763,51.26622971603632
map_shared_lambda_and_zeta,26,3,5,3,63,150-200,20-145,16.780266063679814,28.0,22.986630201989787,48.04716896933957
map_shared_lambda_and_zeta,26,3,5,4,63,150-200,20-145,13.44207608814922,23.5,24.27297205967453,18.09359667303391
map_shared_lambda_and_zeta,26,3,5,5,63,150-200,20-145,11.472483074052871,19.0,40.995997216863856,7.230885180783222
shared_lambda_map_specific_zeta,26,3,5,2,63,150-200,20-145,18.453731477822707,28.0,20.00198554404813,52.81050381130612
shared_lambda_map_specific_zeta,26,3,5,3,63,150-200,20-145,18.453731477822707,26.5,22.910043908598812,45.698735111514985
shared_lambda_map_specific_zeta,26,3,5,4,63,150-200,20-145,18.453731477822707,22.0,24.170885453515897,10.910550793771499
shared_lambda_map_specific_zeta,26,3,5,5,63,150-200,20-145,18.453731477822707,17.5,40.92720105435319,17.920210751764447
map_specific_lambda_shared_zeta,26,3,5,2,63,150-200,20-145,22.317981094042864,28.0,19.510628876109763,51.26622971603632
map_specific_lambda_shared_zeta,26,3,5,3,63,150-200,20-145,16.780266063679814,28.0,22.986630201989787,48.04716896933957
map_specific_lambda_shared_zeta,26,3,5,4,63,150-200,20-145,9.48607856330461,28.0,24.279349466346574,31.149722166756654
map_specific_lambda_shared_zeta,26,3,5,5,63,150-200,20-145,6.694329500821696,28.0,40.996652116394884,14.181395336774235
all_shared_lambda_and_zeta,27,3,4,2,63,150-200,20-145,16.25687467927739,25.0,-93.9981144527567,36.35087439835488
all_shared_lambda_and_zeta,27,3,4,3,63,150-200,20-145,16.25687467927739,25.0,-56.83478245501115,39.90492431630344
all_shared_lambda_and_zeta,27,3,4,4,63,150-200,20-145,16.25687467927739,25.0,-43.547112379559,80.7821794292381
all_shared_lambda_and_zeta,27,3,4,5,63,150-200,20-145,16.25687467927739,25.0,-46.253029225562805,93.72810123200156
map_shared_lambda_and_zeta,27,3,4,2,63,150-200,20-145,22.317981094042864,28.0,-94.61412181033967,58.511245517893876
map_shared_lambda_and_zeta,27,3,4,3,63,150-200,20-145,16.780266063679814,28.0,-56.86561945078068,63.74004515230555
map_shared_lambda_and_zeta,27,3,4,4,63,150-200,20-145,13.874844806111179,23.5,-43.50822191875165,61.75052413467542
map_shared_lambda_and_zeta,27,3,4,5,63,150-200,20-145,11.472483074052871,19.0,-46.20569681426911,39.79893518697649
