block,distance_nm,pilot_zero_speed_intercept_pN,pilot_speed_slope_pN_per_um_s,pilot_speed_slope_SE_pN_per_um_s,pilot_speed_fit_R2,theory_no_slip_hyd_slope_pN_per_um_s,observed_to_theory_slope_ratio,speed_0.05_actual_um_per_s,speed_0.05_Fsym_pN,speed_0.05_Fhistory_pN,speed_0.1_actual_um_per_s,speed_0.1_Fsym_pN,speed_0.1_Fhistory_pN,speed_0.2_actual_um_per_s,speed_0.2_Fsym_pN,speed_0.2_Fhistory_pN,claim_status
1,5.0,6641.565380546787,67.70132120951067,954.3747014721657,0.005006987211500058,68.63619741594182,0.9863792540725164,0.0492926380222347,6698.794858870243,-174.4623473421875,0.09829705588552728,6567.3260691682735,-327.25414619350113,0.19610371858311543,6681.84371171848,-505.52418858347164,two_block_descriptive_pilot
1,10.0,4408.4423304787,47.6592792460363,183.47585144252895,0.0632091236565897,34.31809870797091,1.388750573031212,0.0492926380222347,4421.152225448543,-130.55326959379386,0.09829705588552728,4397.57542418234,-502.06436009784375,0.19610371858311543,4422.979522126143,-709.8475126890032,two_block_descriptive_pilot
1,15.0,2806.6958295017876,236.96779925124153,90.93394928891695,0.8716449258434585,22.878732471980605,10.357558030867926,0.0492926380222347,2813.2416752748286,-123.1004264458254,0.09829705588552728,2837.6967568922482,-473.8956782924138,0.19610371858311543,2850.5933279134,-630.738882712404,two_block_descriptive_pilot
1,20.0,1855.9437745350049,336.89306865916325,41.818901257871595,0.984825294230492,17.159049353985456,19.633550886717078,0.0492926380222347,1870.188663504157,-114.71599084842433,0.09829705588552728,1892.6040006555008,-405.2834804436641,0.19610371858311543,1920.8265878573488,-552.5215982745844,two_block_descriptive_pilot
1,25.0,1254.712882783301,361.4122223362626,57.687971469520704,0.9751550270438242,13.727239483188363,26.32810644695761,0.0492926380222347,1269.2702797060151,-101.56863849533005,0.09829705588552728,1295.1283543987972,-341.1826923757469,0.19610371858311543,1323.9550142557528,-475.68005436430985,two_block_descriptive_pilot
1,30.0,848.7749462227949,439.3593861269753,127.76039303351025,0.92203493634582,11.439366235990303,38.407668489944115,0.0492926380222347,863.2176657107248,-87.69041986096835,0.09829705588552728,902.791832289651,-287.3408332489083,0.19610371858311543,931.3202673958867,-398.30814039025813,two_block_descriptive_pilot
1,35.0,581.1763864662697,458.17605443997724,128.28837767924534,0.927300667606181,9.80517105942026,46.72800215961427,0.0492926380222347,596.5168145659685,-74.11388185992226,0.09829705588552728,637.0876483565326,-237.83321010488055,0.19610371858311543,667.39678814839,-334.59588491881317,two_block_descriptive_pilot
1,40.0,397.3087908771854,435.8572373289787,68.5803223806068,0.9758404230423481,8.579524676992728,50.802026188909366,0.0492926380222347,414.92070204752235,-62.2515262095159,0.09829705588552728,445.96523938821747,-191.39480485318222,0.19610371858311543,480.8416924522594,-269.78155309478586,two_block_descriptive_pilot
1,45.0,275.03210858536715,372.7551890873524,79.62258695218725,0.9563636676766414,7.626244157326869,48.87795111165305,0.0492926380222347,288.9100109743197,-50.294771195520326,0.09829705588552728,318.42176952457226,-152.93405192292767,0.19610371858311543,345.87804821832424,-219.5397859695463,two_block_descriptive_pilot
1,50.0,185.348644082987,368.6894448726396,100.22728648876293,0.9311844992765997,6.8636197415941815,53.716473049686435,0.0492926380222347,197.8626145547753,-40.084638225377184,0.09829705588552728,230.085137863047,-120.03776491137103,0.19610371858311543,254.81431328878358,-175.34832820329115,two_block_descriptive_pilot
