source,timestamp,block,nominal_speed_um_per_s,point_index,sensitivity_nm_per_V,sensitivity_40nm_nm_per_V,sensitivity_60nm_nm_per_V,contact_fit_R2,contact_points,valid_for_consensus
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,0,53.30380756027984,53.24675879142318,53.234889904904996,0.999737335181942,501,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,1,53.21025140734968,53.22521830716508,53.20571206206446,0.9998636912462912,501,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,2,53.59059385825239,53.43473904375744,53.6162426098456,0.9998514031241383,499,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,3,53.323891798133424,53.25703977854499,53.33948778402734,0.9997436319826822,500,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,4,53.2075570678904,52.995906594187055,53.36015399680235,0.9998179186275826,500,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,5,53.214982552264466,53.05074053137384,53.30167232166165,0.9998280166346425,500,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,6,53.47045003635309,53.433356738647284,53.524103221183154,0.999891958458885,500,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,7,53.43534593143709,53.392261831724795,53.526540897188205,0.9999217461560722,501,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,8,53.33366597679181,53.238539903906,53.42482201445699,0.9998944830937494,501,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,9,53.68674705032042,53.68626488395126,53.68992587639328,0.9998068267838446,502,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,10,53.61292596372289,53.63376024589243,53.59706276998986,0.9999320787339085,499,True
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,0.2,11,53.35709445342805,53.26593285795784,53.427621213748,0.9999160139442104,500,True
