source,acquisition_order,block,nominal_speed_um_per_s,distance_nm,linear_drift_corrected_force_pN,far_constant_referenced_force_pN,linear_minus_constant_pN
27-08-26/0/map2-0.2-data-2026.08.27-15.16.41.656.jpk-force-map,9,2,0.2,200.0,6.540714174783734,12.028216117428752,-5.487501942645018
27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map,10,2,0.2,20.0,2671.7239579115653,2701.841628646619,-30.117670735053707
27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map,10,2,0.2,50.0,602.4317593329345,627.5423967387983,-25.110637405863827
27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map,10,2,0.2,100.0,63.571837508555944,77.89140637830121,-14.319568869745268
27-08-26/0/map2-0.2-data-2026.08.27-15.20.44.298.jpk-force-map,10,2,0.2,200.0,2.844025498104069,12.204810557625997,-9.360785059521929
27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map,11,2,0.05,20.0,2574.5393010871644,2604.9604922808844,-30.421191193720006
27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map,11,2,0.05,50.0,527.1868104538228,550.4505859295016,-23.263775475678813
27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map,11,2,0.05,100.0,43.32900172111701,59.737381124185035,-16.408379403068025
27-08-26/0/map2-0.05-data-2026.08.27-15.24.51.168.jpk-force-map,11,2,0.05,200.0,1.0955490500521017,12.060237217371629,-10.964688167319528
27-08-26/0/map2-0.1-data-2026.08.27-15.36.15.070.jpk-force-map,12,2,0.1,20.0,2389.134026566788,2417.8813474189847,-28.74732085219648
27-08-26/0/map2-0.1-data-2026.08.27-15.36.15.070.jpk-force-map,12,2,0.1,50.0,441.06509868562773,473.7694826935119,-32.70438400788419
27-08-26/0/map2-0.1-data-2026.08.27-15.36.15.070.jpk-force-map,12,2,0.1,100.0,27.097158483563256,48.257835433251486,-21.16067694968823
27-08-26/0/map2-0.1-data-2026.08.27-15.36.15.070.jpk-force-map,12,2,0.1,200.0,2.209619990647416,13.427837644967305,-11.218217654319888
