source,timestamp,acquisition_order,block,nominal_speed_um_per_s,baseline_method,distance_nm,force_median_pN,force_q25_pN,force_q75_pN,pixel_count
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,linear_drift_corrected,135.0,11.071885565156752,3.6666627822728386,17.55115317253567,64
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,linear_drift_corrected,140.0,10.41828674942677,3.511429534275029,16.968604096546382,64
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,linear_drift_corrected,145.0,9.010511826105883,1.5753231417625564,14.7688907237956,64
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,linear_drift_corrected,150.0,7.624415573518263,-0.5530733184027596,13.869814366904404,64
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,linear_drift_corrected,155.0,9.560251263410041,0.16832928150767834,14.643960126168036,64
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,linear_drift_corrected,160.0,7.653758390374186,0.12003112224021373,14.45859433659566,64
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,linear_drift_corrected,165.0,6.999736497021713,-1.224813178547489,12.741163673358294,64
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,linear_drift_corrected,170.0,5.203062744192298,-1.8947967065067997,12.22170794666356,64
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,linear_drift_corrected,175.0,6.566742954957916,-0.8728241390467505,12.905779562006327,64
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,linear_drift_corrected,180.0,6.202100611650376,-0.6723578331927672,12.307510656705341,64
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,linear_drift_corrected,185.0,5.967198492423127,-0.305529697325007,11.334554771026532,64
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,linear_drift_corrected,190.0,4.875449725144298,-1.6771008951015003,10.944109357218462,64
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,linear_drift_corrected,195.0,4.0167331337406385,-1.5326637729763126,7.8460314466110574,64
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,linear_drift_corrected,200.0,4.530975846989005,-0.4656939614403285,8.932399019286535,64
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,linear_drift_corrected,205.0,4.495421785371622,-0.7285739742890531,8.81094013759159,64
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,linear_drift_corrected,210.0,2.7254997856750984,-1.495819579814118,6.675287539214699,64
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,linear_drift_corrected,215.0,3.370721469425306,-2.836102576742735,7.973411185402499,64
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,linear_drift_corrected,220.0,2.9385033349468275,-1.0357239936277318,8.225117716449564,64
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,linear_drift_corrected,225.0,2.956347304399538,-0.4961283807227038,6.223762246604122,64
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,linear_drift_corrected,230.0,2.5737818126402425,-1.7014818263635103,6.035397092780209,64
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,linear_drift_corrected,235.0,2.6840032145944024,-1.5822751542567435,5.242857896750637,64
