source,timestamp,acquisition_order,block,nominal_speed_um_per_s,point_index,row,column,pixel_acquisition_order,sensitivity_used_nm_per_V,contact_invOLS_nm_per_V,contact_response_ratio,contact_fit_R2,contact_height_um,terminal_load_nN,far_slope_pN_per_100nm,far_noise_pN,scanner_speed_um_per_s,gap_speed_20_200nm_um_per_s,approach_snap_detected,approach_snap_distance_nm,approach_barrier_force_nN,retract_free_baseline_valid,retract_snapoff_detected,retract_detachment_right_censored,retract_pull_off_censored,retract_detachment_piezo_travel_nm,retract_pull_off_force_nN,retract_pull_off_observed_floor_nN,branch_contact_height_difference_nm
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,0,0,0,0,54.213718954618635,53.30380756027984,1.0170702888965257,0.999737335181942,7.1192347299004695,22.760346915510308,5.893071785920675,9.562512342202085,0.19999994113005015,0.19221143300818558,True,4.976412232788731,8.371390188995786,True,True,False,False,204.24412868561438,-1.4478466648501525,-1.4478466648501525,2.517171426327889
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,1,0,1,1,54.213718954618635,53.21025140734968,1.018858537983347,0.9998636912462912,7.119794832876914,22.806096784821808,5.815210969369438,9.750643001837865,0.200020075618282,0.19216423929585993,True,4.539243695814557,7.58088532829525,True,True,False,False,115.74012533813236,-2.2069924917787898,-2.2069924917787898,1.3969814423304052
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,2,0,2,2,54.213718954618635,53.59059385825239,1.0116275087007698,0.9998514031241383,7.120089039696904,22.76702814263475,-0.5851397176485792,9.66666842923561,0.20001506090026677,0.19324048412396552,True,3.4102202186963426,8.39482098297179,True,True,False,False,77.23013345199776,-2.7695703457818945,-2.7695703457818945,0.014048691467013217
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,3,0,3,3,54.213718954618635,53.323891798133424,1.0166872133011933,0.9997436319826822,7.1168918540245985,22.80942064575362,-0.1522222392231258,10.201996555710064,0.20001292803820875,0.1926249807787697,True,3.544772060528382,7.888970677027122,True,True,False,False,77.25039044389007,-1.1839912469863985,-1.1839912469863985,5.906548083806978
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,4,0,4,4,54.213718954618635,53.2075570678904,1.0189101312327575,0.9998179186275826,7.1139459357300865,22.80411419967031,1.9055482922022662,10.152282712141186,0.20001196571810154,0.1916646808660134,True,4.005498717296002,8.091160301062455,True,True,False,False,67.6977541026209,-10.91186029348372,-10.91186029348372,1.1103759901085895
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,5,0,5,5,54.213718954618635,53.214982552264466,1.0187679550843274,0.9998280166346425,7.111311692893214,22.839390293338365,15.04373909686176,10.663999999093718,0.20001155760847178,0.19153909332113844,True,4.6416842285768585,8.619916183684298,True,True,False,False,87.66246755601311,-3.2754500622755427,-3.2754500622755427,2.0862159178974395
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,6,0,6,6,54.213718954618635,53.47045003635309,1.013900554750525,0.999891958458885,7.112094786343897,22.811239561046392,3.255010478720674,10.1655676414245,0.20001123017890188,0.1933576667161968,True,3.957241594531249,7.76633040487232,True,True,False,False,115.1859906698493,-2.581943374616458,-2.581943374616458,0.1695836180230881
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,7,0,7,7,54.213718954618635,53.43534593143709,1.0145666320599902,0.9999217461560722,7.110649565434205,22.803512078764825,2.99196981584953,10.256849656957003,0.20001087774448112,0.19310145230875708,False,4.514867561481576,8.026020706767182,True,True,False,False,149.2160642898403,-1.6227267413328803,-1.6227267413328803,0.5078543847131995
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,8,1,7,8,54.213718954618635,53.33366597679181,1.0165008904171293,0.9998944830937494,7.107607815659308,22.865360050994227,-1.8244559715571753,10.154936142765374,0.2000103923412238,0.1923694583010341,True,3.2548973636700045,8.480389150146777,True,True,False,False,113.2537493027322,-1.744823962420536,-1.744823962420536,1.8055097041792545
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,9,1,6,9,54.213718954618635,53.68674705032042,1.0098156795345468,0.9998068267838446,7.111957502250661,22.815055035122413,7.618933916395191,10.177135814773955,0.20001028874720864,0.19281471985479048,True,5.103283849674324,8.042470578261556,True,True,False,False,88.16744329091857,-2.598925414003472,-2.598925414003472,1.4355449340552864
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,10,1,5,10,54.213718954618635,53.61292596372289,1.0112061220330013,0.9999320787339085,7.121741490971091,22.805099699777514,3.258487240806924,9.155408641621836,0.20001030684455148,0.19630673440298735,False,138.95107844658588,0.03480345313250561,True,True,False,False,94.61122719629913,-0.628402503436443,-0.628402503436443,-0.2232002067496241
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,11,1,4,11,54.213718954618635,53.35709445342805,1.016054556755115,0.9999160139442104,7.115529929741829,22.800061356305036,-3.8135372325558152,10.692740353718621,0.2000099265259585,0.19299699009003157,False,148.86975983718244,0.036646345376603634,True,True,False,False,211.47132328689582,-1.2433981514818464,-1.2433981514818464,1.7453758604595615
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,12,1,3,12,54.213718954618635,53.37927238852379,1.0156324080257462,0.9998920431488666,7.117509480438452,22.857594432686884,2.720841386484827,10.240671827172978,0.20000994208867148,0.19298808666444273,True,3.5591383075390914,7.521484928068236,True,True,False,False,109.16438925404047,-2.086540857372468,-2.086540857372468,0.5916611375562157
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,13,1,2,13,54.213718954618635,53.52818806442266,1.0128069137959783,0.9998641986059614,7.119247956963046,22.74361781197403,-7.108339350278824,10.769043958769497,0.20000987627168815,0.19230210687741003,True,5.231707560102548,7.735120133357655,True,True,False,False,56.96974343267595,-3.3128270627354035,-3.3128270627354035,3.208861916507527
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,14,1,1,14,54.213718954618635,53.50007253748961,1.0133391672811087,0.999833535802156,7.121984529070572,22.81506496127767,6.569089952117133,10.385775495954393,0.20000999603064462,0.1929106519862792,True,3.388953319434646,8.000459605691667,True,True,False,False,109.0730857271541,-2.104056754070199,-2.104056754070199,3.878967529918758
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,15,1,0,15,54.213718954618635,53.56091252549062,1.0121881125310799,0.9998520229424726,7.124210571626807,22.792749484021314,-6.9349077123245175,10.143678541421785,0.20000988155501775,0.19334385273719049,False,2.5148270349774586,7.679041673038808,True,True,False,False,72.91672042321096,-1.7782645911447839,-1.7782645911447839,3.6187845657907034
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,16,2,0,16,54.213718954618635,53.390884859722114,1.0154115088569597,0.9998903883976118,7.121728404166952,22.882780617303858,5.536285692358078,11.11236168139648,0.20001007334463808,0.19286645103028796,True,3.1361119676261278,7.790041781740946,True,True,False,False,42.730466879507986,-1.281812970202557,-1.281812970202557,1.1758052740917
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,17,2,1,17,54.213718954618635,53.612339838200995,1.0112171772064522,0.9998779609777216,7.119643589732884,22.848224100392667,19.83416669114173,10.329804984670382,0.2000092680367336,0.19281683677801523,True,3.230679955666866,8.195455412397282,True,True,False,False,116.18150957234057,-2.1164476811283346,-2.1164476811283346,1.2214340080287285
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,18,2,2,18,54.213718954618635,53.661270022016396,1.0102951147517674,0.9998735801158356,7.118691993047355,22.8453565813823,7.347174226771227,9.905081494085804,0.20000985458242274,0.1931461309885219,True,2.803760741922385,7.752033485181188,True,True,False,False,112.64479820632671,-1.6992404621069552,-1.6992404621069552,9.110027211167536
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,19,2,3,19,54.213718954618635,53.540920063277554,1.0125660689159979,0.9998749853738952,7.117876823070702,22.818586050922203,3.178361589232648,10.440750133949116,0.20000960565712675,0.1935563423503186,True,3.222525959529616,7.464135173884649,True,True,False,False,19.261883763247706,-1.1975612451282374,-1.1975612451282374,0.44633005230445205
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,20,2,4,20,54.213718954618635,53.694304382074684,1.009673550640454,0.9998590402873273,7.11443748592955,22.865198819950965,3.862736896641542,9.842194076647461,0.20000909264865746,0.1920774553098742,True,4.786546825955005,8.059110237764282,True,True,False,False,196.46485741984168,-2.033802164951815,-2.033802164951815,1.8551662727286533
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,21,2,5,21,54.213718954618635,53.479220888263754,1.0137342701362366,0.9998786869175423,7.114911750227193,22.797379765176302,2.083164919360992,10.263007630929248,0.20000943228832493,0.19333743816857685,True,2.910185299128415,8.393028560472203,True,True,False,False,69.03071734179477,-2.4633260048272247,-2.4633260048272247,1.8206216591626032
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,22,2,6,22,54.213718954618635,53.426550283673386,1.0147336608252957,0.9998192431686851,7.110547688939498,22.801495214296345,-2.856397866587426,10.199766676350349,0.2000092939890912,0.1919903763808641,True,3.91756728322152,7.811753708538623,True,True,False,False,111.22517161981109,-2.577174284578502,-2.577174284578502,5.219417965001759
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,23,2,7,23,54.213718954618635,53.65868357495873,1.0103438128310498,0.9998818345017834,7.108614689298947,22.778373592026544,-0.7171186367024297,10.235990880132126,0.20000937980317338,0.1923588831224566,True,3.095180490030484,8.399617660641455,True,True,False,False,44.66167955981951,-2.4555483796144695,-2.4555483796144695,3.456243591329618
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,24,3,7,24,54.213718954618635,53.76363632178207,1.0083715065354353,0.9998080457395468,7.108391187536435,22.827189118273587,5.235747555007619,9.428952206554586,0.2000095943814101,0.19340500614839987,True,2.8749659165702592,7.838634154880744,True,True,False,False,5.867348079930212,0.22527674980531226,0.22527674980531226,3.4907512105131624
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,25,3,6,25,54.213718954618635,53.431421520613036,1.0146411495659684,0.9998496892045764,7.109172329780716,22.812056018578193,-1.3196605906472347,10.270182997562687,0.20000929834598782,0.1924676071748432,True,3.626274008519957,7.866666855739072,True,True,False,False,55.03864023214281,-8.424951933925799,-8.424951933925799,3.2605175100191444
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,26,3,5,26,54.213718954618635,53.691818353191444,1.0097203003629727,0.9998467621556445,7.112632329386626,22.785864344942116,-4.4619564259183075,10.131813233706506,0.20000938198433274,0.1928893151618575,True,3.7331362813966154,7.299165573118738,True,True,False,False,40.411080887046815,-2.475322502373345,-2.475322502373345,0.8584195655582919
27-08-26/0/map1-0.2-data-2026.08.27-14.00.12.429.jpk-force-map,2026-08-27T14:00:12.429000,1,1,0.2,27,3,4,27,54.213718954618635,53.756234933006645,1.0085103434454092,0.9998728261241705,7.115192226027548,22.804317741143382,-6.106803432716626,9.962259785753481,0.20000929622202557,0.19360913198492638,True,3.540490785970522,7.562006772635826,True,True,False,False,46.07011221078444,-1.798858820540185,-1.798858820540185,3.6759662456877513
