acquisition_order,baseline_method,distance_nm,finite_pixel_count,force_pixel_median_pN,spatial_mad_pN,reference_subtracted_spatial_mad_pN,reference_definition
1,far_constant_referenced,105.0,64,75.88972160430043,35.22752927242423,28.829621842581954,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,110.0,64,76.2894421554364,36.57753244129654,25.747182406088243,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,115.0,64,65.64477786854566,34.108428234376206,24.42546994874292,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,120.0,64,63.57711263074308,31.012721748521017,21.888273882228663,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,125.0,64,70.09929237550247,40.66174967098051,25.769787239316003,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,130.0,64,70.91276423035126,35.65725223701613,27.41702778579984,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,135.0,64,68.22325603842405,35.65161258536652,25.504631158757554,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,140.0,64,59.60269929745213,33.455338083376304,20.505958283037597,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,145.0,64,65.47107715166672,36.72138978485975,20.191709497186352,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,150.0,64,62.33062057198197,36.9864996387658,22.71762626041619,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,155.0,64,60.85686150095357,40.25842212516085,26.83383233385945,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,160.0,64,59.997399957110865,40.381431248302135,28.341098575612744,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,165.0,64,62.3689401162362,32.20375145835525,25.578640029915455,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,170.0,64,58.9820411624349,41.277026419979435,23.75513725624494,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,175.0,64,67.273031115147,38.44638356138067,18.95329746822013,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,180.0,64,66.0866530363082,40.81882783725463,19.023377073886515,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,185.0,64,62.684413793021264,38.48230167062046,23.327309584422505,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,190.0,64,61.73297287118571,42.430150274503276,21.763323239661773,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,195.0,64,58.69855760151743,42.90355742599853,19.718256119034116,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,200.0,64,57.9016108552598,37.670099380623405,12.964403462502336,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,205.0,64,53.64374514050375,36.91831532585971,12.32254638813632,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,210.0,64,58.75723732673266,38.217284270015504,14.085353566665587,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,215.0,64,54.63098007112998,31.597904946535667,12.684177493126924,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,220.0,64,57.28603497062082,36.41102403784119,12.481566073829574,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,225.0,64,57.47632315498693,38.17558782917723,11.29252411006779,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,230.0,64,55.987223794477885,37.49392960673689,8.448567975460678,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,235.0,64,54.22106383978951,35.92624512975118,9.482288385750465,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,240.0,64,51.906862689518874,33.536696992335415,12.417311026415017,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,245.0,64,52.86082914681799,35.96775666398541,13.46989191105798,subtract each pixel median force over 200-250 nm before spatial MAD
1,far_constant_referenced,250.0,64,55.94896660912217,36.56426539193229,16.31394049897544,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,80.0,64,38.87654018203385,188.48445186930675,55.76991747796701,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,85.0,64,30.205047530616262,187.5579354950487,57.46235057270351,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,90.0,64,19.60384656726968,192.5166465484889,52.25549686439311,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,95.0,64,22.673809436657702,185.58470050035118,47.03278469011405,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,100.0,64,12.928738906536301,174.98744081148618,43.59566502192454,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,105.0,64,17.20855874726188,168.01522769078022,39.541337638322666,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,110.0,64,16.33763748071479,174.83334277113775,38.88805700942116,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,115.0,64,12.086014951891954,184.7162321816217,40.29144139783133,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,120.0,64,11.89665699595281,187.37218664094146,41.55064197081795,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,125.0,64,11.3791330603582,174.6867360317503,44.86594310792663,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,130.0,64,17.22751726957128,174.31746791725342,39.75298470324348,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,135.0,64,20.006635148995514,156.52293389810967,39.14949830101902,subtract each pixel median force over 200-250 nm before spatial MAD
