concentration_wt_percent,source_filter,distance_nm,equilibrium_force_pN,equilibrium_sigma_pN,speed_slope_pN_per_um_s,speed_regression_r2,speed_groups,source_count,speed_1_force_pN,speed_2_force_pN,speed_4_force_pN
0,all,5.0,7238.888504564716,786.8700632546434,40.977894268233406,0.8318717544110245,3,7,7298.901503797,7289.765363400083,7402.937226257082
0,all,10.0,5211.175278287748,380.77327222945814,3.0470077713212196,-0.08273725488603745,3,8,5331.8443634172545,4975.608345415743,5223.689271085699
0,all,15.0,3582.0159935296956,189.86147136132013,-16.26020931024958,0.006090525192541385,3,8,3628.591626864325,3404.7422123889446,3517.198608394648
0,all,20.0,2577.058935191118,140.7714328160862,-18.769244481619868,-0.20214713940634477,3,8,2582.6732729435535,2398.275306350723,2502.009082278988
0,all,25.0,1811.7738481351626,178.47339332369555,1.8768909784347223,-0.02256079029661673,3,8,1910.4366761367542,1692.224502226101,1819.5318794568707
0,all,30.0,1421.84418628895,79.78709329051385,-17.809351831561376,0.28285882953493524,3,8,1424.7124865092699,1330.5303900590038,1350.6084953874424
0,all,35.0,1120.5215189446067,78.21372253833559,-25.24235183516437,0.9786280889806867,3,8,1096.5260829740291,1062.1554202070968,1019.4865588948397
0,all,40.0,890.191364729025,62.72477918258978,-30.59577255623677,0.7178624952347488,3,8,843.0485849535294,862.9129188282432,767.6900048420057
0,all,45.0,717.9102165406881,79.08581426337024,-33.94326962627829,0.37046949044129895,3,8,643.3208621988659,707.6900273147704,581.9493053220818
0,all,50.0,575.6463890994551,90.34466205331974,-32.10063069005532,0.22552734553062004,3,8,493.5429750284117,572.617636515777,447.05230337462353
0,all,55.0,450.6214130357587,78.80768392964217,-29.12391871285388,0.2817821339208044,3,8,383.77823489996626,454.09823223964327,333.9679495755528
0,all,60.0,356.9288624779692,73.44952709682566,-26.486646790213445,0.26796863749647737,3,8,295.7670035857682,362.2651134844289,250.82185163413013
