concentration_wt_percent,variant,model,fit_valid,invalid_reasons,n_points,dmin_nm,dmax_nm,lambda_D_nm,lambda_ci95_low_nm,lambda_ci95_high_nm,zeta_magnitude_mV,zeta_signed_silica_mV,zeta_ci95_low_mV,zeta_ci95_high_mV,baseline_pN,r2,weighted_objective,noise_floor_pN,jacobian_rank,jacobian_condition,optimizer_success,optimizer_status,optimizer_nfev,optimizer_message,map_speed_consistency_pass,map_observed_to_lubrication_slope_ratio,map_positive_speed_slope_fraction,scientific_status,systematic_lambda_min_nm,systematic_lambda_max_nm,systematic_zeta_min_mV,systematic_zeta_max_mV
20,primary,nonlinear_pb_derjaguin,True,,49,10.0,250.0,22.112970909607697,21.525571684419276,22.71639934204833,74.77728596624286,-74.77728596624286,74.03876321033653,75.52317534791848,26.37696696072678,0.9949066819857116,19.341164903586005,6.924753533266345,3,2.895337362900564,True,2,28,`ftol` termination condition is satisfied.,False,-3.171072647796692,0.058823529411764705,operational_fit_speed_trend_not_lubrication_consistent,14.419874419125053,22.337174495803275,70.92854267638965,75.18160329245369
20,dmin15,nonlinear_pb_derjaguin,True,,48,15.0,250.0,22.03190409320759,21.44213930187389,22.637890330741225,74.89410496069111,-74.89410496069111,74.22163926874389,75.57266335163153,26.746461521156633,0.9962746702325764,18.313724514747786,6.924753533266345,3,2.870423409964468,True,2,28,`ftol` termination condition is satisfied.,,,,,,,,
20,dmin20,nonlinear_pb_derjaguin,True,,47,20.0,250.0,21.860868775008395,21.556990240903584,22.1690309388063,75.18160329245369,-75.18160329245369,74.84927033846232,75.51541181450082,27.50173894693473,0.9991394254546221,4.713106439698246,6.924753533266345,3,2.8361636667888397,True,3,39,`xtol` termination condition is satisfied.,,,,,,,,
20,dmax150,nonlinear_pb_derjaguin,True,,29,10.0,150.0,22.02610661470103,21.0456428250532,23.052247756701632,74.7618491834869,-74.7618491834869,73.78988880648134,75.74661222207318,27.28788868267421,0.9937381229680481,19.22344646244818,6.924753533266345,3,3.8128418637605432,True,2,17,`ftol` termination condition is satisfied.,,,,,,,,
20,dmax350,nonlinear_pb_derjaguin,True,,69,10.0,350.0,22.337174495803275,21.87686796391982,22.807166239648698,74.8161098588346,-74.8161098588346,74.16922267422464,75.46863904715613,24.147639540618723,0.9956019307302377,20.02073949813403,6.924753533266345,3,2.552518930976609,True,2,22,`ftol` termination condition is satisfied.,,,,,,,,
20,all_sources,nonlinear_pb_derjaguin,True,,49,10.0,250.0,18.205558798690753,17.71284936061554,18.71197368784422,74.48320452880233,-74.48320452880233,73.82462040623223,75.14766383290556,-83.09832272461726,0.9967184806678325,1.1811425915337896,19.86425450591836,3,1.5572003460942685,True,2,16,`ftol` termination condition is satisfied.,,,,,,,,
20,independent_force_only,nonlinear_pb_derjaguin,True,,49,10.0,250.0,14.419874419125053,12.447599666412293,16.70464859376928,70.92854267638965,-70.92854267638965,64.81426635438021,77.6196113782971,-117.50437854177628,0.990577779832264,116.68002688087962,48.485213870148606,3,4.032774955606929,True,2,27,`ftol` termination condition is satisfied.,,,,,,,,
20,linear_hhf_diagnostic,linear_hhf_equal_potential,True,,49,10.0,250.0,20.301094380491193,19.725022742110603,20.89399025967927,67.95146902589086,-67.95146902589086,67.45237580967127,68.45425512965498,32.00487454005199,0.9965592123529329,21.260858379445512,6.924753533266345,3,2.3037115753820534,True,2,30,`ftol` termination condition is satisfied.,,,,,,,,
30,primary,nonlinear_pb_derjaguin,True,,49,10.0,250.0,22.043308260894374,20.118144742852163,24.152696249859407,72.70054790000727,-72.70054790000727,70.17618652819003,75.31571500879573,11.357439236113612,0.9683484249675228,20.559276893328693,3.2608334121391507,3,1.5791174804869743,True,2,16,`ftol` termination condition is satisfied.,False,-3.583846610046632,0.0,operational_fit_speed_trend_not_lubrication_consistent,11.23540133458584,23.73206255660723,72.61204533761938,75.84613609160519
30,dmin15,nonlinear_pb_derjaguin,True,,48,15.0,250.0,21.560880408537827,19.479052699192163,23.86520387670338,73.47012136902008,-73.47012136902008,70.59463652434346,76.46273144443732,11.678324447158762,0.9508980827686865,19.71637418629335,3.2608334121391507,3,1.6490373490942858,True,2,19,`ftol` termination condition is satisfied.,,,,,,,,
