concentration_wt_percent,source,source_type,speed_um_per_s,speed_label_um_per_s,distance_nm,force_pN,force_spread_pN,curve_count,sensitivity_used_nm_per_V,valid_contact_curves,endpoint_contact_curves,far_offset_pN
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,10.0,3139.6791873694224,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,15.0,2873.5708974848576,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,20.0,2173.801832253644,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,25.0,1681.1228246836329,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,30.0,1330.5303900590038,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,35.0,1062.1554202070968,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,40.0,862.9129188282432,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,45.0,707.6900273147704,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,50.0,602.8766144923471,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,55.0,487.5911436507896,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,60.0,375.2083206480473,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,65.0,294.0168183264695,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,70.0,228.81210778742462,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,75.0,198.9585317756734,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,80.0,169.62633676416502,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,85.0,123.44972356983538,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,90.0,106.36941251463148,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,95.0,88.85080910819049,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,100.0,65.31077108938386,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,105.0,70.22089026178514,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,110.0,52.983625203917676,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,115.0,37.7685825954557,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,120.0,37.67707521703801,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,125.0,33.06760093246965,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,130.0,29.516841409730294,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,135.0,23.83918952804137,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,140.0,31.276626610673123,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,145.0,21.04547490404638,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,150.0,24.787247301174883,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,155.0,15.398273945853724,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,160.0,17.470524535223518,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,165.0,7.560144040027893,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,170.0,-3.375607819540934,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,175.0,4.012208563455518,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,180.0,4.898188770083868,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,185.0,14.744257492227366,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,190.0,-2.6336571959916264,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,195.0,10.902965682121485,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,200.0,2.1076584198058335,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,205.0,11.564980932879426,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,210.0,6.518276517159823,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,215.0,19.57596972879567,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,220.0,2.479647480129374,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,225.0,6.333032832717713,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,230.0,4.020267672558914,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,235.0,-0.2921596094548615,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,240.0,-1.4802329836319172,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,245.0,0.9625229559731485,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,250.0,3.121882644087728,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,255.0,16.297808374242607,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,260.0,12.154718959533186,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,265.0,13.240964972122438,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,270.0,-4.687813532581542,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,275.0,14.843719777439475,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,280.0,11.618012644264379,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,285.0,23.514951993269772,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,290.0,16.768378551004826,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,295.0,17.518589325418684,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,300.0,7.501501824573818,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,305.0,3.0934100051622484,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,310.0,3.360154268711533,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,315.0,10.607798944481369,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,320.0,24.573266302724836,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,325.0,26.711809029872207,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,330.0,15.328250949958495,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,335.0,15.788908094913491,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,340.0,25.16021904780257,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,345.0,29.241452909551807,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,350.0,23.527638307992895,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,355.0,17.68007105514714,nan,1,66.6088141893779,1,0,0.9537477129411047
