concentration_wt_percent,temperature_C,epsilon_r,viscosity_mPa_s,all_median_observed_to_lubrication_slope_ratio_20_100nm,all_positive_speed_slope_fraction_20_100nm,map_median_observed_to_lubrication_slope_ratio_20_100nm,map_positive_speed_slope_fraction_20_100nm,map_median_speed_regression_r2_20_100nm,force_median_observed_to_lubrication_slope_ratio_20_100nm,force_positive_speed_slope_fraction_20_100nm
0,25.6,78.5,0.8806453437937073,-3.7678043412900775,0.058823529411764705,-3.485328428382998,0.0,0.49241209158445653,5.943173646867714,0.7058823529411765
10,25.6,76.0,1.1292495023448095,-0.9242260647067881,0.0,-1.71482287201361,0.0,0.4932441083564717,-0.7379767321403452,0.23529411764705882
20,25.6,73.9,1.5012961065149393,4.610580984116021,1.0,-3.171072647796692,0.058823529411764705,0.6181029090190742,11.724638741780321,1.0
30,25.6,71.4,2.0886040760749633,5.828614761076233,1.0,-3.583846610046632,0.0,-0.11635941109498171,8.088846019769237,1.0
40,25.6,68.9,3.079577977090719,-0.0008534393309716513,0.47058823529411764,-2.434729703385132,0.0,0.4094145095673095,17.64006954197166,1.0
