acquisition_order,source,speed_um_per_s,distance_nm,available_pixels,map_median_force_pN,map_force_q25_pN,map_force_q75_pN,map_force_spatial_mad_pN
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,120.0,64,74.59684199511457,52.5929035399639,92.74353168510723,31.609882678618078
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,125.0,64,61.378911984948104,41.93502724144614,76.3442455928093,27.93454684717784
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,130.0,64,61.055213797846825,35.421384046142315,74.23681101426234,30.405551164359732
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,135.0,64,57.1138097997393,27.82810351787023,78.82728471633511,39.48269333800359
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,140.0,64,50.47907385955244,27.405977091973888,73.83718341824071,34.37969778248168
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,145.0,64,44.26979443716475,23.407986382941623,69.55682245371185,37.106208043195
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,150.0,64,47.274663932229814,23.280722199083243,68.05433800331637,34.406815506155816
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,155.0,64,47.235961968617,19.15202124093915,67.54301978756168,34.84956638407692
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,160.0,64,40.87064868779463,24.267092107327063,63.77472258175144,27.988880547147705
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,165.0,64,31.760295918474768,13.562702211700794,51.80574271155015,28.98393397653099
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,170.0,64,39.470651543438365,22.997424156788377,56.08135705254351,24.510737728077626
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,175.0,64,32.807386159185626,2.349048485374456,51.341600797758446,33.50434060985775
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,180.0,64,29.64707924005485,14.969119309353768,43.64817728187562,21.126229657778563
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,185.0,64,26.27101218730814,12.930572900626451,45.20930282825246,22.484473904411093
