acquisition_order,block,position_in_block,map_midpoint_time,elapsed_midpoint_min,speed_um_per_s,source,model,fit_min_nm,fit_max_nm,fit_bin_count,lambda_D_apparent_nm,surface_potential_magnitude_apparent_mV,fit_offset_pN,r2,residual_rmse_pN,weighted_sse,optimizer_success,optimizer_nfev,jacobian_rank,normalized_jacobian_condition,local_log_lambda_scale,local_log_potential_scale,local_lambda_potential_correlation,fit_quality_pass,quality_state,quality_flags,epsilon_r_assumed,probe_radius_um_assumed,temperature_C_assumed,hydrodynamic_subtraction_applied
1,1,1,2026-09-12T15:08:23.308000+02:00,0.0,0.1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,33.66501870902864,50.9967578300219,19.628868275578313,0.9717003354086923,27.796490886834153,3.910631514132886,True,34,3,2.998727379793221,0.11511961897750053,0.052758781403123685,-0.49127597325360794,True,pass,,42.5,4.546848945303745,25.6,False
2,1,2,2026-09-12T15:12:39.183834+02:00,4.264597233333333,0.3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,42.90115885283431,68.21905012461693,36.31651342024561,0.9653660006043989,49.71449059292527,4.775941852458495,True,13,3,4.170518962517427,0.10866005963372778,0.04111147364812801,-0.2780040308561463,True,pass,,42.5,4.546848945303745,25.6,False
3,1,3,2026-09-12T15:14:28.524500+02:00,6.086941666666666,0.9,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.13.54.693.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,69.57564426183016,110.69636374952022,9.538683514059619,0.9853135258857231,58.565372498933534,2.1690851941808633,True,39,3,8.076838568788721,0.15510990093418825,0.03896708411401058,0.3929424104644676,True,pass,,42.5,4.546848945303745,25.6,False
4,1,4,2026-09-12T15:15:43.356000+02:00,7.334133333333333,2.7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.15.21.190.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,978.7204122882478,310.82517215959524,-454.10696771714026,0.9763635060468918,135.4562900354289,31.707927426240854,True,42,3,8.440742504687211,0.48500871241977367,0.0772099245436718,0.9606613818860382,False,weak,near_parameter_boundary,42.5,4.546848945303745,25.6,False
5,1,5,2026-09-12T15:17:16.801500+02:00,8.891558333333334,2.7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.16.54.635.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,999.996863676347,308.82266012888675,-443.78966555350706,0.9824777209701214,116.82934664834104,31.85592393786901,True,35,3,9.986289821382385,0.4577158807027597,0.08059067600145756,0.9713362639915802,False,unusable,parameter_boundary,42.5,4.546848945303745,25.6,False
6,1,6,2026-09-12T15:18:43.630000+02:00,10.3387,0.9,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.18.09.797.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,69.63150311359236,108.36703016294734,10.364668623825265,0.9846429064091587,57.883091390620095,3.5862861452277794,True,28,3,7.842915000776682,0.14943540604587233,0.03838370532250901,0.47938239970018576,True,pass,,42.5,4.546848945303745,25.6,False
7,1,7,2026-09-12T15:20:45.779834+02:00,12.374530566666666,0.3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.19.36.626.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,44.023486136626175,65.47458722394694,28.019657659045297,0.9617907898655134,48.3233783074696,5.789012683600795,True,35,3,4.143613563967477,0.10775575105005154,0.042309314036863006,-0.30193088782625627,True,pass,,42.5,4.546848945303745,25.6,False
8,1,8,2026-09-12T15:25:11.500000+02:00,16.8032,0.1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.22.15.764.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,30.466565295686543,48.23325220184488,8.598984008620281,0.9785771788390439,22.163225114321634,1.9661678804313794,True,16,3,3.36651869482811,0.12330681482431934,0.07134150534764491,-0.6301564591261198,True,pass,,42.5,4.546848945303745,25.6,False
9,2,1,2026-09-12T15:29:22.740834+02:00,20.990547233333334,0.3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.28.13.596.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,42.84741654302406,63.57341342166734,28.86207279488823,0.9533112687185407,52.422530187618186,3.720564978348733,True,22,3,4.296472106467032,0.12614566553235024,0.04602901186552034,-0.3306949740623554,True,pass,,42.5,4.546848945303745,25.6,False
10,2,2,2026-09-12T15:31:18.881500+02:00,22.926225,0.9,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.30.45.054.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,70.581929479398,103.8206110824397,8.036328186402208,0.9714351615047829,75.05532280515534,2.9304735493064515,True,40,3,8.498457170182725,0.1642594640055903,0.040725909599907725,0.42876480653740906,True,pass,,42.5,4.546848945303745,25.6,False
11,2,3,2026-09-12T15:32:25.682500+02:00,24.039575,2.7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.32.03.517.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,666.6503720395062,287.62557790750395,-453.54854887757733,0.9701302208217106,144.83407747072116,19.414774008363942,True,34,3,8.281122980117205,0.4566685321937197,0.08787179193807779,0.9488478929234982,False,weak,near_parameter_boundary,42.5,4.546848945303745,25.6,False
12,2,4,2026-09-12T15:36:05.974500+02:00,27.711108333333335,0.1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.33.10.264.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,29.58430703508646,47.55166747652972,6.277270372580024,0.9785851846349918,21.718086615486566,2.2869540613618558,True,15,3,3.2640037672591586,0.12777239934761853,0.07400998857565574,-0.6313858778513646,True,pass,,42.5,4.546848945303745,25.6,False
13,2,5,2026-09-12T15:42:10.514000+02:00,33.786766666666665,0.1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.39.14.852.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,32.26056788620837,45.81281402240875,5.523230186950213,0.9794325860817008,19.339326948397456,1.4350046273524495,True,14,3,3.755246773214155,0.13356609775089823,0.08297655040370454,-0.6404716024471856,True,pass,,42.5,4.546848945303745,25.6,False
14,2,6,2026-09-12T15:45:41.267500+02:00,37.299324999999996,2.7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.45.19.105.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,849.0086297545607,293.453622240366,-486.23670310838446,0.9585131661090276,160.07937142100178,9.18919674411162,True,62,3,7.77665168306145,0.5249553050585435,0.0998686267706091,0.9439801165270859,False,weak,near_parameter_boundary;broad_local_parameter_scale,42.5,4.546848945303745,25.6,False
15,2,7,2026-09-12T15:47:01.790000+02:00,38.64136666666666,0.9,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.46.27.970.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,65.10518609395102,99.79547418219683,18.32742120794403,0.9921943400608443,35.70829663591337,1.0899756519579378,True,8,3,7.29125931344227,0.1741636601389914,0.0453195827826682,0.21447890651477605,True,pass,,42.5,4.546848945303745,25.6,False
16,2,8,2026-09-12T15:49:08.433334+02:00,40.7520889,0.3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.47.59.314.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,42.65465921961538,61.48834051152002,28.22770005765838,0.970458284689574,37.48586140096622,2.1151079075772508,True,26,3,4.304998410813172,0.13172924039098807,0.05338299885578337,-0.4457730330446414,True,pass,,42.5,4.546848945303745,25.6,False
17,3,1,2026-09-12T15:50:59.940000+02:00,42.610533333333336,0.9,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.50.26.125.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,66.55195026524073,99.30433738357725,12.12692722099525,0.9873039075320031,45.64286696987269,1.4059873014697934,True,37,3,8.144734809621378,0.18066018612420448,0.04763131718829833,0.2579798104057525,True,pass,,42.5,4.546848945303745,25.6,False
18,3,2,2026-09-12T15:52:28.740500+02:00,44.09054166666667,2.7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.52.06.579.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,773.5458675843239,286.9167876805807,-483.65008692253986,0.9796193490188684,115.50312583786582,7.269221420411755,True,50,3,8.042868651399603,0.5692795603093854,0.09897978865506725,0.9473011980046233,False,weak,near_parameter_boundary;broad_local_parameter_scale,42.5,4.546848945303745,25.6,False
19,3,3,2026-09-12T15:56:27.118500+02:00,48.06350833333333,0.1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.53.31.481.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,29.37763609321239,51.31997410710187,12.627754168110904,0.9866706794569782,19.174765519446378,2.217797227283693,True,11,3,3.3142763564795565,0.1038861127392311,0.062272439306641794,-0.6173897514409795,True,pass,,42.5,4.546848945303745,25.6,False
20,3,4,2026-09-12T16:00:46.567334+02:00,52.387655566666666,0.3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.59.37.465.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,43.101931966086745,64.7433725107444,26.934427692608033,0.9532163854506384,53.73505013450965,4.606786606827439,True,19,3,4.250501184440184,0.12117545445517132,0.052714140130636265,-0.4095135266995102,True,pass,,42.5,4.546848945303745,25.6,False
21,3,5,2026-09-12T16:03:18.405334+02:00,54.9182889,0.3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.02.09.306.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,43.532468069229736,63.06216575390676,27.273072770135883,0.9396163983995546,60.11687314723735,4.379268802881443,True,38,3,4.357180217682762,0.13241420655020325,0.05322329002382798,-0.3938304488501917,True,pass,,42.5,4.546848945303745,25.6,False
22,3,6,2026-09-12T16:08:04.827500+02:00,59.69199166666667,0.1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.05.09.289.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,30.97966503518589,48.15546435311422,11.797637479662349,0.9863451523168252,17.016747971651437,2.4006626458315874,True,27,3,3.2133394328670346,0.1331516671748739,0.07716391310660009,-0.6315564493447606,True,pass,,42.5,4.546848945303745,25.6,False
23,3,7,2026-09-12T16:11:30.351500+02:00,63.11739166666667,2.7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.11.08.194.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,655.9021036435474,276.8936018460824,-480.71063254096873,0.981775973695834,108.72277868984627,3.8165267470617352,True,39,3,9.22613308325168,0.6453383059029477,0.1202397038625905,0.9595879979312848,False,weak,near_parameter_boundary;broad_local_parameter_scale,42.5,4.546848945303745,25.6,False
24,3,8,2026-09-12T16:12:38.480000+02:00,64.25286666666666,0.9,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.12.04.675.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,60.83983610831172,98.44538039064015,19.495871316848472,0.9903064364847854,40.50846411765198,1.553819365792845,True,21,3,6.620331404014396,0.16393074983518077,0.0465236004541108,0.1994852722790034,True,pass,,42.5,4.546848945303745,25.6,False
25,4,1,2026-09-12T16:13:55.167000+02:00,65.53098333333334,2.7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.13.33.010.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,841.0499609734152,287.8434570237771,-492.24483915156947,0.9871266394634612,91.40145007495724,4.309812111977898,True,44,3,9.242462346862704,0.5754695402532871,0.11076183278702718,0.9592579719213277,False,weak,near_parameter_boundary;broad_local_parameter_scale,42.5,4.546848945303745,25.6,False
26,4,2,2026-09-12T16:17:54.764000+02:00,69.52426666666666,0.1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.14.59.227.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,33.66453898879679,46.188498166982704,10.238038103095,0.9762913110218123,21.050611136688094,1.6589264110966697,True,11,3,3.6229514562815024,0.14462783992972253,0.07954397749028103,-0.6409242854492748,True,pass,,42.5,4.546848945303745,25.6,False
27,4,3,2026-09-12T16:22:10.605834+02:00,73.78829723333334,0.3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.21.01.539.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,44.74767611612289,60.2173479003998,27.021918252347753,0.9630744925288658,40.31813062563032,2.485600047731792,True,12,3,4.686120486170779,0.1475137223250635,0.060727506804291724,-0.3874675330905706,True,pass,,42.5,4.546848945303745,25.6,False
28,4,4,2026-09-12T16:24:03.724500+02:00,75.67360833333333,0.9,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.23.29.925.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,64.62338306224116,97.16879624983183,17.150925762878796,0.9861203553407359,46.75964109481721,1.2871660259685545,True,18,3,7.836300878372898,0.1801716595294813,0.050382080685721226,0.09074218318001412,True,pass,,42.5,4.546848945303745,25.6,False
29,4,5,2026-09-12T16:25:27.304500+02:00,77.06660833333333,0.9,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.24.53.504.jpk-force-map,nonlinear_pb_derjaguin,20.0,250.0,47,63.31118503337211,95.68758218779577,15.411680358806574,0.9822730038931184,52.61203989282299,2.209998717134207,True,33,3,7.794385377265667,0.18186264994343107,0.05163278017542459,0.10287382525274003,True,pass,,42.5,4.546848945303745,25.6,False
