concentration_wt_percent,primary_included,source,timestamp,metric,valid_pixels,median,mad,robust_slope_per_acquisition,robust_change_across_map,pearson_correlation_acquisition_order,spatial_plane_column_slope_per_pixel,spatial_plane_row_slope_per_pixel,spatial_plane_r2,spatial_plane_inliers
0,True,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,approach_contact_invOLS_nm_per_V,256,66.4922226710205,0.7022754253108898,0.002666217182797225,0.6798853816132924,0.25919600112127195,-0.023913743523760238,0.04355721561630996,0.0921007419974077,252
0,True,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,approach_contact_response_ratio,256,1.0017534610498218,0.010633161305988698,-3.990443518353476e-05,-0.010175630971801363,-0.26164324518908744,0.00031692362684197057,-0.000655181570860649,0.09189183351332342,251
0,True,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,approach_contact_height_um,256,7.361528975297425,0.01835215205471509,0.00018818614302671332,0.047987466471811895,0.9600816087601207,-0.0007127488606852555,0.0030149692166166887,0.9882542038853419,246
0,True,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,approach_terminal_load_nN,256,17.763593253118238,0.11297296803471642,-9.364686657548447e-05,-0.02387995097674854,-0.05825751609143288,0.0020611495831846,-0.0017403431894251753,0.010958334607745979,256
0,True,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,approach_far_slope_pN_per_100nm,256,-3.2099907533803287,4.877157892714442,-0.016970474137449724,-4.32747090504968,-0.25886745093267394,0.10753042261573875,-0.2880308459189745,0.08558122193604911,256
0,True,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,approach_snap_distance_nm,13,10.363310654186453,2.6111107628556334,-0.05864859048995222,-7.389722401733979,-0.8265407275186363,-0.10079277746757992,-0.9452273523786723,0.6599817524120754,13
0,True,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,approach_barrier_force_nN,13,4.806211573557539,0.6040356170997543,0.02715795826174535,3.421902740979914,0.8762213838860101,0.08344652537647643,0.4630674604652803,0.8089272833339848,13
0,True,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,retract_contact_invOLS_nm_per_V,256,66.03627286421577,0.1460882783384515,0.0011222158685058137,0.2861650464689825,0.2281418908017067,-0.010908120171167466,0.01886173192083017,0.5605777147784352,242
0,True,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,retract_detachment_piezo_travel_nm,248,429.50615793761176,124.58837953436064,-0.566532335593692,-144.46574557639144,-0.2849628636119773,-2.5413047494167893,-9.194043703336396,0.12946489183724452,245
0,True,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,2026-08-20T15:01:47.915000,retract_pull_off_force_nN,248,-131.43953706721967,37.07667943594096,0.16129285094927162,41.12967699206426,0.2735209813948823,0.7881506449946436,2.6174271797762563,0.12423497193318922,245
0,True,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:06:26.277000,approach_contact_invOLS_nm_per_V,256,66.65014163364356,0.578114051802539,0.0018680267534504048,0.47634682212985324,0.1612949084471319,-0.013639574419432183,0.031657420190944516,0.07080652878529337,239
0,True,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:06:26.277000,approach_contact_response_ratio,256,0.9993799353526734,0.008682638798193528,-2.7578082264087658e-05,-0.007032410977342353,-0.16588451230086784,0.00017462437072719738,-0.0004517844825110654,0.06109334365178154,240
0,True,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,2026-08-20T15:06:26.277000,approach_contact_height_um,256,7.411209954692971,0.01739765602133085,0.00020300480218935402,0.05176622455828527,0.9643217889953358,-0.000750756505940548,0.0032311934931191742,0.9822715913349055,252
