location,location_order,instrument_scan_number,variant,available_bins,reason,available_pixels
A,1,5,upper_200nm,11,fewer_than_12_snap_safe_fit_bins,
B,12,36,,,fewer_than_48_saved_pixels_no_PB_fit,44
