acquisition_order,instrument_scan_number,block,position_in_block,source,map_start_time,approach_speed_um_per_s,retract_speed_um_per_s,point_index,line_index,position_within_line,physical_row,physical_column,approach_raw_saturated,retract_raw_saturated,approach_sample_count,approach_duration_s,approach_sample_rate_Hz,approach_scanner_travel_nm,approach_negative_scanner_step_fraction,approach_largest_backward_scanner_step_nm,approach_initial_0_10nm_raw_V,approach_early_80_100nm_raw_V,approach_settled_100_300nm_raw_V,approach_terminal_last_25nm_raw_V,approach_early_80_100nm_delta_V,approach_settled_100_300nm_delta_V,approach_terminal_last_25nm_delta_V,approach_minimum_delta_V,approach_minimum_scanner_travel_nm,approach_maximum_delta_V,approach_maximum_scanner_travel_nm,approach_early_80_100nm_delta_nN_prior_D3_scale,approach_settled_100_300nm_delta_nN_prior_D3_scale,approach_terminal_last_25nm_delta_nN_prior_D3_scale,approach_minimum_delta_nN_prior_D3_scale,approach_maximum_delta_nN_prior_D3_scale,retract_sample_count,retract_duration_s,retract_sample_rate_Hz,retract_scanner_travel_nm,retract_negative_scanner_step_fraction,retract_largest_backward_scanner_step_nm,retract_initial_0_10nm_raw_V,retract_early_80_100nm_raw_V,retract_settled_100_300nm_raw_V,retract_terminal_last_25nm_raw_V,retract_early_80_100nm_delta_V,retract_settled_100_300nm_delta_V,retract_terminal_last_25nm_delta_V,retract_minimum_delta_V,retract_minimum_scanner_travel_nm,retract_maximum_delta_V,retract_maximum_scanner_travel_nm,retract_early_80_100nm_delta_nN_prior_D3_scale,retract_settled_100_300nm_delta_nN_prior_D3_scale,retract_terminal_last_25nm_delta_nN_prior_D3_scale,retract_minimum_delta_nN_prior_D3_scale,retract_maximum_delta_nN_prior_D3_scale
1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,1.0,0,1,1,0,0,False,False,10000,5.0,2000.0,500.01786648239425,0.2751275127512751,-0.2586377128532149,-0.5523306947869602,-0.552768799946795,-0.5527018182365735,0.8469895141424623,-0.000438105159834834,-0.00037112344961326427,1.3993202089294225,-0.014686901751812087,275.37252572353566,1.6501339528809864,500.01786648239425,-0.009561897534325878,-0.008099983116212161,30.540969799440273,-0.32055009281443386,36.0151242713247,1000,0.5,2000.0,498.5640836393642,0.0,0.13818630489078032,-0.9216971099906297,-0.9227611638907522,-0.9400258922884188,0.8891709019989288,-0.0010640539001224858,-0.018328782297789115,1.8108680119895584,-0.49321383143338915,362.19108077725645,2.025705608228259,498.5640836393642,-0.02322358944096157,-0.4000362340550792,39.52323772073458,-10.764676043661074,44.212192040582785
1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,1.0,1,1,2,0,1,False,False,9478,4.739,2000.0,473.76118060741305,0.27350427350427353,-0.2530414182530478,-0.5615393408644308,-0.5549093195956062,-0.553715523916565,0.7381429390607914,0.006630021268824615,0.00782381694786577,1.2996822799252223,-0.13523542495150342,0.0,1.543002440526535,473.7527804666447,0.14470403417937924,0.17075931269793387,28.366314591020043,-2.951591067507161,33.676917288743574,1000,0.5,2000.0,498.35867341280965,0.001001001001001001,-0.006542307734946462,-0.913727710374436,-0.9219794955365789,-0.9439303405822533,0.7697109226698897,-0.008251785162142866,-0.030202630207817327,1.6834386330443256,-0.3325226061342764,375.07805929001154,1.8963315209373082,498.35867341280965,-0.18009996555490726,-0.659189805988956,36.74201810488604,-7.257497466821995,41.38852804461575
1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,1.0,2,1,3,0,2,False,False,9917,4.9585,2000.0,495.81620041218645,0.27067365873336025,-0.2819803021316716,-0.563652408719113,-0.5541250370497116,-0.5556371022276597,0.7377130380132735,0.00952737166940143,0.008015306491453322,1.3013654467323865,-0.1289518146773605,0.0,1.5490805586450511,495.81620041218645,0.2079403760243327,0.17493868231633622,28.403050676368476,-2.8144476528766567,33.8095757186801,1000,0.5,2000.0,498.3217789003604,0.0,0.05274878085123191,-0.9174444346731837,-0.9182137940778266,-0.9366234577988406,0.7825606539116009,-0.0007693594046428442,-0.019179023125656947,1.7000050885847846,-0.76026288514175,355.45113607793974,1.9095166140420958,498.2690301195092,-0.016791712284416505,-0.4185932300024394,37.10359054207111,-16.593175505207487,41.676300298419044
1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,1.0,3,1,4,0,3,False,False,10000,5.0,2000.0,500.0547381993471,0.27222722272227223,-0.2796437636507676,-0.558593347030452,-0.555342755364058,-0.5544562885134645,0.7312567297843313,0.003250591666394076,0.004137058516987535,1.2898500768147834,-0.020447890603980667,0.0,1.53325771828289,500.0547381993471,0.07094603599672653,0.09029368576224583,28.151721093161807,-0.44628699379409154,33.464233111206546,1000,0.5,2000.0,498.5603451778009,0.0,0.13259001029405226,-0.912121781808417,-0.925619671295827,-0.9481321003443438,0.756656833943001,-0.013497889487410042,-0.036010318535926844,1.668778615751418,-0.9338379096066017,343.73642741378734,1.8871909968026184,498.42775516750686,-0.2945992150764146,-0.7859459499376358,36.42205478087708,-20.38155042203506,41.189030838924566
1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,1.0,4,1,5,0,4,False,False,10000,5.0,2000.0,499.95156577837565,0.27642764276427645,-0.27171093057654616,-0.5597468229737742,-0.5564092009714999,-0.5535614006282624,0.7281555920148567,0.0033376220022742764,0.006185422345511782,1.287902414988631,-0.011196410717050465,28.91400259121335,1.532049116266908,499.95156577837565,0.07284552322115953,0.13500040651566572,28.10921225163114,-0.24436811488142707,33.437854675853366,1000,0.5,2000.0,498.46790943607533,0.0,0.11297448483236394,-0.9811828729651664,-0.9510106591561323,-0.9730970556046677,0.7510655728788674,0.030172213809034065,0.008085817360498626,1.732248445844034,-1.0783739139714612,330.50490635644866,1.9577869411021718,498.46790943607533,0.658525950560642,0.1764776226591563,37.8073203917534,-23.536131993908565,42.72982799818604
1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,1.0,5,1,6,0,5,False,False,10000,5.0,2000.0,499.98143927764255,0.27122712271227123,-0.2595723282415179,-0.5565315395819481,-0.5580381399867766,-0.5559991177220738,0.7057958039523153,-0.0015066004048285841,0.000532421859874399,1.2623273435342635,-0.029347605965310497,419.96305462721966,1.5091844665997671,499.9571734707223,-0.032882421886050985,0.011620413854686195,27.551021581674366,-0.6405284092610628,32.93882052305342,1000,0.5,2000.0,498.5584759470176,0.0,0.1988793165661491,-0.9182380587828995,-0.9331057402354068,-0.9500553917853325,0.7330503934696573,-0.014867681452507275,-0.031817333002432946,1.6512884522525568,-1.399081786301272,323.5478801359331,1.87383242426657,498.5584759470176,-0.32449571394107196,-0.69443162481694,36.04032188529155,-30.53576608821007,40.89747229658119
1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,1.0,6,1,7,0,6,False,False,9958,4.979,2000.0,497.75782969385034,0.27729235713568345,-0.28570736594508617,-0.5581994383970379,-0.5594990615628574,-0.5569671417922626,0.7300213545516459,-0.0012996231658196078,0.001232296604775307,1.288220792948684,-0.1487930070039205,-0.07468944704386174,1.5290475291430257,497.7060155283908,-0.028365024391605518,0.026895583405594666,28.116161034047586,-3.2474931072076303,33.372343307464696,1000,0.5,2000.0,498.5230061531539,0.0,0.14566322802079412,-0.9280712853215867,-0.923835922071657,-0.9450975994342679,0.750468446992835,0.00423536324992968,-0.01702631411268124,1.6785397323144218,-0.10414929805985684,355.1845655320157,1.9060625715144615,498.3773429251331,0.09243924319847058,-0.3716091154783063,36.63509677387996,-2.2731184373536206,41.600913830154454
1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,1.0,7,1,8,0,7,False,False,10000,5.0,2000.0,499.9403617914323,0.27222722272227223,-0.26984169979658645,-0.565424877984111,-0.5605829360421267,-0.5618180832283003,0.6756282595346643,0.004841941941984285,0.003606794755810716,1.2410531375187754,-0.10152704406001489,403.7296857068118,1.5242010318329144,499.9403617914323,0.10567817264207303,0.07872037365505562,27.086699777929976,-2.2158862329556683,33.26656571128861,1000,0.5,2000.0,498.53419874235084,0.001001001001001001,-0.1391209202824939,-0.928316196151105,-0.9305616311006474,-0.9397939689858563,0.6919215487265743,-0.0022454349495423243,-0.01147777283475132,1.6202377448776795,-0.13538715931354162,378.5448897078802,1.888333762903048,498.39507782206834,-0.04900791151515391,-0.25050900521129854,35.362622306498984,-2.9549027573826976,41.21397236748846
1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,1.0,8,2,1,1,7,False,False,10000,5.0,2000.0,500.0197243154277,0.2741274127412741,-0.27917645595664453,-0.5661773814142612,-0.5649694579757049,-0.5646174681846476,0.9649906243140272,0.0012079234385563575,0.0015599132296135187,1.5311680057282884,-0.016271193709754717,294.4200785751433,1.7859822250225657,500.0197243154277,0.026363625009896818,0.03404600500397454,33.41862393068279,-0.3551281776103652,38.98009108185647,1000,0.5,2000.0,498.4548362183486,0.001001001001001001,-0.014007833118398594,-0.9235740384633351,-0.9370863949989732,-0.9461394382668691,0.9744272084422128,-0.013512356535638037,-0.02256539980353406,1.8980012469055478,-0.10346627928944852,357.6159218808366,2.141985740368572,498.4408283852302,-0.2949149667393998,-0.49250285210937644,41.42497077591051,-2.258211159157838,46.75007292110634
1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,1.0,9,2,2,1,6,False,False,9657,4.8285,2000.0,482.7756144405932,0.2730944490472245,-0.2815129944341308,-0.567711091543451,-0.5661468537732771,-0.5657859785114225,0.7782146797602536,0.001564237770173893,0.0019251130320285248,1.3459257713037047,-0.08963417095257653,0.0,1.592111500408795,482.7756144405932,0.03414039059335432,0.042016701107085566,29.375605434244147,-1.9563174251266588,34.748750815603366,1000,0.5,2000.0,498.5192562938407,0.0,0.11671294639569396,-0.92880088954468,-0.9354851330432822,-0.9550101082895419,0.8088262557659929,-0.006684243498602194,-0.02620921874486193,1.7376271453106729,-0.6823911585971025,355.5897896905281,1.9549890328860415,498.5192562938407,-0.14588746558523472,-0.5720312999453898,37.92471360663205,-14.893580206394573,42.66876203931176
