acquisition_order,block,position_in_block,palindrome_mate_order,source,bytes,sha256,instrument_scan_number,map_start_time,map_end_time,approach_nominal_speed_um_per_s,approach_declared_points,approach_declared_duration_s,retract_nominal_speed_um_per_s,retract_declared_points,retract_declared_duration_s,nominal_z_span_nm,grid_i,grid_j,field_u_um,field_v_um,back_and_forth,baseline_adjust_enabled,baseline_adjust_begin_of_line,baseline_adjust_interval,baseline_adjust_deadtime_samples,baseline_adjust_average_samples,instrument_failure_flag_count,approach_curves,retract_curves,parser_skips,approach_actual_points_median,retract_actual_points_median,approach_actual_sample_rate_Hz_median,retract_actual_sample_rate_Hz_median,approach_actual_scanner_travel_nm_median,retract_actual_scanner_travel_nm_median,embedded_InvOLS_nm_per_V,embedded_k_N_per_m,prior_D3_InvOLS_nm_per_V,prior_D3_k_N_per_m
11,2,3,14,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.32.03.517.jpk-force-map,2054341,2fd533182205e0d66ed4fdffef05423c4ebc46144b3df72ad0ca5dbf9bf2526e,19,2026-09-12T15:32:03.017000+02:00,2026-09-12T15:32:48.348000+02:00,2.7,370,0.18518518518518517,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,370.0,1000.0,1998.0,2000.0,495.9250888041182,497.3761817784652,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
12,2,4,13,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.33.10.264.jpk-force-map,12894347,26a3156f0072023b616ec0a43d7244d04fbe69389a41ea136b8c2a9b16d2499e,20,2026-09-12T15:33:09.759000+02:00,2026-09-12T15:39:02.190000+02:00,0.09999999999999999,9990,5.0,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,9990.0,1000.0,1998.0,2000.0,499.8431959840075,498.43919850717225,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
13,2,5,12,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.39.14.852.jpk-force-map,12889670,cf928c485e067cf2dfa23cab059e27cb8aefcac2bcc33116cf2640f2e5e26433,21,2026-09-12T15:39:14.351000+02:00,2026-09-12T15:45:06.677000+02:00,0.09999999999999999,9990,5.0,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,9990.0,1000.0,1998.0,2000.0,499.9120440848576,498.4244954113859,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
14,2,6,11,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.45.19.105.jpk-force-map,2058442,5f6330178b6d0773f14818b757e949e36b75d89e1e6746195cd471b182e3e90d,22,2026-09-12T15:45:18.604000+02:00,2026-09-12T15:46:03.931000+02:00,2.7,370,0.18518518518518517,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,370.0,1000.0,1998.0,2000.0,497.8086921472968,497.38341364999656,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
15,2,7,10,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.46.27.970.jpk-force-map,2927193,8299ae152742a04ea4198ddd296c2147d000e0c65d0d8594d5471ab4a40a71c6,23,2026-09-12T15:46:27.469000+02:00,2026-09-12T15:47:36.111000+02:00,0.8999999999999999,1110,0.5555555555555556,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,1110.0,1000.0,1998.0,2000.0,499.56382576632325,497.9405982926694,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
16,2,8,9,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.47.59.314.jpk-force-map,5475536,00fe52af082cc3f54c581f70e4bfd077b0a5a3445859bc40ed8b6f7f2928e8ba,24,2026-09-12T15:47:58.814000+02:00,2026-09-12T15:50:18.052667+02:00,0.3,3330,1.6666666666666667,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,3330.0,1000.0,1998.0,2000.0,499.86419633593516,498.30451700999765,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
17,3,1,24,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.50.26.125.jpk-force-map,2920080,2071ece4b46fadf876db587e57929b9b95b57805753521e3642a0015e4b25b1b,25,2026-09-12T15:50:25.623000+02:00,2026-09-12T15:51:34.257000+02:00,0.8999999999999999,1110,0.5555555555555556,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,1110.0,1000.0,1998.0,2000.0,499.56783777385476,497.9370991838264,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
18,3,2,23,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.52.06.579.jpk-force-map,2054188,0028b5e76415191d2f948435321a94bb247cf8f816c74a7dfc46d997b201db26,26,2026-09-12T15:52:06.078000+02:00,2026-09-12T15:52:51.403000+02:00,2.7,370,0.18518518518518517,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,370.0,1000.0,1998.0,2000.0,497.8039734793457,497.38948865003897,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
19,3,3,22,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.53.31.481.jpk-force-map,12897304,bfb86388c5126bf6a4cc18681dede3cc7d02c15749ed5e8eda399ddc0dc77c5f,27,2026-09-12T15:53:30.979000+02:00,2026-09-12T15:59:23.258000+02:00,0.09999999999999999,9990,5.0,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,9990.0,1000.0,1998.0,2000.0,499.8954090706703,498.4256579817514,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
20,3,4,21,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.59.37.465.jpk-force-map,5480684,481f665a192f6cbd1bec486640ecda2e8a743655e2652bd2478916c031fbfef7,28,2026-09-12T15:59:36.965000+02:00,2026-09-12T16:01:56.169667+02:00,0.3,3330,1.6666666666666667,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,3330.0,1000.0,1998.0,2000.0,499.81037616670903,498.28396686914266,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
