approach_speed_um_per_s,maps,approach_curves,retract_speed_um_per_s,prior_D3_scale_nN_per_V,approach_settled_delta_V_map_median,approach_settled_delta_V_map_minimum,approach_settled_delta_V_map_maximum,approach_settled_spatial_IQR_V_map_median,approach_settled_spatial_IQR_V_map_minimum,approach_settled_spatial_IQR_V_map_maximum,approach_terminal_delta_V_map_median,approach_terminal_delta_V_map_minimum,approach_terminal_delta_V_map_maximum,retract_minimum_delta_V_map_median,retract_minimum_delta_V_map_minimum,retract_minimum_delta_V_map_maximum,retract_minimum_scanner_travel_nm_map_median,retract_minimum_scanner_travel_nm_map_minimum,retract_minimum_scanner_travel_nm_map_maximum,approach_settled_delta_nN_prior_D3_scale_map_median,approach_settled_delta_nN_prior_D3_scale_map_minimum,approach_settled_delta_nN_prior_D3_scale_map_maximum,retract_minimum_delta_nN_prior_D3_scale_map_median,retract_minimum_delta_nN_prior_D3_scale_map_minimum,retract_minimum_delta_nN_prior_D3_scale_map_maximum,line_edge_settled_delta_V_pixel_median,line_interior_settled_delta_V_pixel_median,settled_delta_V_per_speed_um_per_s
0.1,8,512,1.0,21.82557616516254,0.0028493528672038568,0.0018124928183571587,0.004779120690076688,0.0031911563489767265,0.002285952835431704,0.005473783737864932,1.3519480736479157,1.3260857164286488,1.3701651117643652,-0.8724527208147539,-1.2138140412589649,-0.6369164565069833,346.6541342467283,327.3310265738063,354.4882599690586,0.06218876802458204,0.03955870005586428,0.10430706262377291,-19.0417833086457,-26.492190807841286,-13.901068632338598,0.0015238651944095294,0.0034184130412110436,0.028493528672038568
0.3,8,512,1.0,21.82557616516254,0.021870932820124832,0.014644564360674184,0.03598110216238598,0.023919163853271728,0.021428321655889468,0.04365079929826792,1.3206081546275357,1.2966983566723165,1.3303859519585652,-0.9372694235027609,-1.169478916789692,-0.5989362527342176,341.88780946015595,332.06512707544607,354.1476838410105,0.4773457100687877,0.3196260548595193,0.7853082857516498,-20.456445189937494,-25.52455117194521,-13.072128802127708,0.003805464983466872,0.027870461104754718,0.07290310940041611
0.9,8,512,1.0,21.82557616516254,0.17446177428779372,0.14685717022372463,0.22418424660956268,0.12685040882928406,0.11513711574493046,0.15522180295078702,1.316906418824833,1.310660259628153,1.3264900581899806,-0.7910010777158261,-0.9603324187093839,-0.6221418986819107,349.50495909046873,339.09312137806023,353.73382018900605,3.8077287426276376,3.2052423541181425,4.8929503494065925,-17.264054268412416,-20.959808348416423,-13.57860539522088,0.03287841673579124,0.18833951208968702,0.19384641587532636
2.7,8,512,1.0,21.82557616516254,0.6991392184210707,0.6729166659079031,0.8021541964446022,0.18836764628519215,0.16764348254657047,0.23438255823214516,1.3661398704314114,1.3556835825828137,1.3729781725587866,-0.8128689645854374,-0.9137530023041829,-0.5066396165072258,344.8267559977466,342.5114087843368,354.2788719282171,15.259116261701289,14.686793944580176,17.50747751070642,-17.741333498856278,-19.943185747935885,-11.057701538367198,0.48318842008735885,0.7160993615010698,0.2589404512670632
