acquisition_order,instrument_scan_number,block,position_in_block,map_start_time,approach_speed_um_per_s,branch,physical_row,physical_column,scanner_travel_bin_center_nm,delta_V,delta_nN_prior_D3_scale
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,222.5,0.012160791605159538,0.26541628340707873
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,227.5,0.008412858306947157,0.18361547974499556
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,232.5,0.009411638064632022,0.20541442341856916
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,237.5,0.01276634965002077,0.27863293663762445
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,242.5,0.012387475400059245,0.27036378783807036
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,247.5,0.013495839849858249,0.294554480555917
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,252.5,0.010708641476620318,0.2337222701733954
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,257.5,0.015350898105865207,0.3350421958132105
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,262.5,0.011407375988961799,0.2489725534917321
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,267.5,0.011962697055893146,0.2610927557341615
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,272.5,0.009585467908825418,0.20920835992279047
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,277.5,0.012434408484622184,0.2713881294498648
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,282.5,0.010952868166603125,0.2390526583971807
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,287.5,0.01141284354313643,0.24909188601180768
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,292.5,0.010214036402944382,0.22292722946620544
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,297.5,0.01081344275409546,0.23600961843713544
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,302.5,0.01563134803751859,0.341163177157026
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,307.5,0.015315470245931051,0.3342689623578488
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,312.5,0.014236153915844041,0.3107122615892311
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,317.5,0.014167011325869894,0.30920318472549374
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,322.5,0.016251712419320608,0.3547029872221999
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,327.5,0.01662466024102882,0.36284278831052397
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,332.5,0.019886303820083107,0.43403003866878664
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,337.5,0.017865731074400704,0.38992987431064374
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,342.5,0.02218186172429948,0.48413191254880195
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,347.5,0.025539985664201015,0.5574249023711787
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,352.5,0.02722793310494931,0.5942653278020218
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,357.5,0.030600526874134004,0.6678741299855149
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,362.5,0.0336304724160828,0.7340044371876131
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,367.5,0.040269718444417624,0.8789098070582877
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,372.5,0.04134664584824016,0.9024143681347672
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,377.5,0.04708211573952048,1.0275943030899024
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,382.5,0.052182184084490935,1.1389062332005895
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,387.5,0.06001443041013049,1.30984952192515
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,392.5,0.06811266240025038,1.4865981010286675
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,397.5,0.055479934100904904,1.2108815273574987
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,402.5,0.07049137384964521,1.5385148489423786
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,407.5,0.14255313716317453,3.1113043527377284
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,412.5,0.22817076939922692,4.979958506186565
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,417.5,0.3145051379167828,6.864255841937693
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,422.5,0.403411186948593,8.804681586625142
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,427.5,0.4912635470723503,10.722109963795495
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,432.5,0.5784330052300103,12.624633612091452
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,437.5,0.6464994186852333,14.110222303247866
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,442.5,0.7255662007268471,15.835900376831413
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,447.5,0.7965830521419752,17.385884076402323
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,452.5,0.8655264740796594,18.89061398299019
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,457.5,0.9636589373494804,21.03241153436068
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,462.5,1.0488838011846777,22.892493291161387
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,467.5,1.146186873196136,25.016188900451766
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,472.5,1.2517674718150271,27.32054629717183
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,477.5,1.341614204365098,29.28150300163439
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,482.5,1.440767776483381,31.445586841949915
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,approach,3,3,487.5,1.5383263523629391,33.574858970373995
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,2.5,0.0025299869373541783,0.05521842259808993
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,7.5,-0.0007825777591656813,-0.017080210487832804
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,12.5,0.0026931069386552098,0.058778610610547004
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,17.5,0.0018925357534926857,0.04130568323314789
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,22.5,0.0033032203516436542,0.07209468737511357
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,27.5,0.0022602412864830557,0.0493310683497809
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,32.5,-0.00011528029280061247,-0.0025160588108620063
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,37.5,-0.0035618028476536168,-0.07773839933675684
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,42.5,-0.004479934790735385,-0.09777715799015665
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,47.5,-0.00203070969124014,-0.044321409035495384
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,52.5,-0.005772608100053311,-0.12599049775934779
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,57.5,-0.007669015082137576,-0.1673806727869739
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,62.5,-0.0036126071608081345,-0.07884723274302954
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,67.5,-0.002124231009543287,-0.04636256569118713
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,72.5,-0.006102496846845162,-0.13319050972848334
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,77.5,-0.005886520113782767,-0.12847669309112705
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,82.5,-0.008634872710463815,-0.1884610720187115
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,87.5,-0.010477174267081613,-0.22867036496187076
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,92.5,-0.00383188778723742,-0.08363315875670647
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,97.5,-0.010959019860313335,-0.23918692265679764
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,102.5,-0.01137571089647349,-0.2482814446038516
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,107.5,-0.0127879918202074,-0.27910528947141217
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,112.5,-0.008816333769639528,-0.1924215641867621
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,117.5,-0.005444538163246304,-0.11883018236606638
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,122.5,-0.01044094824435604,-0.2278797111437129
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,127.5,-0.01526648752381643,-0.3331998862255592
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,132.5,-0.017184539457142378,-0.3750624747851019
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,137.5,-0.018586569412062603,-0.4056625863520527
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,142.5,-0.016318580106286285,-0.35616241301705753
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,147.5,-0.013567833021230769,-0.2961257730010795
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,152.5,-0.012436458122173977,-0.2714328639703624
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,157.5,-0.016780835947938222,-0.36625141309682324
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,162.5,-0.021641686283021766,-0.472342272312645
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,167.5,-0.02917560049321194,-0.636774290728951
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,172.5,-0.03187451983686457,-0.6956797604274719
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,177.5,-0.029532829791931836,-0.6445710259965897
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,182.5,-0.035927849130283906,-0.7841460076434802
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,187.5,-0.028962015467469127,-0.632112674481863
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,192.5,-0.034428309824157954,-0.7514176983049732
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,197.5,-0.035591580643270004,-0.7768067541682143
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,202.5,-0.03455919739774599,-0.7542743950113922
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,207.5,-0.04663694391887291,-1.0178781716117746
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,212.5,-0.05307365683412518,-1.1583631395968985
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,217.5,-0.04836601482024183,-1.0556161402645683
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,222.5,-0.051102978996604875,-1.1153519603571014
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,227.5,-0.051828258679137984,-1.1311816073092726
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,232.5,-0.05927468367936933,-1.2937041233099924
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,237.5,-0.0647802799056389,-1.4138669330810703
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,242.5,-0.07367521463338467,-1.6080040084656348
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,247.5,-0.07384232266758817,-1.611651237593954
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,252.5,-0.07267723303849127,-1.5862224851548588
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,257.5,-0.08419236934747243,-1.8375469697187556
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,262.5,-0.09761917506850248,-2.130594740637937
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,267.5,-0.10673737567452513,-2.3296047224539156
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,272.5,-0.13407694310914042,-2.9263065338207093
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,277.5,-0.1511127128088987,-3.298122022934952
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,282.5,-0.1698127381416672,-3.7062608501257595
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,287.5,-0.2003784044910918,-4.3733741290740715
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,292.5,-0.2462531641272805,-5.374617189572232
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,297.5,-0.30794380870701854,-6.721051051525277
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,302.5,-0.38960721454538516,-8.503401935557127
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,307.5,-0.4757983948829876,-10.384574106780729
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,312.5,-0.5900590917291216,-12.878379648480575
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,317.5,-0.7173441478239518,-15.656449334965277
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,322.5,-0.8480259400266185,-18.508654744084524
