approach_speed_um_per_s,position_within_line,signal,maps,map_centered_raw_V_q25,map_centered_raw_V_median,map_centered_raw_V_q75,settled_delta_V_q25,settled_delta_V_median,settled_delta_V_q75,settled_delta_nN_prior_D3_scale_median
0.1,1,initial_0_10nm,8,0.00937403437677455,0.011621579799447099,0.018334954501780132,0.0002040265396298646,0.0008701712586878865,0.0015574036750874666,0.018991989083227825
0.1,1,settled_100_300nm,8,0.0073401059619775146,0.010608888509275119,0.015763719999224976,0.0002040265396298646,0.0008701712586878865,0.0015574036750874666,0.018991989083227825
0.1,2,initial_0_10nm,8,0.003192945957883762,0.0077027555369366535,0.00885607643644136,0.004043030003774692,0.004761949065838975,0.005310504521163892,0.10393228203109316
0.1,2,settled_100_300nm,8,0.006747568469100655,0.008489162808868508,0.012173714124954396,0.004043030003774692,0.004761949065838975,0.005310504521163892,0.10393228203109316
0.1,3,initial_0_10nm,8,0.0025729305984870388,0.0038573337454312906,0.005080782423651912,0.0038520316640306244,0.004319120284048142,0.004855429015948705,0.09426728872599119
0.1,3,settled_100_300nm,8,0.004048189903737403,0.005766055934419784,0.006920384271106389,0.0038520316640306244,0.004319120284048142,0.004855429015948705,0.09426728872599119
0.1,4,initial_0_10nm,8,0.0004736258374802571,0.0016674691420886512,0.0022175757308524613,0.0024653746860120035,0.0028904596414943396,0.0036744741632110806,0.06308594705776312
0.1,4,settled_100_300nm,8,0.001279737231879921,0.001922868720625151,0.0022847882686410914,0.0024653746860120035,0.0028904596414943396,0.0036744741632110806,0.06308594705776312
0.1,5,initial_0_10nm,8,-0.005762030357274545,-0.0012019740665991374,-0.0006417788531087572,0.002694519714606703,0.003418360201165621,0.003999147736571581,0.07460768093050062
0.1,5,settled_100_300nm,8,-0.002696466105490694,-0.002417457803234796,0.00037356521592321525,0.002694519714606703,0.003418360201165621,0.003999147736571581,0.07460768093050062
0.1,6,initial_0_10nm,8,-0.00888618448574885,-0.004570354537424447,-0.0025324047170645347,0.0024662625378279734,0.0034532283737763805,0.004269731180268277,0.07536869888755678
0.1,6,settled_100_300nm,8,-0.007179430508041429,-0.006130597322058196,-0.0023680339362670694,0.0024662625378279734,0.0034532283737763805,0.004269731180268277,0.07536869888755678
0.1,7,initial_0_10nm,8,-0.01169762044877326,-0.00815027039644078,-0.0027558666597204545,0.0010498625239736131,0.00223340549604166,0.002375307090415151,0.04874536176154987
0.1,7,settled_100_300nm,8,-0.01308870208533304,-0.008125464080902136,-0.004726952964697224,0.0010498625239736131,0.00223340549604166,0.002375307090415151,0.04874536176154987
0.1,8,initial_0_10nm,8,-0.018595984673841923,-0.0120562517468566,-0.006526373433920138,0.001824280320070766,0.0019476945035489385,0.0022779965846436074,0.0425095547336758
