location,speed_um_per_s,early_location_order,late_location_order,early_scan_number,late_scan_number,elapsed_min,baseline,distance_nm,paired_pixels,difference_median,difference_q25,difference_q75,negative_pixel_fraction,positive_pixel_fraction,naive_pixel_wilcoxon_p,exact_physical_row_signflip_p,row_cluster_bootstrap_median_95CI_low,row_cluster_bootstrap_median_95CI_high,exact_row_signflip_BH_q_across_primary_endpoint_tests
A,1.0,2,16,6,20,57.36366666666667,linear,20.0,64,-148.99728349446747,-345.1470571699873,55.68547502266034,0.6875,0.3125,0.0007146991427661085,0.0390625,-293.15153849852163,-22.181419234994564,0.10416666666666667
A,1.0,2,16,6,20,57.36366666666667,linear,50.0,64,-69.88423726259137,-120.02170631311773,-10.796809677914439,0.8125,0.1875,1.5593869655198865e-05,0.0078125,-108.03977901307937,-37.07992922857774,0.0625
A,1.0,2,16,6,20,57.36366666666667,linear,100.0,64,-35.11954615947741,-61.52082557043529,-10.439886327649937,0.8125,0.1875,1.925876446245381e-05,0.0078125,-53.60017633187633,-20.442704890884386,0.0625
A,1.0,2,16,6,20,57.36366666666667,linear,200.0,64,-19.16989518690565,-37.1389401810406,9.413727431507258,0.671875,0.328125,0.011045634323673113,0.0234375,-27.23107116547225,-6.861018273514905,0.08035714285714286
A,1.0,2,16,6,20,57.36366666666667,constant,20.0,64,-150.28695386655048,-340.74956361447295,59.51825131040596,0.71875,0.28125,0.0007875682553027494,0.0390625,-290.32160865564185,-22.78654806040049,
A,1.0,2,16,6,20,57.36366666666667,constant,50.0,64,-58.202468962435404,-101.25510086365551,-8.587294806678557,0.796875,0.203125,5.473034011674332e-07,0.015625,-97.31229362367407,-26.642512842265234,
A,1.0,2,16,6,20,57.36366666666667,constant,100.0,64,-24.27595296466066,-37.56810599989452,-14.267605988421334,0.90625,0.09375,9.81565443247957e-10,0.0078125,-32.21641925143342,-18.503068445941075,
A,1.0,2,16,6,20,57.36366666666667,constant,200.0,64,-6.466863392339824,-10.870853598720803,-0.7084401446529035,0.78125,0.21875,2.907966827757314e-07,0.0078125,-7.879403429535236,-5.721574756734905,
A,2.0,1,17,5,21,64.56592500000001,linear,20.0,64,-77.2694532456373,-372.5626911709223,117.67824265486001,0.59375,0.40625,0.03878705106907489,0.1875,-296.9241618070105,23.75802123759746,0.28125
A,2.0,1,17,5,21,64.56592500000001,linear,50.0,64,-42.343682202397645,-158.05380862459592,37.75899863417991,0.671875,0.328125,0.014922613766313137,0.171875,-133.5336102281949,-6.39079473392195,0.275
A,2.0,1,17,5,21,64.56592500000001,linear,100.0,64,-33.408040549212686,-111.23996519366281,19.638918056099875,0.625,0.375,0.039422308237352086,0.5,-63.126632302256354,3.9715508912286026,0.6
A,2.0,1,17,5,21,64.56592500000001,linear,200.0,64,-13.989241506558253,-69.454668818657,26.633901354929677,0.59375,0.40625,0.19681174603334473,0.671875,-35.10609330940925,3.7178279790536446,0.7010869565217391
A,2.0,1,17,5,21,64.56592500000001,constant,20.0,64,-109.91305572296608,-352.210940939598,42.77703836438184,0.71875,0.28125,0.0009098885695825151,0.1484375,-286.64453272734454,-37.28560921724653,
A,2.0,1,17,5,21,64.56592500000001,constant,50.0,64,-41.20281146419177,-123.42019466539472,-9.95671294254641,0.8125,0.1875,4.324351008242872e-08,0.015625,-108.0137090183519,-21.932965145917564,
A,2.0,1,17,5,21,64.56592500000001,constant,100.0,64,-22.387095202641504,-46.65055123451059,-4.0027975061818015,0.78125,0.21875,3.4651194410982408e-06,0.0078125,-38.72979069006533,-15.097716619954895,
A,2.0,1,17,5,21,64.56592500000001,constant,200.0,64,-6.368796144289313,-17.312548517631708,4.402811603437256,0.640625,0.359375,0.009840710428992153,0.015625,-13.541711295423648,-3.506524599251428,
A,4.0,3,18,7,22,59.50624166666667,linear,20.0,64,-137.35089313607867,-417.69928563674364,59.41618737371556,0.65625,0.34375,0.0004139878620896148,0.09375,-367.1261911476546,15.300923782573136,0.20192307692307693
A,4.0,3,18,7,22,59.50624166666667,linear,50.0,64,-67.35909270841564,-136.90055221146503,-3.20006751846644,0.75,0.25,1.2030875452442866e-06,0.0234375,-131.0434788288668,-19.17026736312073,0.08035714285714286
A,4.0,3,18,7,22,59.50624166666667,linear,100.0,64,-27.645832312811613,-64.35377524481729,1.8773958118151377,0.734375,0.265625,8.974880260619573e-06,0.03125,-50.58241958770476,-4.502200117130499,0.09375
A,4.0,3,18,7,22,59.50624166666667,linear,200.0,64,-10.053630075003086,-36.1425846687931,15.435810275107741,0.546875,0.453125,0.01665999344132734,0.1015625,-22.763061022263756,3.469625741178106,0.20192307692307693
A,4.0,3,18,7,22,59.50624166666667,constant,20.0,64,-117.99673785729794,-383.001069786168,77.03197924361388,0.640625,0.359375,0.0015250335900347718,0.109375,-347.3103410825886,28.09894180809988,
A,4.0,3,18,7,22,59.50624166666667,constant,50.0,64,-45.93687909054927,-112.0233349384091,22.69156762958147,0.671875,0.328125,5.676315585800407e-05,0.0703125,-109.93550530283309,-0.3218147273878742,
A,4.0,3,18,7,22,59.50624166666667,constant,100.0,64,-8.122557323469387,-25.979888548525015,8.169545541327611,0.59375,0.40625,0.000977444429700357,0.125,-19.83639888217393,0.5864578580494175,
A,4.0,3,18,7,22,59.50624166666667,constant,200.0,64,6.1374282797857,-0.08226523822152731,14.088265025260732,0.265625,0.734375,3.282302192515333e-05,0.015625,3.338913541571752,8.83979645622928,
B,1.0,2,16,26,40,25.885516666666668,linear,20.0,62,-128.24078620298513,-254.54639977686017,95.98651869227658,0.6290322580645161,0.3709677419354839,0.004669836896186331,0.171875,-167.0658747132327,-26.758778551470527,0.275
B,1.0,2,16,26,40,25.885516666666668,linear,50.0,64,-41.85258098660012,-106.87585561895784,23.50667694187824,0.703125,0.296875,0.0022416941652234528,0.0703125,-62.1845702624085,-11.212778152749863,0.16875
B,1.0,2,16,26,40,25.885516666666668,linear,100.0,64,-22.274091354455425,-60.17038673865491,22.328946470784675,0.59375,0.40625,0.054104204751959366,0.5,-37.53664162526926,7.320339697761021,0.6
B,1.0,2,16,26,40,25.885516666666668,linear,200.0,64,-3.856358983716646,-27.300540034237564,28.679788374533977,0.578125,0.421875,0.7890840693735917,0.8046875,-15.012276143819747,3.327633300394181,0.8046875
B,1.0,2,16,26,40,25.885516666666668,constant,20.0,62,-105.47446198361908,-286.4367462756965,113.60022460821028,0.6290322580645161,0.3709677419354839,0.006732790045386192,0.359375,-154.65374636629008,-7.474988591028628,
B,1.0,2,16,26,40,25.885516666666668,constant,50.0,64,-38.37167000323642,-104.51776066561695,14.556862589008176,0.6875,0.3125,0.0004814370229169453,0.078125,-61.69285480815837,-17.158251308010193,
B,1.0,2,16,26,40,25.885516666666668,constant,100.0,64,-16.529438575947584,-40.060427176713794,-2.129623270097408,0.765625,0.234375,3.006110688601389e-05,0.046875,-31.61003115526097,-11.264288721876696,
B,1.0,2,16,26,40,25.885516666666668,constant,200.0,64,-3.174208457282894,-10.80274406780409,4.8781066251803855,0.609375,0.390625,0.09721635234870789,0.9921875,-7.201999829048228,-0.2076461417757578,
B,2.0,1,17,25,41,30.45286666666667,linear,20.0,63,-71.80481795404711,-244.40117025357077,24.206494187773785,0.6666666666666666,0.3333333333333333,0.001174286237964325,0.109375,-151.5758831866283,7.128846333686852,0.20192307692307693
B,2.0,1,17,25,41,30.45286666666667,linear,50.0,64,-59.145485843171855,-94.04439908036659,-8.072910003658428,0.8125,0.1875,9.469064014084044e-08,0.015625,-78.5538634485804,-17.59770764164324,0.075
B,2.0,1,17,25,41,30.45286666666667,linear,100.0,64,-32.0228339404796,-54.110486699327396,-8.559656692192128,0.859375,0.140625,1.7247004710478054e-08,0.0078125,-33.87361057089021,-18.473311540320964,0.0625
B,2.0,1,17,25,41,30.45286666666667,linear,200.0,64,-12.142494161527813,-33.019383934203546,5.10435409682339,0.703125,0.296875,0.0013273393004344298,0.015625,-15.161109227430789,-5.5397324314333485,0.075
