location,metric,baseline,distance_nm,time_model,full_interval_time_change_at_mean_speed_pN,time_change_hc3_se_pN,time_change_hc3_95CI_low_pN,time_change_hc3_95CI_high_pN,time_change_hc3_p,time_change_hac1_se_pN,time_change_hac1_95CI_low_pN,time_change_hac1_95CI_high_pN,time_change_hac1_p,time_change_hac2_se_pN,time_change_hac2_95CI_low_pN,time_change_hac2_95CI_high_pN,time_change_hac2_p,actual_time_span_min,actual_gap_speed_coefficient_pN_per_um_s,n_maps,design_rank,design_parameters,design_condition_number,r2,rmse_pN,max_leverage,residual_lag1_correlation,claim_status,full_interval_normalized_change_at_mean_speed,normalized_change_hc3_se,normalized_change_hc3_95CI_low,normalized_change_hc3_95CI_high,normalized_change_hac1_se,normalized_change_hac1_95CI_low,normalized_change_hac1_95CI_high,normalized_change_hac1_p,normalized_change_hac2_se,normalized_change_hac2_95CI_low,normalized_change_hac2_95CI_high,normalized_change_hac2_p,actual_gap_speed_coefficient_per_um_s
A,force,linear,20.0,linear_time_speed,-200.12226829777842,23.053396061781086,-249.2594188572608,-150.98511773829603,3.1053263146293424e-07,13.561612136975308,-229.02816032418625,-171.2163762713706,2.4452535775798764e-10,11.708935514982466,-225.07927358017122,-175.16526301538562,3.034891827273209e-11,68.25440833333333,-3.861999608386121,18,3,3,4.480985491052548,0.8950976639472765,21.226118297798397,0.30346844418111824,-0.3829602733628019,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
A,force,linear,20.0,quadratic_time_speed,-200.1271808380102,27.149297005406506,-258.35663164150895,-141.89773003451143,3.5031011704470515e-06,14.193696513133293,-230.5696321717114,-169.684729504309,1.1509994062732572e-09,12.263309173228613,-226.42936310256044,-173.82499857345994,1.6603508993138002e-10,68.25440833333333,-3.8600637786558707,18,4,4,21.34498823675807,0.8950990525437752,21.225977811836895,0.4976806016683094,-0.3838151120215244,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
A,force,linear,50.0,linear_time_speed,-81.35576137741623,8.297386430123845,-99.04122191323378,-63.67030084159867,6.470811398158774e-08,6.140304440491186,-94.44351048669706,-68.2680122681354,1.1039550833312478e-09,5.4025454868869796,-92.87101450030505,-69.8405082545274,1.8369690389563335e-10,68.25440833333333,-2.350193334077927,18,3,3,4.480985491052548,0.8726086905182584,9.665048432291005,0.30346844418111824,-0.1384269148093467,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
A,force,linear,50.0,quadratic_time_speed,-81.12969676456879,9.597929338530559,-101.71520784141646,-60.544185687721125,7.172925363932632e-07,5.274627329073924,-92.44264724368936,-69.81674628544822,3.6500757167248775e-10,3.8286129851998343,-89.34125492841129,-72.9181386007263,4.904268305142614e-12,68.25440833333333,-2.4392760849215254,18,4,4,21.34498823675807,0.889832004841076,8.987975022162994,0.4976806016683094,-0.32148737069861694,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
A,force,linear,100.0,linear_time_speed,-38.06172761771432,4.370386751349615,-47.37698647279694,-28.746468762631693,2.9804410972318087e-07,3.029537385507828,-44.51903370130996,-31.60442153411868,2.3029189839525826e-09,2.5466919415341662,-43.48987299917691,-32.633582236251726,2.043507286665594e-10,68.25440833333333,-1.346174972662968,18,3,3,4.480985491052548,0.8803264653590783,4.3772988613879535,0.30346844418111824,0.0743681600672307,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
A,force,linear,100.0,quadratic_time_speed,-37.99583823747653,5.312749418689871,-49.390552466920965,-26.6011240080321,4.92101671871019e-06,3.1395702924109203,-44.72954680641893,-31.262129668534136,8.38758894212761e-09,2.658584416173466,-43.69793470198878,-32.29374177296429,9.634665308538132e-10,68.25440833333333,-1.3721392630002707,18,4,4,21.34498823675807,0.8870274155495997,4.252983247915593,0.4976806016683094,0.020961976997541713,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
A,force,linear,200.0,linear_time_speed,-16.758039083323602,6.541900651283827,-30.701770253596756,-2.8143079130504507,0.021691047872639778,4.922668526900477,-27.250458677924804,-6.265619488722399,0.003923345217217161,4.808570095121253,-27.007263627359947,-6.508814539287258,0.0033240507397453082,68.25440833333333,-0.15175625698040618,18,3,3,4.480985491052548,0.47744980534826675,5.419832209680571,0.30346844418111824,-0.18016974240591632,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
A,force,linear,200.0,quadratic_time_speed,-16.911590951204076,6.725683482981961,-31.33674735264654,-2.4864345497616114,0.024763764523196174,3.866171511222936,-25.2037041416787,-8.619477760729453,0.0006355673111287656,3.069635053864208,-23.49530335149519,-10.327878550912963,7.693788492379602e-05,68.25440833333333,-0.0912477916529505,18,4,4,21.34498823675807,0.5811038761739713,4.852605717040963,0.4976806016683094,-0.5002107707366215,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
A,force,constant,20.0,linear_time_speed,-207.80915256407872,16.38810824618084,-242.73957843797785,-172.87872669017958,2.026817757358114e-09,14.134075116032179,-237.93522054704684,-177.6830845811106,2.5744054460039907e-10,13.753045715718638,-237.1230756049038,-178.49522952325364,1.7508641357873415e-10,68.25440833333333,-1.572309725728914,18,3,3,4.480985491052548,0.9267071590406478,18.06373274827335,0.30346844418111824,0.14444182681748763,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
A,force,constant,20.0,quadratic_time_speed,-208.19626865792145,16.50065592548347,-243.58665582879595,-172.80588148704695,4.8992436386435386e-09,11.527855090745462,-232.9210587967877,-183.4714785190552,4.266644937878991e-11,10.550966381428356,-230.82584089746803,-185.56669641837487,1.2906398276112396e-11,68.25440833333333,-1.4197632209812667,18,4,4,21.34498823675807,0.9350257321154394,17.007771740022516,0.4976806016683094,0.03323512782656146,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
