source,location,location_order,relative_time_min,nominal_speed_um_per_s,point_index,row,column,distance_nm,normalization_valid,normalization_denominator_pN,normalization_threshold_pN,normalized_force
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,36,4,4,20.0,True,1094.4686086221054,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,37,4,5,20.0,True,868.3400564981607,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,38,4,6,20.0,True,1169.0884073678956,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,39,4,7,20.0,True,1441.626957461372,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,40,5,7,20.0,True,1060.2444293107083,62.09824176641402,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,41,5,6,20.0,True,1247.737443343041,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,42,5,5,20.0,True,1152.4307115684016,61.45220229635648,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,43,5,4,20.0,True,1459.0674998750453,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,44,5,3,20.0,True,1119.3571007139524,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,45,5,2,20.0,True,1115.1881717400988,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,46,5,1,20.0,True,902.4571546108949,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,47,5,0,20.0,True,1002.7165790131991,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,48,6,0,20.0,True,722.9138918233826,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,49,6,1,20.0,True,987.3712000776767,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,50,6,2,20.0,True,1137.1970964085401,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,51,6,3,20.0,True,1164.5698497371482,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,52,6,4,20.0,True,1114.3454027250773,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,53,6,5,20.0,True,1395.5206597894587,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,54,6,6,20.0,True,750.9406866767937,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,55,6,7,20.0,True,804.6826496474097,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,56,7,7,20.0,True,771.9312314883377,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,57,7,6,20.0,True,745.8188832194422,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,58,7,5,20.0,True,1180.876945905783,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,59,7,4,20.0,True,1033.3318325063376,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,60,7,3,20.0,True,1149.0020909373984,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,61,7,2,20.0,True,1216.6464743582753,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,62,7,1,20.0,True,963.4099701181018,50.0,1.0
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,63,7,0,20.0,True,498.1111677186244,50.0,1.0
