source,location,location_order,block_in_location,instrument_scan_number,map_midpoint_time,relative_time_min,nominal_speed_um_per_s,baseline,distance_nm,point_index,row,column,force_pN
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,30,3,1,806.0209075818625
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,31,3,0,809.1003663416196
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,32,4,0,1851.9904615763817
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,33,4,1,738.9879861285631
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,34,4,2,1075.957186597696
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,35,4,3,1149.47391344862
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,36,4,4,1446.9734588890635
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,37,4,5,833.1755682910533
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,38,4,6,1279.5251479822796
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,39,4,7,2291.903972741286
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,40,5,7,1022.4538851301647
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,41,5,6,1051.5461409091974
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,42,5,5,931.59988385975
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,43,5,4,1623.739883892739
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,44,5,3,1226.9348811032569
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,45,5,2,1267.4812763767382
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,46,5,1,1003.1074133404873
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,47,5,0,1078.3944506118721
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,48,6,0,693.45527879125
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,49,6,1,914.609865089707
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,50,6,2,1133.1685561726617
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,51,6,3,1162.3112608090364
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,52,6,4,1106.8583449897335
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,53,6,5,1384.394446449137
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,54,6,6,727.36024735054
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,55,6,7,825.8710414146965
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,56,7,7,794.9753689624606
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,57,7,6,766.2208695660183
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,58,7,5,1205.9237140592727
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,59,7,4,1036.8506433483203
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,60,7,3,1107.7676047202938
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,61,7,2,1240.059509319217
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,62,7,1,965.7995481600209
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,20.0,63,7,0,480.1760464479391
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,0,0,0,252.1884229045671
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,1,0,1,254.8011879761748
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,2,0,2,321.39720364755556
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,3,0,3,285.3077947464695
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,4,0,4,243.98097788710402
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,5,0,5,175.39392907569697
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,6,0,6,75.94309080435201
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,7,0,7,168.78152793659905
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,8,1,7,347.78644232069564
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,9,1,6,190.25426588869828
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,10,1,5,419.502727163712
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,11,1,4,414.0794007039183
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,12,1,3,36.307638727009106
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,13,1,2,38.28473361679971
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,14,1,1,232.3205579936347
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,15,1,0,513.4984062402167
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,16,2,0,429.26374399898185
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,17,2,1,363.61462549920105
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,18,2,2,301.45565754467714
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,19,2,3,209.05614044980516
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,20,2,4,217.98126735111188
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,21,2,5,253.3418129182237
