source,acquisition_order,block,map_start_time,fixed_pixel_time,nominal_speed_um_per_s,physical_row_zero_based,physical_column_zero_based,point_index_in_archive,distance_nm,force_linear_drift_corrected_pN,force_far_constant_referenced_pN,force_local_map_InvOLS_pN,force_contact_40nm_pN,force_contact_60nm_pN,force_k_only_uncertainty_pN,raw_samples_in_bin
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.21.58.335.jpk-force-map,5,1,2026-09-08T15:21:57.334000+02:00,2026-09-08T15:22:53.910000+02:00,1.0,3,3,28,200.0,83.07756626617882,68.1645139543103,80.46788377846592,83.01488379467062,83.14292613178154,1.9129702758659597,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.24.49.530.jpk-force-map,6,1,2026-09-08T15:24:49.029000+02:00,2026-09-08T15:25:17.619000+02:00,2.0,3,3,28,20.0,-2043.4080437470038,-2445.0404123862154,-1902.5608463235965,-2228.856334493592,-1953.2438196089556,47.052158902069166,6
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.24.49.530.jpk-force-map,6,1,2026-09-08T15:24:49.029000+02:00,2026-09-08T15:25:17.619000+02:00,2.0,3,3,28,50.0,671.3782519858942,279.9552319753377,654.4717492236632,636.3195292036223,671.9064474337216,15.459367644412037,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.24.49.530.jpk-force-map,6,1,2026-09-08T15:24:49.029000+02:00,2026-09-08T15:25:17.619000+02:00,2.0,3,3,28,100.0,411.5853347063222,47.332213761066484,401.2208813187966,411.794934794855,411.90914248463696,9.477293891263999,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.24.49.530.jpk-force-map,6,1,2026-09-08T15:24:49.029000+02:00,2026-09-08T15:25:17.619000+02:00,2.0,3,3,28,200.0,424.4742847936917,114.79431706202234,413.78526463682283,414.60215067452214,424.8082327347884,9.774078926170533,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.26.16.096.jpk-force-map,7,2,2026-09-08T15:26:15.098000+02:00,2026-09-08T15:27:11.665000+02:00,1.0,3,3,28,20.0,-3128.8064172388977,-2967.4946286983077,-3080.9040426195284,-3186.2544159412914,-3131.2679525981835,72.04488460747461,4
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.26.16.096.jpk-force-map,7,2,2026-09-08T15:26:15.098000+02:00,2026-09-08T15:27:11.665000+02:00,1.0,3,3,28,50.0,150.9616711894572,308.7159051158596,147.10759370931586,126.94684099471209,151.08043772275323,3.476091112915133,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.26.16.096.jpk-force-map,7,2,2026-09-08T15:26:15.098000+02:00,2026-09-08T15:27:11.665000+02:00,1.0,3,3,28,100.0,-14.366916194904718,133.45035399253803,-14.000126348650502,-12.831517326572284,-14.378219122443733,0.33081714922477967,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.26.16.096.jpk-force-map,7,2,2026-09-08T15:26:15.098000+02:00,2026-09-08T15:27:11.665000+02:00,1.0,3,3,28,200.0,22.649200929488707,149.57773751453414,22.07096292670462,22.632111985315767,22.667019804009136,0.5215276529816479,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.30.36.270.jpk-force-map,8,2,2026-09-08T15:30:36.019000+02:00,2026-09-08T15:30:50.608000+02:00,4.0,3,3,28,20.0,-3638.520463237115,-3575.0403083067854,-3604.3152143202506,-3635.77517993719,-3641.3830074732796,83.78172119295988,4
