source,acquisition_order,block,map_start_time,fixed_pixel_time,nominal_speed_um_per_s,physical_row_zero_based,physical_column_zero_based,point_index_in_archive,distance_nm,force_linear_drift_corrected_pN,force_far_constant_referenced_pN,force_local_map_InvOLS_pN,force_contact_40nm_pN,force_contact_60nm_pN,force_k_only_uncertainty_pN,raw_samples_in_bin
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,85.0,142.6372257200496,137.6010247576201,138.59556152570775,142.52960516447675,142.74944313712146,3.2844098027643,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,90.0,144.93316936485013,139.94060598032337,140.8264489891743,144.8238165074229,145.04719307662705,3.337276926164312,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,95.0,134.86459560041567,129.90768250570054,131.04317097321206,134.7628395361599,134.97069803262656,3.1054347671148346,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,100.0,127.22402802222992,122.29603041322149,123.61910093449619,127.12803680739204,127.32411936754357,2.929500645248715,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,105.0,105.89815615700955,101.01942305510684,102.8975033903423,105.81825542743334,105.98146973448992,2.4384443851942987,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,110.0,83.98667144975103,79.14504327839639,81.60688650169942,83.92330305348203,84.05274653843124,1.9339036189087406,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,115.0,51.78277498549292,46.9772045414724,50.31549611431455,51.74370460267447,51.82351420506446,1.1923665292712184,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,120.0,52.99650557473516,48.19819180999762,51.49483532052649,52.956519425645524,53.03819967625324,1.2203142731024543,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,125.0,32.98141114273821,28.219023732218577,32.04687397811264,32.956526490272196,33.00735870832734,0.7594403881551561,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,130.0,37.649466924783425,32.92387804456529,36.58265914274896,37.6210601990706,37.67908700405167,0.8669285147154078,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,135.0,49.026681390147495,44.336180394558426,47.63749717304228,48.98969049480115,49.0652522998482,1.1289038477994489,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,140.0,54.00188281439664,49.34759106094149,52.47172492541496,53.96113810276102,54.04436787939881,1.243464406910449,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,145.0,50.70345542320105,46.11390792525984,49.26675936241559,50.66519939280952,50.7433455064208,1.1675137761921295,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,150.0,47.4947693178613,42.94158594750329,46.14899224177544,47.45893425843,47.53213502173256,1.09362955666128,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,155.0,42.04077427666226,37.51636161851014,40.849537618499255,42.00905428588476,42.073849142478046,0.9680441445284073,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,160.0,53.40375310179352,48.923550538675144,51.89054337925856,53.36345968224978,53.44576759839336,1.2296916832649822,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,165.0,61.57239358334947,57.12773690212229,59.827723233449575,61.525936880536165,61.62083461924298,1.4177853785639682,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,170.0,44.05048534341665,39.64155294186796,42.802302981083706,44.01724901480761,44.0851413153135,1.014320386197094,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,175.0,45.77894268023899,41.383486463777466,44.481784013898334,45.74440222125351,45.814958486617186,1.0541203906633978,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,180.0,49.730577239914844,45.393662626410446,48.32144794438996,49.693055251356085,49.76970192773167,1.1451119759190918,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,185.0,40.63413158545577,36.326179646748244,39.48275252667176,40.60347291417011,40.666099799002104,0.9356543457177314,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,190.0,51.02122067155158,46.7575764944993,49.575520646899186,50.98272488556753,51.06136075118865,1.1748307391475692,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,195.0,68.22478941967357,63.983224969162954,66.29162164266423,68.17331344834757,68.27846411511369,1.5709655458477467,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,200.0,56.80118004472089,52.60160319813362,55.19170331503681,56.758323248237716,56.84586740932065,1.307921908924494,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,205.0,36.46267554168938,32.3057766244615,35.42949581302591,36.43516425647151,36.49136193297441,0.839601081552058,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,210.0,50.884963814345625,46.7575764944993,49.443124664427884,50.84657083489471,50.92499669621229,1.1716932457250637,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,215.0,50.54336968100263,46.43056642115043,49.11120969282376,50.505234436166404,50.58313381948105,1.1638275913388763,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.16.47.619.jpk-force-map,1,1,2026-09-08T15:16:47.118000+02:00,2026-09-08T15:17:15.706000+02:00,2.0,3,3,28,220.0,54.230187135760374,50.17509366836462,52.69356018236434,54.18927016728381,54.27285181531353,1.2487214143102718,5
