before_map,after_map,distance_nm,baseline,before_speed_um_per_s,after_speed_um_per_s,idle_s,paired_pixels,median_paired_change_pN,q25_change_pN,q75_change_pN,positive_pixel_fraction,fixed_pixel_change_pN
9,10,100.0,line,2.0,2.0,127.422,64,-24.06301348261563,-129.7367675633962,77.0711771998407,0.453125,-176.3380775172887
9,10,200.0,line,2.0,2.0,127.422,64,-10.236335233284578,-85.80155976302242,67.44282244472568,0.484375,-85.34885651526281
9,10,20.0,constant,2.0,2.0,127.422,46,-685.0585410295505,-1651.8738314856187,-123.48761546024184,0.2391304347826087,-903.568368202592
9,10,50.0,constant,2.0,2.0,127.422,64,-17.648379460022483,-54.13924896255188,23.836019294219028,0.390625,-35.46537738654624
9,10,100.0,constant,2.0,2.0,127.422,64,-0.8466467898268633,-40.89253484145519,32.93923392377431,0.5,-61.07405755081464
9,10,200.0,constant,2.0,2.0,127.422,64,11.156911473677358,-16.766546660685435,39.22699097245196,0.609375,13.488853731092682
10,11,20.0,line,2.0,4.0,175.84,48,246.2515639434032,-658.2271864522149,1001.3335340264266,0.6458333333333334,256.8330593159644
10,11,50.0,line,2.0,4.0,175.84,62,8.341817077832534,-80.21418944743269,137.20513243024374,0.5483870967741935,190.56595892429564
10,11,100.0,line,2.0,4.0,175.84,64,-5.798252615223149,-85.34209587760324,112.77420047277809,0.484375,170.86303454838247
10,11,200.0,line,2.0,4.0,175.84,64,-19.66473382967425,-72.8698789124926,85.129030362295,0.40625,136.3636125550046
10,11,20.0,constant,2.0,4.0,175.84,48,280.301386231092,-559.991140777991,1013.2438613924156,0.6666666666666666,171.5337450917741
10,11,50.0,constant,2.0,4.0,175.84,62,38.96714143476245,-6.079743346895839,72.50282265050012,0.7096774193548387,106.92219184285617
10,11,100.0,constant,2.0,4.0,175.84,64,18.322759787676212,-5.833145075525547,58.26374457921908,0.6875,92.91488621439474
10,11,200.0,constant,2.0,4.0,175.84,64,28.2599623502854,-6.483953738855135,45.48300734086172,0.65625,69.191190889399
