acquisition_order,distance_nm,bin_low_nm,bin_high_nm,sample_index_before,sample_index_after,distance_before_nm,distance_after_nm,force_before_pN,force_after_pN,scanner_height_change_nm,cantilever_displacement_change_nm,sample_step_ms,raw_samples_in_bin
1,20.0,17.5,22.5,863,864,24.725126645063696,15.339973517686776,877.1899391045836,-1426.8222962677444,-0.964055775869708,-8.421097351507047,0.5,0
3,20.0,17.5,22.5,853,854,28.319412746857658,15.552439443931089,-939.8491979943801,-4133.237491161894,-1.0952324653263825,-11.671740837600561,0.25,0
5,20.0,17.5,22.5,857,858,30.69674538037023,12.527222709466487,852.7650389432218,-3859.889655919911,-0.9449075581004993,-17.22461511280385,1.0,0
15,50.0,47.5,52.5,822,823,56.07090886096167,43.57591076959038,20.075384752121863,-3101.074032087259,-1.0872882345022634,-11.407709856869085,1.0,0
17,50.0,47.5,52.5,819,820,59.163529496755544,46.16410828245617,187.63922183853177,-3084.929584790203,-1.0382779152177344,-11.961143299081634,0.5,0
