before_map,after_map,speed_um_per_s,before_detected_snap_distance_median_nm,after_detected_snap_distance_median_nm,before_map_contact_InvOLS_nm_per_V,after_map_contact_InvOLS_nm_per_V
16,20,1.0,43.601059019764264,10.943220541202647,84.73360921836264,81.73641042657204
17,19,2.0,46.68540800545862,10.702136711658317,84.79905640428564,81.48236002717732
18,21,4.0,52.46664900595672,10.463814821426261,84.75687117614807,81.74029192052728
11,13,4.0,42.875653678472254,41.89081919210858,81.69385572726596,85.54254600702117
10,14,2.0,38.795632441417446,46.92017989689562,81.21580931603684,85.17993795069769
12,15,1.0,36.826366490980895,43.22150387466786,81.68755985206461,85.056768165243
