source,timestamp,acquisition_order,block,nominal_speed_um_per_s,baseline_method,distance_nm,force_median_pN,force_q25_pN,force_q75_pN,pixel_count
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,120.0,-13.375874684885883,-70.28489765380972,60.837119494495845,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,125.0,-15.892194465821177,-75.47189743308112,64.75217495946178,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,130.0,-6.887358831315119,-60.32074730635529,64.48035728513965,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,135.0,-8.056072705279657,-69.9802304450008,60.8764398868581,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,140.0,-9.005885972635216,-73.29606499785018,70.11704140332877,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,145.0,-9.728491569128629,-62.577291600279,73.91654247872788,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,150.0,-5.30882855597639,-64.85502727495859,72.95282654468971,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,155.0,-8.047348313541978,-65.37290681280933,74.89025712509503,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,160.0,-13.825504941288859,-68.77833971013672,75.0431791895672,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,165.0,-7.271969260921894,-78.8442953783721,69.21165491662565,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,170.0,-10.638059112058418,-77.73732330519869,67.9268997615334,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,175.0,-2.442226479800734,-71.75225906671393,68.67483449546759,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,180.0,-2.125266955029296,-68.43767788389391,68.75100965158019,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,185.0,-7.5189176625812095,-70.93300920188193,69.70576690771873,64
