source,sha256,timestamp,acquisition_order,block,nominal_speed_um_per_s,grid_i,grid_j,field_u_um,field_v_um,approach_curves,skipped_curves,retract_curves,retract_skipped_curves,valid_contact_curves,map_contact_invOLS_median_nm_per_V,map_contact_invOLS_mad_nm_per_V,global_water_InvOLS_used_nm_per_V,scanner_speed_median_um_per_s,gap_speed_20_200nm_median_um_per_s,terminal_load_median_nN,far_slope_median_pN_per_100nm,far_slope_mad_pN_per_100nm,contact_height_median_um,approach_snap_detected_fraction,approach_snap_distance_median_nm,retract_free_baseline_valid_fraction,retract_snapoff_detected_fraction,retract_detachment_right_censored_fraction,retract_pull_off_censored_fraction,retract_detachment_piezo_travel_median_nm,retract_pull_off_force_median_nN,branch_contact_height_difference_median_nm,map_start_time,map_end_time,fixed_pixel_time,instrument_scan_number,grid_center_x_um,grid_center_y_um,grid_theta,grid_reflect,back_and_forth,fixed_pixel_x_um,fixed_pixel_y_um,instrument_failure_flag_count,segment_count,filename_time_minus_first_segment_s,stored_spring_constant_N_per_m,spring_constant_used_N_per_m,spring_constant_supplied_uncertainty_N_per_m,stored_InvOLS_nm_per_V,idle_before_map_s
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.27.52.284.jpk-force-map,e9308a1d0983ac046447a0418efab760c301ce3221a34ab182cc4f856b0a6596,2026-09-08T16:27:52.284000,21,4,4.0,8,8,20.0,20.0,64,0,64,0,62,81.74029192052728,0.36894349215892897,81.95449406743373,4.002795654123649,3.985827375524587,30.58425297985142,-16.089298113912328,6.672857253770268,6.830881287460684,0.9375,10.610295575567912,1.0,0.96875,0.0,0.0,545.658349071328,-156.27182277660324,-1.9394045664513095,2026-09-08T16:27:52.033000+02:00,2026-09-08T16:28:25.366000+02:00,2026-09-08T16:28:06.633000+02:00,24,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,0.251,0.2384,0.2736,0.0063,59.040938734517894,12.431
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.28.41.781.jpk-force-map,5dc5c8d087d55c2e6961de822d32e17b5d30eecf234c45d34a4533209d0a4b6c,2026-09-08T16:28:41.781000,22,4,4.0,8,8,20.0,20.0,64,0,64,0,61,81.81015407481888,0.45012648838078656,81.95449406743373,4.002805897581457,3.9862384335253607,30.578886848939465,-15.95643416523842,6.283869508733382,6.831650776081389,0.953125,9.41190351583581,1.0,0.984375,0.0,0.0,522.3787857722525,-149.428211720916,-2.0678051413938827,2026-09-08T16:28:41.530000+02:00,2026-09-08T16:29:14.863000+02:00,2026-09-08T16:28:56.128000+02:00,25,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,0.251,0.2384,0.2736,0.0063,59.040938734517894,16.164
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.29.38.863.jpk-force-map,2c4288190a5fae713befbe26f94a08f8a334cfd2d06daa3da279f81b466804c7,2026-09-08T16:29:38.863000,23,4,1.0,8,8,20.0,20.0,64,0,64,0,62,81.89982257086484,0.3450053008474867,81.95449406743373,1.0001717538378796,0.997171797678787,30.622078241196977,-19.80791630049645,10.041021851848415,6.844464208725767,0.953125,9.954920175711756,1.0,0.96875,0.0,0.0,520.7873234839383,-148.03188107177465,-5.063126056843988,2026-09-08T16:29:37.862000+02:00,2026-09-08T16:31:47.194000+02:00,2026-09-08T16:30:34.483000+02:00,26,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,1.001,0.2384,0.2736,0.0063,59.040938734517894,22.999
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.32.05.092.jpk-force-map,256c0f4d647b0f91954aa72811453e21d711b13a153deb1df41bcdac451dd998,2026-09-08T16:32:05.092000,24,4,2.0,8,8,20.0,20.0,64,0,64,0,60,81.96007937775317,0.38979102439127616,81.95449406743373,2.0006896313951055,1.9936386288889187,30.54901964103844,-17.738518286442144,5.871076363465123,6.860263269105462,0.90625,9.114590001287736,1.0,0.984375,0.0,0.0,488.6898024472246,-139.23222202973008,-2.1141952947940226,2026-09-08T16:32:04.592000+02:00,2026-09-08T16:33:09.926000+02:00,2026-09-08T16:32:33.198000+02:00,27,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,0.5,0.2384,0.2736,0.0063,59.040938734517894,17.398
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.33.27.648.jpk-force-map,ef4ace96b54261ef1f50ccb7294ef754fe7255be2731787fe7327e06eb435011,2026-09-08T16:33:27.648000,25,5,1.0,8,8,20.0,20.0,64,0,64,0,60,81.97077510614378,0.37856754774929896,81.95449406743373,1.0001714107459265,0.9965692206242913,30.631743597393445,-11.888449486587962,40.95475175954749,6.872576474813523,0.90625,9.250335786163046,1.0,0.984375,0.0,0.0,507.4926789497481,-144.3199343026521,-4.983243482233903,2026-09-08T16:33:26.647000+02:00,2026-09-08T16:35:35.986000+02:00,2026-09-08T16:34:23.270000+02:00,28,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,1.001,0.2384,0.2736,0.0063,59.040938734517894,16.721
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.35.50.129.jpk-force-map,c92a583e51b79a8dc80ff3686e911b431b562cb951251477217ee4090636717e,2026-09-08T16:35:50.129000,26,5,4.0,8,8,20.0,20.0,64,0,64,0,63,82.10304265040264,0.4448738440882553,81.95449406743373,4.002763715370071,3.986396960313301,30.574301051277956,-18.522500025625913,11.459046362075082,6.883870564888969,0.859375,8.241739579018258,1.0,1.0,0.0,0.0,478.08905411484375,-135.6665942660041,-2.0164255181994206,2026-09-08T16:35:49.878000+02:00,2026-09-08T16:36:23.211000+02:00,2026-09-08T16:36:04.477000+02:00,29,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,0.251,0.2384,0.2736,0.0063,59.040938734517894,13.892
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.37.03.865.jpk-force-map,6c4603b499f12b8b8c84d821eeda154113a4627a732c4cbcf6d5e0aa03460d59,2026-09-08T16:37:03.865000,27,5,2.0,8,8,20.0,20.0,64,0,64,0,62,82.13087486702757,0.27376334467011226,81.95449406743373,2.0006865860279763,1.9939080742640511,30.550367959880905,-20.387741996658455,9.177085825280969,6.8939217119533,0.90625,8.077242241090781,1.0,1.0,0.0,0.0,473.9641313561859,-134.41217026162047,-2.043253758287431,2026-09-08T16:37:03.364000+02:00,2026-09-08T16:38:08.693000+02:00,2026-09-08T16:37:31.969000+02:00,30,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,0.501,0.2384,0.2736,0.0063,59.040938734517894,40.153
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.38.22.628.jpk-force-map,6dd7c0b5a17748f2a958caa9b3ca39e1ac3f9b2962d4db3ade675957d1a04072,2026-09-08T16:38:22.628000,28,5,2.0,8,8,20.0,20.0,64,0,64,0,61,82.17357480630126,0.4375716736972792,81.95449406743373,2.0006816602073227,1.9935167163566703,30.567756839984966,-21.350108168925672,6.960714451755072,6.906375854066551,0.890625,8.016700230609995,1.0,0.984375,0.0,0.0,478.3703247958724,-135.7883800228783,-1.9123834779062165,2026-09-08T16:38:22.127000+02:00,2026-09-08T16:39:27.460000+02:00,2026-09-08T16:38:50.733000+02:00,31,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,0.501,0.2384,0.2736,0.0063,59.040938734517894,13.434
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.39.43.669.jpk-force-map,60b19c8305b7f4f8ceb206ead60778485f6fcf717ddb8c23572d1ae0c377c6cc,2026-09-08T16:39:43.669000,29,5,4.0,8,8,20.0,20.0,64,0,64,0,63,82.19709436873791,0.4309346989362315,81.95449406743373,4.0027508520890525,3.9859863409557326,30.514413171369643,-22.651465061648008,7.1485702721018995,6.913747376508269,0.890625,7.63753371379152,1.0,1.0,0.0,0.0,471.85856428978195,-133.70962646240693,-1.7641062056102095,2026-09-08T16:39:43.419000+02:00,2026-09-08T16:40:16.750000+02:00,2026-09-08T16:39:58.017000+02:00,32,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,0.25,0.2384,0.2736,0.0063,59.040938734517894,15.959
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.40.42.235.jpk-force-map,720401fa2b28ebfa3d5099b15dbbeb9ddbc7b5ca49fe81038d5f80bc8a68cca1,2026-09-08T16:40:42.235000,30,5,1.0,8,8,20.0,20.0,64,0,64,0,62,82.27174111193888,0.3353744998398753,81.95449406743373,1.0001703901050054,0.9969171290367186,30.55127768142534,-20.27290072205097,6.908862465834545,6.926884592526473,0.90625,8.1250928646283,1.0,0.96875,0.0,0.0,473.35208210990766,-133.9608474225197,-3.760182571230179,2026-09-08T16:40:41.235000+02:00,2026-09-08T16:42:50.560000+02:00,2026-09-08T16:41:37.850000+02:00,33,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,1.0,0.2384,0.2736,0.0063,59.040938734517894,24.485
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.43.14.548.jpk-force-map,59d3323480a4350b03a0ae21d8c0e4e883e13c145336f0caf1d61af512f8862d,2026-09-08T16:43:14.548000,31,6,4.0,8,8,20.0,20.0,64,0,64,0,62,82.3790150249783,0.37877921674979587,81.95449406743373,4.002749254017962,3.986589571951858,30.535412095388217,-21.56424336914644,9.437157116006343,6.938147742001172,0.875,7.283392592689936,1.0,1.0,0.0,0.0,448.1938932562156,-126.58723122574997,-1.7397437969705292,2026-09-08T16:43:14.261000+02:00,2026-09-08T16:43:47.592000+02:00,2026-09-08T16:43:28.859000+02:00,34,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,0.287,0.2384,0.2736,0.0063,59.040938734517894,23.701
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.44.14.124.jpk-force-map,491a847d1339995aceb26aecca7e13e0740b58616fd04c87384ca620512522cd,2026-09-08T16:44:14.124000,32,6,2.0,8,8,20.0,20.0,64,0,64,0,62,82.38361508357505,0.40082699394191745,81.95449406743373,2.0006800883632594,1.993778720724758,30.521529586880646,-21.939608521968918,10.69510278532724,6.946391821858256,0.890625,7.75468844554326,1.0,1.0,0.0,0.0,441.9051812519182,-124.73157961570757,-1.8958769955273582,2026-09-08T16:44:13.624000+02:00,2026-09-08T16:45:18.954000+02:00,2026-09-08T16:44:42.228000+02:00,35,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,0.5,0.2384,0.2736,0.0063,59.040938734517894,26.032
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.45.32.335.jpk-force-map,79557a8f4acd8af06902aa0d3940e1ff451b49bebdc59d9736e90c66a73c98ca,2026-09-08T16:45:32.335000,33,6,1.0,8,8,20.0,20.0,64,0,64,0,62,82.40537515790578,0.2510055795870728,81.95449406743373,1.0001681550650434,0.9969121122669193,30.551199239298782,-21.60923947249416,13.593134179183224,6.95973252620364,0.921875,7.7048278339871406,1.0,1.0,0.0,0.0,461.15409251819597,-130.00202262894004,-5.618508416472343,2026-09-08T16:45:31.334000+02:00,2026-09-08T16:47:40.668000+02:00,2026-09-08T16:46:27.957000+02:00,36,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,1.001,0.2384,0.2736,0.0063,59.040938734517894,12.38
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.47.50.251.jpk-force-map,15bdb693c8ab37abf198fbf61f57b9d4ff8d23088f14eb03f90ef81b2cda2fb7,2026-09-08T16:47:50.251000,34,6,1.0,8,8,20.0,20.0,64,0,64,0,62,82.48218017883487,0.3560805289719053,81.95449406743373,1.0001677116727887,0.9969273377068482,30.515711018417,-23.852771956394292,9.78546386975442,6.976262856010861,0.90625,7.5439422697438685,1.0,0.984375,0.0,0.0,460.4390041968677,-129.26248214928506,-5.106770805611296,2026-09-08T16:47:49.250000+02:00,2026-09-08T16:49:58.588000+02:00,2026-09-08T16:48:45.876000+02:00,37,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,1.001,0.2384,0.2736,0.0063,59.040938734517894,8.582
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.50.17.571.jpk-force-map,da7822b0073d574040b6b3ebc75b6a5cdfc2eb5eb335bcd7e07ff93daab27f8a,2026-09-08T16:50:17.571000,35,6,2.0,8,8,20.0,20.0,64,0,64,0,62,82.50043547909515,0.3545700483908101,81.95449406743373,2.000676816426254,1.993825243047195,30.524233752873393,-22.271248828626995,7.924877265548527,6.988049267869801,0.90625,7.478440274305761,1.0,0.984375,0.0,0.0,452.7953137893432,-127.48576547810416,-1.8092054083553935,2026-09-08T16:50:17.070000+02:00,2026-09-08T16:51:22.402000+02:00,2026-09-08T16:50:45.677000+02:00,38,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,0.501,0.2384,0.2736,0.0063,59.040938734517894,18.482
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.51.34.172.jpk-force-map,d183fc91e52fa2cffdf3cad90dcc60c93fde35e208436997e1dd7e8fafbe5830,2026-09-08T16:51:34.172000,36,6,4.0,8,8,20.0,20.0,64,0,64,0,63,82.39364280148405,0.427840831781974,81.95449406743373,4.002731666696743,3.986624714618303,30.56212045414469,-20.565832050790224,8.758434119429452,6.995984512055518,0.921875,6.711118407095222,1.0,0.984375,0.0,0.0,440.09119761233194,-123.73374868627754,-1.6654137542918637,2026-09-08T16:51:33.921000+02:00,2026-09-08T16:52:07.252000+02:00,2026-09-08T16:51:48.519000+02:00,39,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,0.251,0.2384,0.2736,0.0063,59.040938734517894,11.519
