source,sha256,timestamp,acquisition_order,block,nominal_speed_um_per_s,grid_i,grid_j,field_u_um,field_v_um,approach_curves,skipped_curves,retract_curves,retract_skipped_curves,valid_contact_curves,map_contact_invOLS_median_nm_per_V,map_contact_invOLS_mad_nm_per_V,global_water_InvOLS_used_nm_per_V,scanner_speed_median_um_per_s,gap_speed_20_200nm_median_um_per_s,terminal_load_median_nN,far_slope_median_pN_per_100nm,far_slope_mad_pN_per_100nm,contact_height_median_um,approach_snap_detected_fraction,approach_snap_distance_median_nm,retract_free_baseline_valid_fraction,retract_snapoff_detected_fraction,retract_detachment_right_censored_fraction,retract_pull_off_censored_fraction,retract_detachment_piezo_travel_median_nm,retract_pull_off_force_median_nN,branch_contact_height_difference_median_nm,map_start_time,map_end_time,fixed_pixel_time,instrument_scan_number,grid_center_x_um,grid_center_y_um,grid_theta,grid_reflect,back_and_forth,fixed_pixel_x_um,fixed_pixel_y_um,instrument_failure_flag_count,segment_count,filename_time_minus_first_segment_s,stored_spring_constant_N_per_m,spring_constant_used_N_per_m,spring_constant_supplied_uncertainty_N_per_m,stored_InvOLS_nm_per_V,idle_before_map_s
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.40.44.079.jpk-force-map,6226664169d67c82006fcdee97f47f33035c10d7202b351284a83109c2fe5aa9,2026-09-08T15:40:44.079000,11,2,4.0,8,8,20.0,20.0,64,0,64,0,64,81.69385572726596,0.5911847086636537,81.95449406743373,4.002793152917239,3.993627929827955,30.645102870689144,-14.46112631576517,21.015551495136354,6.6111926566818315,1.0,42.875653678472254,1.0,0.40625,0.0,0.0,573.4091665001373,-166.47636527826754,-3.408381218504489,2026-09-08T15:40:43.828000+02:00,2026-09-08T15:41:17.157000+02:00,2026-09-08T15:40:58.417000+02:00,14,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,0.251,0.2384,0.2736,0.0063,59.040938734517894,175.84
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.43.36.372.jpk-force-map,421496dfcd808185334ca95c90deb55e11a9fededa788d5de55b0abe2803efc9,2026-09-08T15:43:36.372000,12,2,1.0,8,8,20.0,20.0,64,0,64,0,63,81.68755985206461,0.48562162084404487,81.95449406743373,1.0001715985284965,0.9989347797245405,30.684545657030537,-12.956934257350834,19.959432043787515,6.647103993074281,1.0,36.826366490980895,1.0,0.40625,0.0,0.0,617.5691630146734,-178.90633550974502,-5.475137484209039,2026-09-08T15:43:35.371000+02:00,2026-09-08T15:45:44.700000+02:00,2026-09-08T15:44:31.959000+02:00,15,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,1.001,0.2384,0.2736,0.0063,59.040938734517894,138.214
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.49.51.441.jpk-force-map,1bc429188f48017d7529c6192b0e9cd15d102b5be9a6dadbd71c5c95bcb3fef0,2026-09-08T15:49:51.441000,13,3,4.0,8,8,20.0,20.0,64,0,64,0,61,85.54254600702117,0.4373517147172985,81.95449406743373,4.002786342507962,3.9929623584248564,30.676860382363156,-10.798275891147949,9.841002032667651,6.699467579058646,1.0,41.89081919210858,0.9375,0.578125,0.0625,0.0625,616.4977975762589,-173.67366022933777,-3.8584102942581726,2026-09-08T15:49:51.191000+02:00,2026-09-08T15:50:24.520000+02:00,2026-09-08T15:50:05.781000+02:00,16,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,0.25,0.2384,0.2736,0.0063,59.040938734517894,246.491
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.54.49.336.jpk-force-map,7a642cad99b9d5bf0835aa33e698aca2037e6a4f0c934914955ca53e179ffed4,2026-09-08T15:54:49.336000,14,3,2.0,8,8,20.0,20.0,64,0,64,0,62,85.17993795069769,0.6587483520632825,81.95449406743373,2.0006872001612894,1.997132941759351,30.63447812587014,-16.109206866163937,6.007893359982372,6.761312225079461,1.0,46.92017989689562,1.0,0.65625,0.0,0.0,597.0747026024255,-166.72952162307917,-1.4719088744129287,2026-09-08T15:54:48.835000+02:00,2026-09-08T15:55:54.164000+02:00,2026-09-08T15:55:17.425000+02:00,17,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,0.501,0.2384,0.2736,0.0063,59.040938734517894,264.315
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.00.06.231.jpk-force-map,7f1ffd2c4654b3554dd9624198bcc9b3efe9f7a89cbb1371a706fc61876e3e31,2026-09-08T16:00:06.231000,15,3,1.0,8,8,20.0,20.0,64,0,64,0,60,85.056768165243,0.45880902770502696,81.95449406743373,1.000170515720515,0.9991823196711795,30.59846286249384,-20.855905565125443,17.74675867418003,6.808456868338879,0.984375,43.46333948574352,1.0,0.609375,0.0,0.0,607.7099143821299,-167.63674189983328,-2.0503026630682757,2026-09-08T16:00:05.230000+02:00,2026-09-08T16:02:14.569000+02:00,2026-09-08T16:01:01.820000+02:00,18,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,1.001,0.2384,0.2736,0.0063,59.040938734517894,251.066
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.06.40.516.jpk-force-map,a6bb8acdeeaf80644f388493ba46fda1c7c53f9b506ac28440c8399c6b699854,2026-09-08T16:06:40.516000,16,3,1.0,8,8,20.0,20.0,64,0,64,0,60,84.73360921836264,0.24505119115849833,81.95449406743373,1.0001706870705864,0.9988132164212347,30.654991822063373,-16.71874858620466,7.779980576727141,6.82574051848767,0.984375,43.54408661469576,1.0,0.703125,0.0,0.0,600.7739598185162,-168.89395837762027,-2.1745557693361817,2026-09-08T16:06:39.515000+02:00,2026-09-08T16:08:48.853000+02:00,2026-09-08T16:07:36.109000+02:00,19,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,1.001,0.2384,0.2736,0.0063,59.040938734517894,264.946
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.12.56.907.jpk-force-map,7bc05e5bc675b0439438c979a800b540563df7e04ee8df54b5a4f4da29b8655e,2026-09-08T16:12:56.907000,17,3,2.0,8,8,20.0,20.0,64,0,64,0,62,84.79905640428564,0.35708005518906094,81.95449406743373,2.0006853320000006,1.9970780378439972,30.646714944978775,-13.834949434433101,9.430002930301681,6.812213918527583,0.984375,46.88053425143393,1.0,0.75,0.0,0.0,578.8294148326953,-161.46086845986008,-1.7770091411462445,2026-09-08T16:12:56.406000+02:00,2026-09-08T16:14:01.744000+02:00,2026-09-08T16:13:24.998000+02:00,20,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,0.501,0.2384,0.2736,0.0063,59.040938734517894,247.553
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.18.04.427.jpk-force-map,e357da9074d1176a7fb12f16f86774a130b212becda936e74c71dd62839449aa,2026-09-08T16:18:04.427000,18,3,4.0,8,8,20.0,20.0,64,0,64,0,61,84.75687117614807,0.4827274652495964,81.95449406743373,4.002787318291478,3.99680038441071,30.60863405440541,-15.365557396469399,14.044931731839783,6.834752668106733,0.984375,52.52807132598126,1.0,0.890625,0.0,0.0,582.6427541474786,-162.18345802231033,-2.075197213605692,2026-09-08T16:18:04.176000+02:00,2026-09-08T16:18:37.506000+02:00,2026-09-08T16:18:18.766000+02:00,21,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,0.251,0.2384,0.2736,0.0063,59.040938734517894,242.432
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.23.55.544.jpk-force-map,cee4a298355aa05fbd4f8d54139fa965560b3395d97f745373f8557bcd194c08,2026-09-08T16:23:55.544000,19,4,2.0,8,8,20.0,20.0,64,0,64,0,63,81.48236002717732,0.38319225392316053,81.95449406743373,2.00070930008334,1.9936702685598053,30.647387504644655,-12.339608709053056,7.613452644121044,6.788234464424778,0.953125,10.71443560453389,1.0,0.984375,0.0,0.0,563.2915813533415,-162.19476614159902,-2.5063147636529397,2026-09-08T16:23:55.043000+02:00,2026-09-08T16:25:00.363000+02:00,2026-09-08T16:24:23.644000+02:00,22,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,0.501,0.2384,0.2736,0.0063,59.040938734517894,317.537
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.25.31.280.jpk-force-map,1e76a3615f0c473e073709d54152ab3ff2085f0bd893025ed6c2310288d87d48,2026-09-08T16:25:31.280000,20,4,1.0,8,8,20.0,20.0,64,0,64,0,59,81.73641042657204,0.2468592827356508,81.95449406743373,1.0001741382008753,0.9970591348121383,30.554434240993935,-17.569050182366176,13.484282396522143,6.821605508233073,0.9375,10.98589946252379,1.0,0.921875,0.0,0.0,585.416032733257,-167.94614504168564,-2.7348656968672844,2026-09-08T16:25:30.279000+02:00,2026-09-08T16:27:39.602000+02:00,2026-09-08T16:26:26.893000+02:00,23,-12.413461538461533,-4.269230769230774,-0.0,false,true,-13.663461776727441,-5.519230881906092,0,128,1.001,0.2384,0.2736,0.0063,59.040938734517894,29.916
