speed_um_per_s,candidate_start_nm,candidate_stop_nm,candidate_start_time_s,candidate_stop_time_s,training_blocks,validation_blocks,training_map_median_score_V,validation_map_median_score_V,training_map_median_drift_V,validation_map_median_drift_V,training_map_median_pre_guard_mismatch_V,validation_map_median_pre_guard_mismatch_V,training_map_median_post_guard_mismatch_V,validation_map_median_post_guard_mismatch_V,training_map_median_roughness_V,validation_map_median_roughness_V,selected_from_training,within_1pct_contiguous_training_minimum,fixed_100_220nm_reference
0.1,20.0,140.0,0.2,1.4,1+3,2+4,0.0029370506562897067,0.002799790121301042,0.00120778855738783,0.0011124380001434689,0.001211013538318522,0.0011213182564627777,0.0011007123769040893,0.0010139420696685386,0.0017680578164682437,0.00170802248642965,False,False,False
0.1,25.0,145.0,0.25,1.45,1+3,2+4,0.0030829614891101772,0.002385289861234971,0.0013011242402681152,0.0009641146020906849,0.0008517773607678329,0.0008282061812911468,0.0011553434217699103,0.0009399016941675636,0.0017561820162575736,0.0016697941040876851,False,False,False
0.1,30.0,150.0,0.3,1.5,1+3,2+4,0.002846444231282063,0.002622404002997361,0.0013090731907866087,0.000957557221979044,0.0008944995803944478,0.0009259095110846216,0.0009843071473468745,0.0010219615894583312,0.0018504111130638323,0.0016963462269169172,False,False,False
0.1,35.0,155.0,0.35,1.55,1+3,2+4,0.0026367745833792487,0.0027247989726140696,0.0011402391643097198,0.0011604383145714103,0.0007959070082575917,0.0007624526544939003,0.001053790764193041,0.0009483547109090246,0.0018371336611218703,0.0017026070770365387,True,True,False
0.1,40.0,160.0,0.4,1.6,1+3,2+4,0.0026238913459866093,0.0025550049607064376,0.0010635414907346468,0.0011100657602091668,0.0008727524253808554,0.0009243514250081436,0.0010022181845885103,0.0008591130886539677,0.0018274409891041454,0.0016997140845493863,False,True,False
0.1,45.0,165.0,0.45,1.65,1+3,2+4,0.0027116944675312457,0.002558594433661035,0.0011182761298997763,0.0010761827763401954,0.0009842800320602751,0.0009156286459294782,0.0010156145266328413,0.0009007034188864282,0.0018243088258846907,0.0017077631530487969,False,False,False
0.1,50.0,170.0,0.5,1.7,1+3,2+4,0.0028956647336010827,0.00258199110193498,0.0012188818382415638,0.0010161905526544085,0.0010199644443201687,0.0009778185983469745,0.0010145243530639003,0.0008523474770474881,0.0017790840043694356,0.0016934963407823356,False,False,False
0.1,55.0,175.0,0.55,1.75,1+3,2+4,0.0029456338611691933,0.0027304120107295334,0.00135513371933644,0.001057732562055852,0.00108286669445537,0.0009088466956247432,0.0009789244153503114,0.0008814978005315943,0.0018167241935741207,0.0016874927382521387,False,False,False
0.1,60.0,180.0,0.6,1.8,1+3,2+4,0.002696369637644563,0.002642587336008622,0.0011330226741577687,0.001081835965937597,0.0009737287093042456,0.0008242682073790752,0.001008565595045835,0.0009461795782493287,0.0018246682772464495,0.0016802404420167005,False,False,False
0.1,65.0,185.0,0.65,1.85,1+3,2+4,0.002652468598320079,0.0025992873522008783,0.0011044615867065414,0.0010036243555343466,0.00086945687517909,0.0008198817883443843,0.0009801786711655623,0.0009458538471798505,0.0018364745510815461,0.001711372267204414,False,False,False
