acquisition_order,instrument_scan_number,block,position_in_block,source,sha256,map_start_time,speed_um_per_s,approach_points,approach_duration_s,baseline_adjust_enabled,baseline_adjust_begin_of_line,baseline_adjust_deadtime_samples,baseline_adjust_average_samples
19,27,3,3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.53.31.481.jpk-force-map,bfb86388c5126bf6a4cc18681dede3cc7d02c15749ed5e8eda399ddc0dc77c5f,2026-09-12T15:53:30.979000+02:00,0.1,9990,5.0,True,True,100,100
20,28,3,4,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.59.37.465.jpk-force-map,481f665a192f6cbd1bec486640ecda2e8a743655e2652bd2478916c031fbfef7,2026-09-12T15:59:36.965000+02:00,0.3,3330,1.6666666666666667,True,True,100,100
21,29,3,5,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.02.09.306.jpk-force-map,1d3fdcd9a1fcf9d5feaa273bdcb56c9aeffb234fb4691c36783f0e97c7804c59,2026-09-12T16:02:08.805000+02:00,0.3,3330,1.6666666666666667,True,True,100,100
22,30,3,6,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.05.09.289.jpk-force-map,d860ca57f96bd73c1a35575fa334d2edabdbb7a6ca6f6063001170abc4569bac,2026-09-12T16:05:08.793000+02:00,0.1,9986,4.998248248248249,True,True,100,100
23,31,3,7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.11.08.194.jpk-force-map,11b28becc74988ce5178b150dd903aa0d65ac1234a7c7c1ce17f44b1fb68a084,2026-09-12T16:11:07.693000+02:00,2.7,370,0.18518518518518517,True,True,100,100
24,32,3,8,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.12.04.675.jpk-force-map,8c073a1e89d4717d7d04df5df677f7733700b1e64c2461e50674064d4ed7ebff,2026-09-12T16:12:04.175000+02:00,0.9,1110,0.5555555555555556,True,True,100,100
25,33,4,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.13.33.010.jpk-force-map,f0bb49207b86aa27a064d226c2ce85a3b7fb73a3e2cb0feb07bc57fdb4aaf582,2026-09-12T16:13:32.509000+02:00,2.7,370,0.18518518518518517,True,True,100,100
26,34,4,2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.14.59.227.jpk-force-map,a4fb93c4e5c702cd0ea6b8d1b1e8847f00981c058d670e7907be2b3b8e06be02,2026-09-12T16:14:58.727000+02:00,0.1,9986,4.998248248248249,True,True,100,100
27,35,4,3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.21.01.539.jpk-force-map,16e6fdd2dd1fa46c094fcc13a9d5187291835638cff465622d363dbdf77d96be,2026-09-12T16:21:01.038000+02:00,0.3,3330,1.6666666666666667,True,True,100,100
28,36,4,4,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.23.29.925.jpk-force-map,3e067dabac3a86dc3760b5fcec384ca4cf2812d8e517e74d71bdfce31d205dcc,2026-09-12T16:23:29.423000+02:00,0.9,1109,0.5553053053053053,True,True,100,100
29,37,4,5,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.24.53.504.jpk-force-map,8c925cdde9e09de77d545be125accb1805bcd68f701e12bcfe5520c2520f6fd4,2026-09-12T16:24:53.003000+02:00,0.9,1109,0.5553053053053053,True,True,100,100
30,38,4,6,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.26.39.509.jpk-force-map,f16a7c810046249f2c51921f321c50253939495cc0043622131e3a57fc7afd4a,2026-09-12T16:26:38.986000+02:00,0.3,3329,1.6664164164164166,True,True,100,100
31,39,4,7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.29.17.790.jpk-force-map,16d8787092ad8e8a74f5a859ef4dafeddfca2983ac1f82a8b6e96d84966d55b0,2026-09-12T16:29:17.290000+02:00,0.1,9981,4.9957457457457455,True,True,100,100
32,40,4,8,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.35.11.254.jpk-force-map,b258b87009e9ba3eaf2be7d1e36d35dd8fda3144befc2aeb19dcbb1ed2675e03,2026-09-12T16:35:10.752000+02:00,2.7,369,0.18468468468468469,True,True,100,100
