speed_um_per_s,position_within_line,curve_count,pre_guard_corrected_V_q25,pre_guard_corrected_V_median,pre_guard_corrected_V_q75,post_guard_corrected_V_q25,post_guard_corrected_V_median,post_guard_corrected_V_q75,baseline_minus_initial_V_q25,baseline_minus_initial_V_median,baseline_minus_initial_V_q75
0.1,1,64,-0.0011747982921810514,-0.00011157453698296127,0.0005330705409586356,-0.00028902183849707774,0.000726561748898613,0.0014763786798970297,-0.002678233856393819,-0.00045942750869387705,0.001164972129522282
0.1,2,64,-0.0008878226149169471,-0.000270264317632829,0.00039588040142528313,-0.0003654292394543457,0.0005001866511063768,0.0013021414111427654,0.0018358057073485923,0.0034603610846457578,0.004925054466601214
0.1,3,64,-0.001378760867545431,-0.00047613469674265274,0.0004259519493856941,-0.00030742338431853644,0.00027333182132277534,0.0013169282806983554,0.0018624836729175132,0.0033783408193890363,0.004851045030337283
0.1,4,64,-0.0013008732500523756,-0.0005377378465502847,0.00030466110141724127,-0.0004633640920784776,0.0006678773163373286,0.0015616138447599563,0.0004810682883528705,0.0023823546314745703,0.003171140400714534
0.1,5,64,-0.0012504826188324547,-0.00036318909963350965,0.0005969555464123422,-0.0005442837548100127,0.00012724021992574497,0.000975960505959883,0.0006820641732715044,0.002049273233516613,0.003879577318766536
0.1,6,64,-0.0006475526709675689,-0.00012775332457748423,0.00017827814170214007,-0.00030633182022204997,0.00033348465093616976,0.0011715152567270265,0.0006924173458574892,0.002232979994623019,0.0035740693860948775
0.1,7,64,-0.000831349816362445,-9.269256390609382e-06,0.0004649291307924769,-0.0007588942945923952,0.00016333136148277694,0.0011958759081980852,-0.00020748339102300006,0.000896688618329311,0.0020162551577597304
0.1,8,64,-0.0013094110889720068,-0.0003134346347499449,0.00032143294899553143,-0.00045259306597569826,0.00038438212943398,0.001178971265242662,-0.00037009654504632783,0.0008079048272572886,0.0021764675660345366
0.3,1,64,-0.002332413140640824,-0.0010191329088682366,-2.0983755409959004e-05,0.00024218261454109213,0.0018274145690814064,0.003247128557627099,-0.03340229102305341,-0.004016583213404312,-0.0002961719309604871
0.3,2,64,-0.0029172773550781295,-0.0016522720669172042,-0.00013488464491932806,0.001090038687726974,0.0020680064201494958,0.003045769745027828,0.025673229486657068,0.035475596743548665,0.04194072439323149
0.3,3,64,-0.002738767690545346,-0.0014509097779991376,-0.0003992517353766101,0.0012464535653682607,0.001961879969955893,0.0034950630892190138,0.019710265122938025,0.028760302765618195,0.04023945708945198
0.3,4,64,-0.002295433452004031,-0.00143418451309274,-0.00018317975117959628,0.0008988905186434401,0.002027275088287206,0.0034456138451242485,0.01381175101410606,0.021699679623409962,0.032610370309538936
0.3,5,64,-0.0028591387045650007,-0.001295978593212288,0.00023229387814428792,0.0013326266410377263,0.0020084250973432805,0.0033919575600440954,0.007470857959133145,0.02235459583281374,0.032720755945499724
0.3,6,64,-0.003209999387282933,-0.0020038474807759776,-0.0005961970136548339,0.00021099308246170373,0.0017440746932162465,0.0031090012025512884,0.009056746242658717,0.025806416297485202,0.033752322256110745
0.3,7,64,-0.0026499623462969135,-0.0015413343915342548,0.00036148778922337477,0.0003782137493936605,0.0017462911940694659,0.0034274396505508675,0.0034597520335959003,0.00822156899932125,0.0175243301503422
0.3,8,64,-0.0027760658099822977,-0.0017709869626709729,-0.0008372790256709894,0.0009218912342086605,0.0016446672719575561,0.0030513881714374774,0.0010212965696761722,0.003097171985012359,0.006196230220593707
0.9,1,64,-0.005884371748777762,-0.004162186739645052,-0.0020332084691782534,0.004317540644795254,0.005936624991599082,0.008743853913638057,-0.008806431823231181,0.0010414147217102376,0.012735639154668752
0.9,2,64,-0.007844380068703537,-0.005531062347112328,-0.0040844889291573455,0.004848759698372387,0.006220636064209112,0.008029308408228755,0.18562573356904805,0.2087775577588873,0.2188677169326923
0.9,3,64,-0.008008536013000514,-0.0052466855657670175,-0.00343355866686465,0.004442239675693994,0.006667121933354864,0.009309215979728724,0.17157381759581983,0.20175360421768063,0.2217333751254941
0.9,4,64,-0.0071885843506486365,-0.004640079063162134,-0.0034736211549940207,0.004876009866012269,0.006270376623817714,0.008017769115675899,0.13761679369897256,0.17878408791827177,0.2006406211307527
0.9,5,64,-0.007625851717657867,-0.005473391609106731,-0.003532608722552899,0.003922874173887356,0.00686522065420378,0.008043841506513633,0.1296436389632344,0.18141876628142778,0.20388503955026036
0.9,6,64,-0.007817819602709317,-0.005503623067730806,-0.0033763113444862797,0.004213964422057594,0.00605220980992488,0.008095988373980373,0.11137073988033491,0.18515331575234317,0.207309204508522
