speed_um_per_s,map_count,selected_start_nm,selected_stop_nm,selected_start_time_s,selected_stop_time_s,training_map_median_score_V,validation_map_median_score_V,fixed_100_220nm_validation_map_median_score_V,validation_score_improvement_vs_fixed_fraction,leave_one_block_out_start_nm_min,leave_one_block_out_start_nm_median,leave_one_block_out_start_nm_max,map_dynamic_baseline_raw_V_median_q25,map_dynamic_baseline_raw_V_median_median,map_dynamic_baseline_raw_V_median_q75,map_baseline_minus_initial_V_median_q25,map_baseline_minus_initial_V_median_median,map_baseline_minus_initial_V_median_q75,map_pre_guard_corrected_V_median_q25,map_pre_guard_corrected_V_median_median,map_pre_guard_corrected_V_median_q75,map_post_guard_corrected_V_median_q25,map_post_guard_corrected_V_median_median,map_post_guard_corrected_V_median_q75,map_near_320_360nm_corrected_V_median_q25,map_near_320_360nm_corrected_V_median_median,map_near_320_360nm_corrected_V_median_q75,map_near_380_420nm_corrected_V_median_q25,map_near_380_420nm_corrected_V_median_median,map_near_380_420nm_corrected_V_median_q75,map_terminal_last_25nm_corrected_V_median_q25,map_terminal_last_25nm_corrected_V_median_median,map_terminal_last_25nm_corrected_V_median_q75,map_detector_drift_V_median_q25,map_detector_drift_V_median_median,map_detector_drift_V_median_q75,map_detector_roughness_V_median_q25,map_detector_roughness_V_median_median,map_detector_roughness_V_median_q75,map_detector_score_V_median_q25,map_detector_score_V_median_median,map_detector_score_V_median_q75
0.1,8,35.0,155.0,0.35,1.55,0.0026367745833792487,0.0027247989726140696,0.00285725314925964,0.046357172335216884,25.0,40.0,65.0,-1.5432147143123596,-0.6965178109323763,-0.4871962492623407,0.0014623287899222792,0.0016635687124193915,0.0022116889326331433,-0.0004624053233593939,-0.0002449282111123873,-0.0001772540181901039,0.000314898512587633,0.0004029136895777122,0.0005056615055505226,0.00946587559021212,0.010000189958029551,0.010767531011989608,0.05120793427500194,0.05183295518580759,0.05278729403186172,1.3450152768329788,1.3489365484239098,1.352888595517353,0.0010108736968988397,0.0011604383145714103,0.0012518199586663975,0.0017092430219526195,0.001741557838420782,0.0018276905887923273,0.0025119273743925002,0.0026449060406337,0.0028772707487731333
0.3,8,40.0,160.0,0.13333333333333333,0.5333333333333333,0.0051862577593382725,0.005043766755115829,0.006036974669062632,0.16452080195675553,30.0,32.5,40.0,-2.2382566843238294,-0.7897291424137055,-0.4794924984553377,0.0147274961167147,0.018108125744387374,0.024788543901805807,-0.0016009765499195132,-0.0014773110285933588,-0.001409974733856359,0.0017916105714554306,0.0018738060431785497,0.001956688087860533,0.018969742130193607,0.019893780686511653,0.020588925552082686,0.07649310890143582,0.07793844683569692,0.0789819942789774,1.2872514617826343,1.3008462265407048,1.3066062872157596,0.002194972184707676,0.002255588581430157,0.0023024747356895983,0.0022915754334236205,0.002356784916332108,0.002389332646158336,0.004724960251865654,0.0051862577593382725,0.005338007417178898
0.9,8,70.0,190.0,0.07777777777777778,0.2111111111111111,0.013694339390262572,0.012549210783590847,0.014785594615745804,0.15125423699722823,65.0,67.5,70.0,-1.170848108422061,-0.3146985050476674,-0.2223712775630579,0.16135946693365777,0.16802793489764364,0.19429530167907932,-0.005633556739446173,-0.005077723958390734,-0.004809626430252484,0.005916383777880192,0.006135196491801921,0.006430789268053898,0.037658819492233285,0.03883449034042791,0.04054730527992524,0.10688933843070707,0.11084637751791644,0.11186397111282967,1.1205623389400308,1.1375678448514002,1.1497187511964817,0.006331656823610671,0.00657558941702484,0.006743463284255277,0.0029484759255864676,0.002999978283551705,0.0030552076028792924,0.012616982487254768,0.012964371891856626,0.013597135259845752
2.7,8,155.0,275.0,0.05740740740740741,0.10185185185185185,0.05175950213436409,0.04893437382075137,0.06532392471305735,0.25089660433445965,135.0,142.5,155.0,-0.6690484405356317,0.18856424946617772,0.33694592105064813,0.6881908527825493,0.7035205091901512,0.7644002718232302,-0.021321355674711034,-0.020687239323453635,-0.02019201476977146,0.022596136718908574,0.022958987920356916,0.025287538175571153,0.05389615489998227,0.05485122933508983,0.05627939564511339,0.12482147171298899,0.12807122141497507,0.12926586879211685,0.6123326677812233,0.6503198763363275,0.6621573341413838,0.026012059672978677,0.02684551857194395,0.028288637224297003,0.0019838857630868137,0.0020293282021576764,0.002079991376769782,0.04789910427465353,0.04893437382075137,0.052286466869020415
