metric,metric_label,unit,global_rho_speed,global_rho_elapsed_time,same_speed_time_rho_median,same_speed_time_rho_min,same_speed_time_rho_max,block_pair_mean_speed_rho_median,block_pair_mean_speed_rho_min,block_pair_mean_speed_rho_max,block_pair_mean_speed_rho_positive_fraction,pair_mean_2p7_minus_0p1_median,pair_mean_2p7_minus_0p1_min,pair_mean_2p7_minus_0p1_max
baseline_transient_V,Dynamic baseline − initial endpoint,V,0.9687189593929655,-0.13343108504398826,-0.6071428571428572,-0.7380952380952381,-0.1666666666666667,1.0,1.0,1.0,1.0,0.7060763738444915,0.6888874924651953,0.8016831649838261
dynamic_baseline_raw_V,Absolute dynamic-baseline detector level,V,0.4207872979863193,0.17521994134897356,0.28571428571428575,0.11904761904761905,0.4285714285714286,1.0,0.7999999999999999,1.0,1.0,0.7679867641821116,0.7503519239435961,0.9588816083541021
corrected_320_360nm_V,Corrected increment at 320–360 nm travel,V,0.9687189593929655,-0.1730205278592375,-0.9404761904761906,-0.9761904761904763,0.11904761904761905,1.0,1.0,1.0,1.0,0.04512190162152299,0.040958819382160595,0.04757155639401915
corrected_380_420nm_V,Corrected increment at 380–420 nm travel,V,0.9687189593929655,-0.21517595307917886,-0.8928571428571429,-0.9285714285714287,-0.7380952380952381,1.0,1.0,1.0,1.0,0.07579332454082305,0.07395912280695889,0.07720995642513998
corrected_terminal_V,Corrected terminal last 25 nm,V,-0.9687189593929655,0.23093841642228732,0.9047619047619048,0.9047619047619048,1.0,-1.0,-1.0,-1.0,0.0,-0.7050531725997571,-0.7524236778353885,-0.6859147455771621
baseline_window_drift_V,Within-baseline-window drift magnitude,V,0.9687189593929655,-0.08834310850439882,-0.32142857142857145,-0.8333333333333335,0.07142857142857144,1.0,1.0,1.0,1.0,0.02550185635694436,0.02463247005103658,0.028494834377372005
retract_minimum_delta_V,"Retract minimum, endpoint referenced",V,0.354187869528053,0.530791788856305,0.46428571428571436,0.3333333333333334,0.880952380952381,0.7999999999999999,0.39999999999999997,1.0,1.0,0.14913587006765705,0.03421859672227057,0.29147497793154886
retract_minimum_travel_nm,Travel position of retract minimum,nm,0.09989914268739956,0.532624633431085,0.5595238095238095,0.3571428571428572,0.9047619047619048,0.09999999999999999,-0.19999999999999998,0.7999999999999999,0.5,-0.34295968223960926,-2.581689804363407,11.614798848737678
