scanner_travel_bin_center_nm,finite_map_count,global_rho_speed,global_rho_elapsed_time,same_speed_0.1_rho_time,same_speed_0.3_rho_time,same_speed_0.9_rho_time,same_speed_2.7_rho_time,same_speed_rho_time_median,same_speed_rho_time_min,same_speed_rho_time_max,block_1_pair_mean_rho_speed,block_1_pair_mean_2p7_minus_0p1_V,block_2_pair_mean_rho_speed,block_2_pair_mean_2p7_minus_0p1_V,block_3_pair_mean_rho_speed,block_3_pair_mean_2p7_minus_0p1_V,block_4_pair_mean_rho_speed,block_4_pair_mean_2p7_minus_0p1_V,block_pair_mean_rho_speed_median,block_pair_mean_rho_speed_min,block_pair_mean_rho_speed_max,block_pair_mean_2p7_minus_0p1_V_median,block_pair_mean_2p7_minus_0p1_V_min,block_pair_mean_2p7_minus_0p1_V_max
52.5,32,-0.9535827256524503,0.03372434017595308,-0.07142857142857144,-0.523809523809524,0.4523809523809524,0.9761904761904763,0.19047619047619047,-0.523809523809524,0.9761904761904763,-1.0,-0.2005765546614588,-1.0,-0.16894315438085294,-1.0,-0.1542416527854353,-1.0,-0.15017027444491876,-1.0,-1.0,-1.0,-0.16159240358314414,-0.2005765546614588,-0.15017027444491876
57.5,32,-0.9656917126448623,0.08064516129032258,-0.09523809523809526,-0.30952380952380953,0.7142857142857144,0.9761904761904763,0.3095238095238096,-0.30952380952380953,0.9761904761904763,-1.0,-0.1768754762762203,-1.0,-0.1476635746717972,-1.0,-0.13509467228048616,-1.0,-0.13015375328550804,-1.0,-1.0,-1.0,-0.14137912347614168,-0.1768754762762203,-0.13015375328550804
62.5,32,-0.9566099724005535,0.16202346041055718,0.523809523809524,0.04761904761904763,0.5714285714285715,1.0,0.5476190476190477,0.04761904761904763,1.0,-1.0,-0.15388318522196662,-1.0,-0.1267167732257019,-1.0,-0.11662898837762237,-1.0,-0.11152640595891147,-1.0,-1.0,-1.0,-0.12167288080166214,-0.15388318522196662,-0.11152640595891147
67.5,32,-0.9656917126448623,0.13563049853372433,0.2380952380952381,0.30952380952380953,0.5714285714285715,1.0,0.4404761904761905,0.2380952380952381,1.0,-1.0,-0.13616292626895668,-1.0,-0.11055492642785693,-1.0,-0.10263055139721695,-1.0,-0.09719291928885561,-1.0,-1.0,-1.0,-0.10659273891253694,-0.13616292626895668,-0.09719291928885561
72.5,32,-0.9414737386600383,0.004032258064516129,0.04761904761904763,-0.6190476190476191,0.09523809523809526,0.9523809523809524,0.07142857142857145,-0.6190476190476191,0.9523809523809524,-1.0,-0.11974800902615682,-1.0,-0.09799869869481195,-1.0,-0.08997960440641775,-1.0,-0.08539367317981114,-1.0,-1.0,-1.0,-0.09398915155061485,-0.11974800902615682,-0.08539367317981114
77.5,32,-0.8900105439422871,0.06231671554252198,-0.19047619047619052,-0.14285714285714288,0.4285714285714286,0.9761904761904763,0.14285714285714285,-0.19047619047619052,0.9761904761904763,-1.0,-0.10558310573999408,-1.0,-0.0858021677515557,-1.0,-0.0787193566571126,-1.0,-0.07366589184168486,-1.0,-1.0,-1.0,-0.08226076220433415,-0.10558310573999408,-0.07366589184168486
82.5,32,-0.9445009854081414,0.032991202346041054,-0.04761904761904763,-0.38095238095238104,0.023809523809523815,0.9761904761904763,-0.011904761904761908,-0.38095238095238104,0.9761904761904763,-1.0,-0.09180059751945166,-1.0,-0.07494450761312678,-1.0,-0.06921006323588628,-1.0,-0.06431509630831178,-1.0,-1.0,-1.0,-0.07207728542450653,-0.09180059751945166,-0.06431509630831178
87.5,32,-0.9021195309346991,-0.011363636363636362,-0.4047619047619048,-0.2380952380952381,0.2142857142857143,0.9523809523809524,-0.011904761904761904,-0.4047619047619048,0.9523809523809524,-1.0,-0.08163809684713269,-0.7999999999999999,-0.0670068586068636,-1.0,-0.061055585798459926,-1.0,-0.0574765320665005,-1.0,-1.0,-0.7999999999999999,-0.06403122220266176,-0.08163809684713269,-0.0574765320665005
92.5,32,-0.9081740244309051,-0.01722873900293255,-0.6666666666666669,-0.261904761904762,0.28571428571428575,0.9761904761904763,0.01190476190476189,-0.6666666666666669,0.9761904761904763,-1.0,-0.07210502123387974,-1.0,-0.06029497628818219,-1.0,-0.05477276464867955,-0.7999999999999999,-0.05122726643136028,-1.0,-1.0,-0.7999999999999999,-0.057533870468430864,-0.07210502123387974,-0.05122726643136028
97.5,32,-0.8960650374384931,0.08760997067448678,0.6190476190476191,-0.19047619047619052,-0.04761904761904763,0.9761904761904763,0.2857142857142857,-0.19047619047619052,0.9761904761904763,-0.7999999999999999,-0.06324763144420403,-1.0,-0.053108413764535206,-1.0,-0.04811724110529689,-1.0,-0.04644920879956603,-1.0,-1.0,-0.7999999999999999,-0.05061282743491605,-0.06324763144420403,-0.04644920879956603
102.5,32,-0.883956050446081,0.1407624633431085,-0.28571428571428575,0.5714285714285715,0.3333333333333334,0.9761904761904763,0.45238095238095244,-0.28571428571428575,0.9761904761904763,-1.0,-0.05702242819238388,-1.0,-0.04831083173595406,-0.7999999999999999,-0.04320950009673952,-0.7999999999999999,-0.042151563127139385,-0.8999999999999999,-1.0,-0.7999999999999999,-0.04576016591634679,-0.05702242819238388,-0.042151563127139385
107.5,32,-0.8324928557283298,0.1158357771260997,0.6428571428571429,-0.09523809523809526,0.6190476190476191,0.9047619047619048,0.6309523809523809,-0.09523809523809526,0.9047619047619048,-0.7999999999999999,-0.05056172242018709,-0.7999999999999999,-0.043198077608497545,-0.7999999999999999,-0.03949115513817744,-1.0,-0.0386293784940753,-0.7999999999999999,-1.0,-0.7999999999999999,-0.041344616373337494,-0.05056172242018709,-0.0386293784940753
112.5,32,-0.8324928557283298,0.03482404692082111,-0.7380952380952381,0.11904761904761905,0.6666666666666669,0.9761904761904763,0.39285714285714296,-0.7380952380952381,0.9761904761904763,-0.7999999999999999,-0.045863976790601904,-0.7999999999999999,-0.03847626403348242,-0.7999999999999999,-0.03557572376279443,-0.7999999999999999,-0.03448265650614768,-0.7999999999999999,-0.7999999999999999,-0.7999999999999999,-0.037025993898138425,-0.045863976790601904,-0.03448265650614768
117.5,32,-0.8203838687359177,-0.011730205278592375,-0.30952380952380953,-0.3333333333333334,0.09523809523809526,0.9285714285714287,-0.10714285714285714,-0.3333333333333334,0.9285714285714287,-0.7999999999999999,-0.042316600665878584,-0.7999999999999999,-0.035106205195950785,-1.0,-0.03262547282883973,-0.7999999999999999,-0.03239205470920248,-0.7999999999999999,-1.0,-0.7999999999999999,-0.03386583901239526,-0.042316600665878584,-0.03239205470920248
122.5,32,-0.8052476349954025,0.13233137829912023,0.5714285714285715,0.023809523809523815,-0.023809523809523815,0.9523809523809524,0.29761904761904767,-0.023809523809523815,0.9523809523809524,-0.7999999999999999,-0.03786049256405011,-0.7999999999999999,-0.03175595372755477,-0.7999999999999999,-0.030091232963092053,-0.7999999999999999,-0.02970521140172217,-0.7999999999999999,-0.7999999999999999,-0.7999999999999999,-0.03092359334532341,-0.03786049256405011,-0.02970521140172217
127.5,32,-0.7386482065371361,0.001099706744868035,-0.09523809523809526,0.19047619047619052,-0.5714285714285715,0.9047619047619048,0.04761904761904763,-0.5714285714285715,0.9047619047619048,-0.7999999999999999,-0.033629374594612564,-0.7999999999999999,-0.028718779528338068,-0.7999999999999999,-0.026881880171101907,-0.7999999999999999,-0.026709406786495814,-0.7999999999999999,-0.7999999999999999,-0.7999999999999999,-0.027800329849719987,-0.033629374594612564,-0.026709406786495814
132.5,32,-0.7628661805219604,0.20601173020527858,0.14285714285714288,0.6904761904761906,0.04761904761904763,0.8333333333333335,0.41666666666666674,0.04761904761904763,0.8333333333333335,-1.0,-0.030770115609417864,-0.7999999999999999,-0.026141351963879247,-0.7999999999999999,-0.025043132802803146,-0.7999999999999999,-0.02518381942376357,-0.7999999999999999,-1.0,-0.7999999999999999,-0.025662585693821408,-0.030770115609417864,-0.025043132802803146
