distance_nm,speed_um_per_s,n_maps,elapsed_min_min,elapsed_min_max,fitted_force_at_experiment_t0_pN,fitted_force_at_experiment_t60min_pN,slope_pN_per_min,slope_pN_per_hour,slope_hc3_se_pN_per_min,expected_decay_over_first_hour_percent,expected_decay_over_first_hour_hc3_delta_se_percent,expected_decay_over_first_hour_ci95_low_percent,expected_decay_over_first_hour_ci95_high_percent,r2,rmse_pN,theil_sen_slope_pN_per_min,ols_theil_sen_same_sign,interpretation
20.0,0.1,8,0.0,83.832825,720.7082791963007,634.3849121165536,-1.438722784662454,-86.32336707974724,0.5950927390114865,11.977573946564185,4.4142635103207954,1.1762602490833967,22.77888764404497,0.35716827685444874,50.73005082810535,-1.5618791764475697,True,positive percent means fitted decline from experiment t=0 to t=60 min
20.0,0.3,8,4.264597233333333,79.42069723333334,1170.044079221465,1005.5493627055748,-2.741578608598169,-164.49471651589013,0.7606874018416891,14.058847819249952,3.5478367986352453,5.37760391074111,22.740091727758795,0.59591503003663,58.811843401695704,-2.7303841194659637,True,positive percent means fitted decline from experiment t=0 to t=60 min
20.0,0.9,8,6.086941666666666,77.06660833333333,2075.8385475317104,1738.0419262549733,-5.62994368794562,-337.7966212767372,1.1472363725473302,16.27277909827797,2.8773925609301996,9.232053140541463,23.313505056014474,0.7857399158553615,77.26798304548568,-5.428132012549851,True,positive percent means fitted decline from experiment t=0 to t=60 min
20.0,2.7,8,7.334133333333333,87.16833333333334,3554.2166838428548,3192.1062979867124,-6.035173097602373,-362.1103858561424,1.1286542685430845,10.188191043676744,1.7673736861039366,5.863583425747236,14.51279866160625,0.697612496089481,105.9355717309302,-6.262417594349303,True,positive percent means fitted decline from experiment t=0 to t=60 min
50.0,0.1,8,0.0,83.832825,250.684880308207,231.8832314808589,-0.3133608137891347,-18.80164882734808,0.3682546961340971,7.500112812640403,8.15691363892765,-12.459135839217776,27.45936146449858,0.18877955220871812,17.073109277154707,-0.29778690023116217,True,positive percent means fitted decline from experiment t=0 to t=60 min
50.0,0.3,8,4.264597233333333,79.42069723333334,464.6919801782312,423.93465036457127,-0.6792888302276654,-40.75732981365992,0.3315430491449562,8.770827032140206,3.931653524856105,-0.8495825724261259,18.391236636706537,0.5064366695803546,17.469611814898222,-0.7665363900939517,True,positive percent means fitted decline from experiment t=0 to t=60 min
50.0,0.9,8,6.086941666666666,77.06660833333333,951.7192547409362,845.5088364677952,-1.7701736378856836,-106.21041827314102,0.3958472992180278,11.159847585730748,2.250412738142949,5.653285986801145,16.666409184660353,0.8379496970246003,20.459551804465406,-1.7512068775267258,True,positive percent means fitted decline from experiment t=0 to t=60 min
50.0,2.7,8,7.334133333333333,87.16833333333334,1845.790445124558,1656.3310699433448,-3.1576562530202192,-189.45937518121315,0.37259955302387415,10.264403290289433,1.1074938336244857,7.554463503723694,12.974343076855172,0.9275024064755402,23.536745579199597,-3.2179773762512696,True,positive percent means fitted decline from experiment t=0 to t=60 min
100.0,0.1,8,0.0,83.832825,67.51047490950305,65.19570021558516,-0.03857957823196473,-2.314774693917884,0.2578021826516041,3.4287637541001006,22.202053830412517,-50.89770488329505,57.755232391495255,0.015354172140954803,8.120079107487614,0.18244606233407373,False,positive percent means fitted decline from experiment t=0 to t=60 min
100.0,0.3,8,4.264597233333333,79.42069723333334,183.30753974166257,158.13114593458397,-0.4196065634513101,-25.176393807078604,0.09727801564042728,13.734510780385783,2.841909011189387,6.7806099410307645,20.6884116197408,0.8714560675130542,4.198220308711091,-0.44367337628846854,True,positive percent means fitted decline from experiment t=0 to t=60 min
100.0,0.9,8,6.086941666666666,77.06660833333333,429.8612275592553,368.9067997003462,-1.0159071309818184,-60.954427858909106,0.1824576647076417,14.180024610502167,2.2315469451358685,8.719625944062837,19.640423276941497,0.8992855656367377,8.935427878163088,-0.8264247463100067,True,positive percent means fitted decline from experiment t=0 to t=60 min
100.0,2.7,8,7.334133333333333,87.16833333333334,852.8903948167232,735.103872479213,-1.9631087056251695,-117.78652233751016,0.34347509035418927,13.810276566993256,2.202586430356479,8.420741727382874,19.199811406603636,0.940249044693063,13.19388258265863,-2.050087188726545,True,positive percent means fitted decline from experiment t=0 to t=60 min
200.0,0.1,8,0.0,83.832825,13.366886235844973,14.638872698521068,0.02119977437793491,1.2719864626760946,0.1667628046125232,-9.515951884628931,81.52949444910735,-209.01143807000844,189.9795343007506,0.0074690209303345245,6.423140192211481,0.09471906913930557,True,positive percent means fitted decline from experiment t=0 to t=60 min
200.0,0.3,8,4.264597233333333,79.42069723333334,50.952375993024134,44.82065718140181,-0.10219531352703873,-6.131718811622323,0.08763532211891496,12.034215661428254,9.438962891488147,-11.062094500271767,35.13052582312827,0.3075975827918649,3.9942819644338736,-0.12432102943146014,True,positive percent means fitted decline from experiment t=0 to t=60 min
200.0,0.9,8,6.086941666666666,77.06660833333333,116.93030294229652,101.76566296620712,-0.2527439996014901,-15.164639976089404,0.04198173547798383,12.968956373586874,1.9083387053159393,8.299419779550636,17.63849296762311,0.8843355784322873,2.4023512005133205,-0.26433814866697514,True,positive percent means fitted decline from experiment t=0 to t=60 min
200.0,2.7,8,7.334133333333333,87.16833333333334,156.70581362461354,112.7426714029904,-0.7327190370270524,-43.963142221623144,0.2880967533886192,28.054570028228948,9.700223775029453,4.318977514351097,51.7901625421068,0.7885870695000113,10.114763021665386,-0.831158828051935,True,positive percent means fitted decline from experiment t=0 to t=60 min
