map_order,baseline_method,distance_nm,QC_metric,pixels,Spearman_rho,Spearman_p_value_naive_pixels
2,linear_drift_corrected,200.0,physical_column,64,0.2528684321238327,0.04380318086790991
2,far_constant_referenced,20.0,far_slope_pN_per_100nm,64,0.00036630036630036625,0.9977079633121676
2,far_constant_referenced,20.0,local_contact_InvOLS_nm_per_V,64,-0.44706959706959704,0.0002126405757503195
2,far_constant_referenced,20.0,acquisition_order,64,0.3064102564102564,0.013796608473676308
2,far_constant_referenced,20.0,physical_row,64,0.31968476236385274,0.010023141711263452
2,far_constant_referenced,20.0,physical_column,64,0.3484785400363476,0.004773680927721402
2,far_constant_referenced,50.0,far_slope_pN_per_100nm,64,0.0341117216117216,0.7890125280198628
2,far_constant_referenced,50.0,local_contact_InvOLS_nm_per_V,64,-0.41662087912087903,0.0006161687402692003
2,far_constant_referenced,50.0,acquisition_order,64,0.27925824175824177,0.025437279168646968
2,far_constant_referenced,50.0,physical_row,64,0.2871994747333458,0.021390461687290727
2,far_constant_referenced,50.0,physical_column,64,0.330390141242088,0.0076679018217084595
2,far_constant_referenced,100.0,far_slope_pN_per_100nm,64,0.29070512820512817,0.019786169080075876
2,far_constant_referenced,100.0,local_contact_InvOLS_nm_per_V,64,-0.1257326007326007,0.3221879327905839
2,far_constant_referenced,100.0,acquisition_order,64,0.21442307692307688,0.08886273666409202
2,far_constant_referenced,100.0,physical_row,64,0.198603235741054,0.11566612189603023
2,far_constant_referenced,100.0,physical_column,64,0.15467426724070935,0.2223260928925114
2,far_constant_referenced,200.0,far_slope_pN_per_100nm,64,0.05219780219780219,0.6820761730569633
2,far_constant_referenced,200.0,local_contact_InvOLS_nm_per_V,64,0.10187728937728938,0.4231071723027908
2,far_constant_referenced,200.0,acquisition_order,64,0.29922161172161166,0.016309924286719287
2,far_constant_referenced,200.0,physical_row,64,0.2857228707501409,0.022098551626369946
2,far_constant_referenced,200.0,physical_column,64,0.038022552567525215,0.7654794341760599
3,linear_drift_corrected,20.0,far_slope_pN_per_100nm,64,0.49619963369963366,3.0495525662058314e-05
3,linear_drift_corrected,20.0,local_contact_InvOLS_nm_per_V,64,-0.5643772893772894,1.191071091170625e-06
3,linear_drift_corrected,20.0,acquisition_order,64,0.3307692307692307,0.007594226688275514
3,linear_drift_corrected,20.0,physical_row,64,0.3510625970069561,0.004451171273062481
3,linear_drift_corrected,20.0,physical_column,64,0.5223486590587201,9.546936272044245e-06
3,linear_drift_corrected,50.0,far_slope_pN_per_100nm,64,0.8654761904761904,2.829745947459825e-20
3,linear_drift_corrected,50.0,local_contact_InvOLS_nm_per_V,64,-0.30489926739926737,0.014295233717349453
3,linear_drift_corrected,50.0,acquisition_order,64,0.29990842490842484,0.016053947086754217
3,linear_drift_corrected,50.0,physical_row,64,0.3241145743134673,0.008981593998914478
3,linear_drift_corrected,50.0,physical_column,64,0.44741100691107333,0.00020999832801654893
3,linear_drift_corrected,100.0,far_slope_pN_per_100nm,64,0.9716117216117215,1.5954117314083039e-40
3,linear_drift_corrected,100.0,local_contact_InvOLS_nm_per_V,64,-0.06286630036630035,0.6216546264504024
3,linear_drift_corrected,100.0,acquisition_order,64,0.28003663003663,0.02501398040959402
3,linear_drift_corrected,100.0,physical_row,64,0.30196551456539444,0.01530777351353583
3,linear_drift_corrected,100.0,physical_column,64,0.25471418710283883,0.04223593399739632
3,linear_drift_corrected,200.0,far_slope_pN_per_100nm,64,0.9420787545787543,4.104842350007974e-31
3,linear_drift_corrected,200.0,local_contact_InvOLS_nm_per_V,64,-0.048168498168498164,0.7054509361556853
3,linear_drift_corrected,200.0,acquisition_order,64,0.2664377289377289,0.033326765566916224
3,linear_drift_corrected,200.0,physical_row,64,0.2860920217459421,0.021919690492732
3,linear_drift_corrected,200.0,physical_column,64,0.1816222899341981,0.15091195493992018
3,far_constant_referenced,20.0,far_slope_pN_per_100nm,64,0.049313186813186805,0.6987816107428906
3,far_constant_referenced,20.0,local_contact_InvOLS_nm_per_V,64,-0.6934065934065934,2.1428924121553172e-10
3,far_constant_referenced,20.0,acquisition_order,64,0.1907051282051282,0.1311805823540916
3,far_constant_referenced,20.0,physical_row,64,0.20192559470326493,0.10957707028471117
3,far_constant_referenced,20.0,physical_column,64,0.5404370578529798,4.034097297287861e-06
3,far_constant_referenced,50.0,far_slope_pN_per_100nm,64,0.18086080586080583,0.15266132447778377
3,far_constant_referenced,50.0,local_contact_InvOLS_nm_per_V,64,-0.5478479853479853,2.793214461040167e-06
3,far_constant_referenced,50.0,acquisition_order,64,0.2957875457875458,0.017642925044785745
3,far_constant_referenced,50.0,physical_row,64,0.3075027795024126,0.01344547575986665
3,far_constant_referenced,50.0,physical_column,64,0.534161490924359,5.470081141122289e-06
3,far_constant_referenced,100.0,far_slope_pN_per_100nm,64,0.6337454212454212,1.8987735394783855e-08
3,far_constant_referenced,100.0,local_contact_InvOLS_nm_per_V,64,-0.11130952380952379,0.38121973940115805
3,far_constant_referenced,100.0,acquisition_order,64,0.391529304029304,0.001377792519543294
3,far_constant_referenced,100.0,physical_row,64,0.4068043973729396,0.0008504724501539521
3,far_constant_referenced,100.0,physical_column,64,0.28461541776273724,0.02264258244644731
3,far_constant_referenced,200.0,far_slope_pN_per_100nm,64,-0.16717032967032966,0.18672919147999184
3,far_constant_referenced,200.0,local_contact_InvOLS_nm_per_V,64,-0.11904761904761903,0.34878534612669276
3,far_constant_referenced,200.0,acquisition_order,64,0.07032967032967032,0.5807888735262208
3,far_constant_referenced,200.0,physical_row,64,0.07050784019803218,0.5798284762680828
3,far_constant_referenced,200.0,physical_column,64,-0.038022552567525215,0.7654794341760599
4,linear_drift_corrected,20.0,far_slope_pN_per_100nm,64,0.2816391941391941,0.024161192629352166
4,linear_drift_corrected,20.0,local_contact_InvOLS_nm_per_V,64,-0.4755036630036629,7.164965889765975e-05
4,linear_drift_corrected,20.0,acquisition_order,64,0.2974816849816849,0.01697410748403528
4,linear_drift_corrected,20.0,physical_row,64,0.3185773093764491,0.010299366506685496
4,linear_drift_corrected,20.0,physical_column,64,0.47029836865074875,8.807056951867411e-05
4,linear_drift_corrected,50.0,far_slope_pN_per_100nm,64,0.8157509157509156,2.2253392739757674e-16
4,linear_drift_corrected,50.0,local_contact_InvOLS_nm_per_V,64,-0.05668498168498167,0.6563919139025722
4,linear_drift_corrected,50.0,acquisition_order,64,0.2223443223443223,0.07741696408841142
4,linear_drift_corrected,50.0,physical_row,64,0.24770031818261568,0.048447978707186284
4,linear_drift_corrected,50.0,physical_column,64,0.179776534955192,0.1551781519640259
4,linear_drift_corrected,100.0,far_slope_pN_per_100nm,64,0.927106227106227,4.085450315925561e-28
4,linear_drift_corrected,100.0,local_contact_InvOLS_nm_per_V,64,0.11483516483516483,0.36622402489034644
4,linear_drift_corrected,100.0,acquisition_order,64,0.2102106227106227,0.09546945741787968
4,linear_drift_corrected,100.0,physical_row,64,0.23478003332957317,0.061843458258568955
4,linear_drift_corrected,100.0,physical_column,64,0.017350096802657138,0.8917617370709321
4,linear_drift_corrected,200.0,far_slope_pN_per_100nm,64,0.9017857142857142,2.8758614224558153e-24
4,linear_drift_corrected,200.0,local_contact_InvOLS_nm_per_V,64,0.141025641025641,0.26633804968345975
4,linear_drift_corrected,200.0,acquisition_order,64,0.1422161172161172,0.2622816825709636
4,linear_drift_corrected,200.0,physical_row,64,0.15688917321551665,0.21569386108596375
4,linear_drift_corrected,200.0,physical_column,64,-0.19897238673685524,0.11497701747478262
4,far_constant_referenced,20.0,far_slope_pN_per_100nm,64,-0.14967948717948715,0.23780156567687774
4,far_constant_referenced,20.0,local_contact_InvOLS_nm_per_V,64,-0.6005494505494505,1.5553425777517247e-07
4,far_constant_referenced,20.0,acquisition_order,64,0.17673992673992672,0.16239019398875268
4,far_constant_referenced,20.0,physical_row,64,0.18752870586701753,0.1378458876640338
4,far_constant_referenced,20.0,physical_column,64,0.5367455478949675,4.829035297041249e-06
4,far_constant_referenced,50.0,far_slope_pN_per_100nm,64,-0.06579670329670328,0.6054636603270509
4,far_constant_referenced,50.0,local_contact_InvOLS_nm_per_V,64,-0.3046245421245421,0.01438753946223472
4,far_constant_referenced,50.0,acquisition_order,64,0.2173534798534798,0.08448269119983182
4,far_constant_referenced,50.0,physical_row,64,0.23367258034216948,0.06311863587424323
4,far_constant_referenced,50.0,physical_column,64,0.37358080775083025,0.0023606394923963276
4,far_constant_referenced,100.0,far_slope_pN_per_100nm,64,0.2438644688644688,0.05215016597240634
4,far_constant_referenced,100.0,local_contact_InvOLS_nm_per_V,64,-0.05989010989010988,0.6382834671331681
4,far_constant_referenced,100.0,acquisition_order,64,0.291025641025641,0.019644746112952003
4,far_constant_referenced,100.0,physical_row,64,0.292736739670364,0.018904226943081946
4,far_constant_referenced,100.0,physical_column,64,0.1627955891483361,0.19869102450270015
4,far_constant_referenced,200.0,far_slope_pN_per_100nm,64,-0.3958333333333333,0.0012054381835975945
4,far_constant_referenced,200.0,local_contact_InvOLS_nm_per_V,64,-0.1228021978021978,0.33368389495984196
4,far_constant_referenced,200.0,acquisition_order,64,-0.1487179487179487,0.24086388051569815
4,far_constant_referenced,200.0,physical_row,64,-0.16574879711474583,0.19055773787626276
4,far_constant_referenced,200.0,physical_column,64,-0.1487678513078899,0.24070428690399484
5,linear_drift_corrected,20.0,far_slope_pN_per_100nm,64,0.2527014652014652,0.043947286012262055
5,linear_drift_corrected,20.0,local_contact_InvOLS_nm_per_V,64,-0.6065934065934065,1.079665141771408e-07
5,linear_drift_corrected,20.0,acquisition_order,64,0.2205128205128205,0.07995323641972069
5,linear_drift_corrected,20.0,physical_row,64,0.22998107038415733,0.06752305403195658
5,linear_drift_corrected,20.0,physical_column,64,0.3960990184947044,0.0011954649129722434
5,linear_drift_corrected,50.0,far_slope_pN_per_100nm,64,0.8194597069597069,1.2566642734749515e-16
5,linear_drift_corrected,50.0,local_contact_InvOLS_nm_per_V,64,-0.24917582417582415,0.047082496153166675
5,linear_drift_corrected,50.0,acquisition_order,64,0.05764652014652015,0.6509380576189239
5,linear_drift_corrected,50.0,physical_row,64,0.06423227326941153,0.6140845252287642
5,linear_drift_corrected,50.0,physical_column,64,0.10963784575296105,0.3884565752812337
5,linear_drift_corrected,100.0,far_slope_pN_per_100nm,64,0.9139652014652013,5.709383795059741e-26
5,linear_drift_corrected,100.0,local_contact_InvOLS_nm_per_V,64,-0.0792124542124542,0.5338177444679897
5,linear_drift_corrected,100.0,acquisition_order,64,-0.016208791208791207,0.8988430953441175
5,linear_drift_corrected,100.0,physical_row,64,-0.01698094580685592,0.8940512817082782
5,linear_drift_corrected,100.0,physical_column,64,-0.027317173689289955,0.8303364022762054
5,linear_drift_corrected,200.0,far_slope_pN_per_100nm,64,0.9274267399267399,3.5810178252372613e-28
5,linear_drift_corrected,200.0,local_contact_InvOLS_nm_per_V,64,-0.00036630036630036625,0.9977079633121676
5,linear_drift_corrected,200.0,acquisition_order,64,-0.04935897435897436,0.6985153049085779
5,linear_drift_corrected,200.0,physical_row,64,-0.04983538443316411,0.6957466000424848
5,linear_drift_corrected,200.0,physical_column,64,-0.16648709910634826,0.18856232664553213
5,far_constant_referenced,20.0,far_slope_pN_per_100nm,64,-0.14496336996336995,0.2530803949945838
5,far_constant_referenced,20.0,local_contact_InvOLS_nm_per_V,64,-0.620650183150183,4.4823511579273284e-08
5,far_constant_referenced,20.0,acquisition_order,64,0.2941391941391941,0.01831516487928
5,far_constant_referenced,20.0,physical_row,64,0.29864315560318344,0.016528222718324593
5,far_constant_referenced,20.0,physical_column,64,0.4706675196465499,8.680060925984002e-05
5,far_constant_referenced,50.0,far_slope_pN_per_100nm,64,-0.12545787545787543,0.3232548389950012
5,far_constant_referenced,50.0,local_contact_InvOLS_nm_per_V,64,-0.4417124542124542,0.00025829198221487363
5,far_constant_referenced,50.0,acquisition_order,64,0.3194139194139194,0.010090094862426744
5,far_constant_referenced,50.0,physical_row,64,0.32485287630506976,0.00881749876270848
5,far_constant_referenced,50.0,physical_column,64,0.3853936396164691,0.0016618616132974562
5,far_constant_referenced,100.0,far_slope_pN_per_100nm,64,0.14725274725274723,0.24558217566028376
5,far_constant_referenced,100.0,local_contact_InvOLS_nm_per_V,64,-0.2836996336996337,0.023100993283692476
5,far_constant_referenced,100.0,acquisition_order,64,0.21336996336996336,0.09047971350693829
5,far_constant_referenced,100.0,physical_row,64,0.20155644370746373,0.11024116499348358
5,far_constant_referenced,100.0,physical_column,64,0.2318268253631634,0.06529097226936927
5,far_constant_referenced,200.0,far_slope_pN_per_100nm,64,-0.024313186813186814,0.8487605660090549
5,far_constant_referenced,200.0,local_contact_InvOLS_nm_per_V,64,-0.05329670329670329,0.6757514427976241
5,far_constant_referenced,200.0,acquisition_order,64,0.12953296703296702,0.3076594413475109
5,far_constant_referenced,200.0,physical_row,64,0.11037614774456349,0.3852503951180414
5,far_constant_referenced,200.0,physical_column,64,-0.14470719035407653,0.25392901404020063
