source,timestamp,map_order,baseline_method,distance_nm,force_median_pN,force_q25_pN,force_q75_pN,valid_pixels
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,150.0,-5.396080079646766,-54.97489342088717,24.219261446620745,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,155.0,-5.6284116209266895,-62.05850712720343,20.051879292770007,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,160.0,-8.000715385388418,-53.891338992648706,21.699480269132707,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,165.0,-6.24580561908639,-60.250257963899635,17.420195395007532,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,170.0,-12.344574532627469,-57.30878920994884,18.067739250777848,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,175.0,-8.892173699176773,-58.485162930872555,17.42607983282462,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,180.0,-8.550061059351025,-55.17479681716138,17.719046086318933,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,185.0,-9.755648218070913,-54.842878407401734,16.449391866688053,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,190.0,-11.620882669911845,-53.51641001196086,14.572421016392374,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,195.0,-9.837697449727095,-57.55299437543867,14.835712351115738,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,200.0,-11.072201822485482,-54.277022928457725,14.642128304397612,64
