baseline_method,distance_nm,map1_pixels,map2_pixels,map1_median_pN,map2_median_pN,map2_minus_map1_median_pN,Welch_t_statistic_map1_minus_map2,Welch_t_p_value_naive_pixels,Mann_Whitney_U_statistic,Mann_Whitney_p_value_naive_pixels,Cliffs_delta_map2_greater_map1,Cohen_d_map2_minus_map1
linear_drift_corrected,20.0,64,64,137.43590171886947,392.35065384843665,254.91475212956718,-8.115443611823219,3.7777556683111144e-12,467.0,4.996907307990637e-14,0.77197265625,1.4346213025643113
linear_drift_corrected,50.0,64,64,42.45337675961028,135.67832693433365,93.22495017472338,-5.808208792145763,7.738228980364878e-08,981.0,3.7251615377748775e-07,0.52099609375,1.0267559558683987
linear_drift_corrected,100.0,64,64,1.2431928606996858,-8.659321240116961,-9.902514100816648,-1.5291913814228757,0.12906096404618578,1804.0,0.24587833261426695,0.119140625,0.27032539888403495
linear_drift_corrected,200.0,64,64,-11.072201822485482,-38.50069759549231,-27.42849577300683,0.013251698429460586,0.9894504485818125,2110.0,0.7694585654328076,-0.0302734375,-0.0023425914554276754
far_constant_referenced,20.0,64,64,161.2542432246089,402.70058242376444,241.44633919915555,-9.381697269704903,1.341484085280326e-14,269.0,2.3390195725676874e-17,0.86865234375,1.6584654396119136
far_constant_referenced,50.0,64,64,52.22681675928022,150.59357995060765,98.36676319132744,-11.398557104160844,4.852558382063697e-19,189.0,8.232117080155413e-19,0.90771484375,2.014999256023557
far_constant_referenced,100.0,64,64,11.140848561201693,41.198046909061134,30.05719834785944,-8.34998560499322,1.2901135696262279e-13,588.0,3.5165167693493097e-12,0.712890625,1.4760828610251908
far_constant_referenced,200.0,64,64,-1.0371789339680502,6.953344308100017,7.990523242068067,-2.7460823122044333,0.006965520932776305,1485.0,0.007348175462573039,0.27490234375,0.4854433561640472
