source,timestamp,point_index,row,column,contact_invOLS_40nm_nm_per_V,contact_invOLS_30nm_nm_per_V,contact_invOLS_50nm_nm_per_V,contact_fit_R2,contact_points,valid_before_map_outlier_filter,retained_for_global_consensus
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,28,3,3,65.4013855541023,65.21519375241104,65.6258486665619,0.9998687288303189,41,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,29,3,2,60.19775285610894,60.081715409327835,60.39848996520407,0.999907343946292,41,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,30,3,1,58.33713417307951,58.28531813358245,58.74824804367998,0.9997817278632222,40,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,31,3,0,58.98548827956666,59.83555542255466,58.86180437194634,0.9996098294910692,41,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,32,4,0,58.506250750073626,58.88868404980395,58.49118105332656,0.9998357567107568,40,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,33,4,1,58.62071992178722,57.57326985311746,59.0775983138946,0.9994209197760063,41,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,34,4,2,65.08494853864919,64.89330110242622,64.99326921387289,0.9999389260628105,41,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,35,4,3,61.30380338702401,61.32962360485736,61.616145061979594,0.9998685709262821,41,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,36,4,4,61.327935154439984,59.518425962519736,62.293879334498605,0.9990029859342968,41,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,37,4,5,67.2660531869624,66.54514837372899,68.84264746556778,0.9996405723465968,40,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,38,4,6,68.99611746261014,68.56774173522722,71.121747346598,0.9997656775969851,40,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,39,4,7,68.28960406065333,69.53762439373722,69.11809714320243,0.9996985117817953,40,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,40,5,7,72.87887691846859,74.3581340912045,72.73037186843085,0.9989265248615362,40,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,41,5,6,63.291516608232996,64.79719115212067,63.59240178030078,0.9974573780087449,41,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,42,5,5,71.80257660948133,68.07780003038206,74.16865911899013,0.9981662148530626,41,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,43,5,4,60.82654636168852,59.78598822469386,61.644709777997114,0.9995428517531337,40,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,44,5,3,60.32202793393978,60.671297336332884,60.53263262839378,0.9999077201511867,41,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,45,5,2,59.5453033721401,59.47920729822879,59.51610071445598,0.999897820883383,41,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,46,5,1,61.32609314521712,61.093737418888765,62.3633667916697,0.9997017225687913,40,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,47,5,0,62.84480372260001,61.113348891080584,65.89760529880249,0.9989575470575681,40,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,48,6,0,60.02944375701572,59.872123447620915,60.625650276125555,0.9997983867373698,40,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,49,6,1,62.76381630322103,62.627701100062474,65.61971173917298,0.9998233762230702,41,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,50,6,2,59.35348268680525,58.03749876436439,60.65393298860388,0.9992239120081514,41,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,51,6,3,61.16391805948429,61.04797835075366,61.548255018216025,0.9999249185735204,41,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,52,6,4,75.88270199903327,76.83205721068587,73.38340045746051,0.9994315132103481,41,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,53,6,5,65.65772775386166,66.10190508497348,65.3394319254817,0.9990649025649557,40,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,54,6,6,66.48665060721058,67.00762376695576,66.95775883724174,0.9999081387777272,40,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,55,6,7,65.05763496740802,64.14377557483972,65.32814676602499,0.9997425703139748,40,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,56,7,7,73.83251110207262,73.13962583188719,75.1533676914436,0.9994419933921718,41,True,True
