before_map,after_map,pair,metric,unit,paired_pixels,before_median,after_median,paired_difference_after_minus_before_median,paired_difference_q25,paired_difference_q75,Wilcoxon_p_value,Spearman_rho_before_after
2,3,map2_to_map3,local_contact_InvOLS,nm/V,64,71.52876322016748,70.87707758293335,0.22214981175585535,-2.040334677716821,2.1380768957756224,0.98932860466587,0.5215201465201464
2,3,map2_to_map3,far_slope,pN/100 nm,64,-2.1076067653575583,-2.0102264523589968,-0.10099755676622468,-5.17793315648771,4.10364296456243,0.8045695208229713,0.3462912087912087
2,3,map2_to_map3,far_noise,pN,64,19.68434080878233,22.715914324898705,3.089227764620661,-5.3550303771826,9.81224991745055,0.06021871546887055,-0.577106227106227
2,3,map2_to_map3,terminal_load,nN,64,14.129067993621991,14.121144928752486,-0.03891206375524359,-0.15364040761300668,0.11292471909771251,0.36662507887188855,0.4209249084249084
2,3,map2_to_map3,gap_speed,um/s,64,1.9916361706060675,1.9947814701622653,0.002795101197051064,0.0002068907605710657,0.00521483147970403,1.986273900017716e-06,0.3798992673992673
2,3,map2_to_map3,retract_pull_off_force,nN,61,-4.225697804517591,-3.575632735499785,0.5624615854335575,-1.6033421000730912,3.0888631369369666,0.2234214603917527,0.4932310946589106
2,3,map2_to_map3,retract_detachment_travel,nm,61,21.221944388168822,19.683037765565512,-2.7094912877063955,-9.671325487836075,5.933412150244049,0.1923448316016506,0.39238498149127443
2,4,map2_to_map4,local_contact_InvOLS,nm/V,64,71.52876322016748,70.17571802820522,-0.06234082620346726,-2.524393487579367,1.3578542443406683,0.5295942999556351,0.4504578754578754
2,4,map2_to_map4,far_slope,pN/100 nm,64,-2.1076067653575583,-2.022211426838962,0.27865196746867793,-3.8624935959376767,4.975270723850024,0.5428141833649658,0.041987179487179484
2,4,map2_to_map4,far_noise,pN,64,19.68434080878233,17.83929132481017,-0.9373292841841874,-4.383712858553203,1.695764552496891,0.0214198177538247,0.5757783882783881
2,4,map2_to_map4,terminal_load,nN,64,14.129067993621991,14.135646109013813,0.006934047102143737,-0.16926471049229885,0.13823361168504977,0.6254167945722587,0.359065934065934
2,4,map2_to_map4,gap_speed,um/s,64,1.9916361706060675,1.997512640354073,0.005555178465571853,0.003118036763630927,0.007770691680552944,1.572950757315325e-11,0.2889652014652014
2,4,map2_to_map4,retract_pull_off_force,nN,61,-4.225697804517591,-3.72975552559082,0.8223042226739348,-2.4467861568172307,3.3564398225442904,0.497282147022275,0.4239555790586991
2,4,map2_to_map4,retract_detachment_travel,nm,61,21.221944388168822,18.80015238400435,-4.842207581437133,-10.750835206402048,7.413469530675217,0.21006222508135075,0.1870438921205711
2,5,map2_to_map5,local_contact_InvOLS,nm/V,64,71.52876322016748,67.90014040654961,-1.2381630576848082,-3.298194961546365,2.0235065223348876,0.05164706811231748,0.3658424908424908
2,5,map2_to_map5,far_slope,pN/100 nm,64,-2.1076067653575583,-1.3287500699492796,0.01354335875005419,-2.9701694244381263,3.9801253199067688,0.6833193501271634,-0.15686813186813184
2,5,map2_to_map5,far_noise,pN,64,19.68434080878233,11.892329105955284,-7.483879220899963,-11.301318114333654,-3.3090533397362827,1.0868521519767841e-11,0.2593864468864468
2,5,map2_to_map5,terminal_load,nN,64,14.129067993621991,14.134502901001584,0.010629000482575535,-0.18376422523482328,0.10892274338762764,0.5165400906836031,0.01607142857142857
2,5,map2_to_map5,gap_speed,um/s,64,1.9916361706060675,1.9983964500005205,0.006825469602194101,0.004843068909291703,0.008993840344287296,3.5254980732707397e-12,0.4232142857142856
2,5,map2_to_map5,retract_pull_off_force,nN,63,-4.225697804517591,-4.061229138440574,0.08538920569260844,-5.476647332461263,2.34187879799069,0.5980894163154888,0.3383256528417819
2,5,map2_to_map5,retract_detachment_travel,nm,63,21.221944388168822,20.237751149617857,-2.3767385953340074,-7.5067780597689255,11.26175603443144,0.9127760486534156,0.14439324116743474
3,4,map3_to_map4,local_contact_InvOLS,nm/V,64,70.87707758293335,70.17571802820522,0.028189507004213965,-1.7997490540574859,1.3902218778903936,0.7330563505884228,0.726098901098901
3,4,map3_to_map4,far_slope,pN/100 nm,64,-2.0102264523589968,-2.022211426838962,1.268253012280303,-2.1645700432092356,3.561778831576065,0.15048697477056153,0.7096153846153845
3,4,map3_to_map4,far_noise,pN,64,22.715914324898705,17.83929132481017,-3.481386840700818,-10.164462197170488,1.8357446421232155,0.0001271366489584469,-0.08255494505494504
3,4,map3_to_map4,terminal_load,nN,64,14.121144928752486,14.135646109013813,-0.017614953527849586,-0.1075005148881214,0.10638032111488815,0.8830332757989482,0.5940934065934065
3,4,map3_to_map4,gap_speed,um/s,64,1.9947814701622653,1.997512640354073,0.0023902993746670598,0.0010014571080576018,0.0036653168372318135,4.682600367383794e-12,0.8247710622710621
3,4,map3_to_map4,retract_pull_off_force,nN,61,-3.5642220446088557,-3.671793850584773,0.15078124057722198,-1.1399694733579193,1.0738931851384614,0.8829371421975876,0.7444209413008989
3,4,map3_to_map4,retract_detachment_travel,nm,61,19.683037765565512,18.759806810867843,-1.242935275355677,-6.292294410658984,5.137064855155089,0.5876121565816115,0.5599682707562135
