source,sha256,timestamp,map_order,grid_i,grid_j,field_u_um,field_v_um,x_min_um,x_max_um,y_min_um,y_max_um,x_center_um,y_center_um,approach_duration_per_curve_s,retract_duration_per_curve_s,protocol_duration_no_XY_overhead_min,first_to_64th_no_XY_overhead_min,approach_curves,approach_skipped_curves,retract_curves,retract_skipped_curves,stored_InvOLS_nm_per_V,stored_spring_constant_N_per_m,map_contact_InvOLS_nm_per_V,map_contact_InvOLS_MAD_nm_per_V,global_InvOLS_used_nm_per_V,calibrated_spring_constant_used_N_per_m,scanner_speed_median_um_per_s,gap_speed_20_200nm_median_um_per_s,terminal_load_median_nN,far_slope_median_pN_per_100nm,far_slope_MAD_pN_per_100nm,contact_height_median_um,approach_snap_detected_fraction,approach_snap_distance_median_nm,retract_free_baseline_valid_fraction,retract_snapoff_detected_fraction,retract_pull_off_censored_fraction,retract_pull_off_force_median_nN,retract_detachment_piezo_travel_median_nm
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,0dcdb836e2ee7c24d4e31f2e8b485e964031a78d397cb46f68ed7965abab46d2,2026-08-31T14:40:37.339000,1,8,8,3.5000000000000004,3.5000000000000004,8.490041427451537,11.552542192771687,-20.47303396394093,-17.410532255138406,10.021291810111613,-18.94178310953967,2.0,2.0,4.266666666666667,4.2,64,0,64,0,78.27502472028856,0.350609,63.13701349363639,5.045438130205865,68.28960406065333,0.31134017315783524,1.0001442793804238,0.9985109420156141,14.130443742124259,-0.6430958316250595,3.4264950200568514,11.710060407101649,0.640625,8.326409416590252,1.0,1.0,0.0,-6.3189561891278485,24.629825734770407
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,6d561d5d1469d39c19a90a6a4a1e9d12e7641bbb930bc69f68b2ef119ce8fde7,2026-08-31T15:01:59.514000,2,8,8,2.5,2.5,10.791432277462858,12.978932130016206,-27.68713572131837,-25.49962892415477,11.885182203739532,-26.59338232273657,0.99925,1.0,2.1325333333333334,2.0992124999999997,64,0,64,0,78.27502472028856,0.350609,71.57536919154639,3.306641790445329,68.28960406065333,0.31134017315783524,2.000518113775482,1.9916361706060675,14.129067993621991,-2.1076067653575583,5.197392776864903,6.103827823516793,0.140625,217.14969292281893,1.0,0.96875,0.0,-4.225697804517591,21.221944388168822
31-08-26/map-data-2026.08.31-15.29.09.174.jpk-force-map,3821578e6f21af4f53b4614b3be963423350ee4dbc8d70380eb4743a7890f8b3,2026-08-31T15:29:09.174000,3,8,8,2.5,2.5,10.791432277462858,12.978932130016206,-27.68713572131837,-25.49962892415477,11.885182203739532,-26.59338232273657,1.0,1.0,2.1333333333333333,2.1,64,0,64,0,78.27502472028856,0.350609,70.87707758293337,6.259323075456223,68.28960406065333,0.31134017315783524,2.0005140002400905,1.9947814701622653,14.121144928752486,-2.0102264523589968,7.1957230635812675,6.281010247170052,0.140625,158.74679201859934,1.0,0.96875,0.0,-3.5699273900543202,19.65692481778153
31-08-26/map-data-2026.08.31-15.55.19.495.jpk-force-map,17600e26d8d99dcaf6f28bdd5a03625f46a7248c4a3b12ee03948aa3f0275cee,2026-08-31T15:55:19.495000,4,8,8,2.5,2.5,10.791432277462858,12.978932130016206,-27.68713572131837,-25.49962892415477,11.885182203739532,-26.59338232273657,0.99875,1.0,2.132,2.0986875,64,0,64,0,78.27502472028856,0.350609,70.63727100041417,4.836310550572097,68.28960406065333,0.31134017315783524,2.0005163081371604,1.997512640354073,14.135646109013813,-2.022211426838962,4.582613476932198,6.415033775513589,0.078125,154.1364547309219,1.0,0.96875,0.0,-3.7007746880877965,18.779979597436096
31-08-26/map-data-2026.08.31-16.20.38.892.jpk-force-map,8c11e177eac08d8fa81bdb7a0f30e75af5eb08c374c06ab78e20249af8864a3e,2026-08-31T16:20:38.892000,5,8,8,2.5,2.5,10.791432277462858,12.978932130016206,-27.68713572131837,-25.49962892415477,11.885182203739532,-26.59338232273657,0.99925,1.0,2.1325333333333334,2.0992124999999997,64,0,64,0,78.27502472028856,0.350609,67.69547696263199,6.587499952197566,68.28960406065333,0.31134017315783524,2.0005158292209275,1.9983964500005205,14.134502901001584,-1.3287500699492796,3.6668238535863735,6.546713654120509,0.203125,141.88005344700622,1.0,1.0,0.0,-4.127762546716346,19.989551760611995
