source,map_order,distance_nm,points,force_median_pN,force_first_pN,force_64th_pN,raw_64_minus_1_pN,Theil_Sen_slope_pN_per_sample,Theil_Sen_slope_95CI_low_pN_per_sample,Theil_Sen_slope_95CI_high_pN_per_sample,Theil_Sen_intercept_pN,Theil_Sen_endpoint_change_pN,Theil_Sen_endpoint_95CI_low_pN,Theil_Sen_endpoint_95CI_high_pN,OLS_slope_pN_per_sample,OLS_intercept_pN,OLS_endpoint_change_pN,OLS_r_squared,OLS_slope_p_value,first_to_64th_no_XY_overhead_min
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2,50.0,64,135.67832693433365,182.16420776305543,146.52006295460373,-35.6441448084517,0.8729090647862059,-0.44980548701311107,2.290368159174196,107.30878232878196,54.99327108153097,-28.337745681825997,144.29319402797435,1.3251410428633965,84.59001524682319,83.48388570039398,0.049222816093925995,0.07807838560374605,2.0992124999999997
31-08-26/map-data-2026.08.31-15.29.09.174.jpk-force-map,3,50.0,64,62.33697884967705,50.0382997035971,-28.206288954445064,-78.24458865804216,2.045194718933513,-0.06706259497690849,3.8848051460620088,-4.131849515662125,128.84726729281132,-4.224943483545235,244.74272420190655,2.101598723665698,28.718759540837127,132.400719590939,0.08341078143523488,0.020640563324617278,2.1
31-08-26/map-data-2026.08.31-15.55.19.495.jpk-force-map,4,50.0,64,38.023205976069235,10.176937089004628,-30.42329403667274,-40.60023112567737,1.6173806360676481,-0.06750911263936424,2.990817616393018,-14.541664696129331,101.89498007226183,-4.253074096279947,188.4215098327601,1.2700676298512685,12.230613330218539,80.01426068062992,0.06503164300240312,0.04198659511664129,2.0986875
31-08-26/map-data-2026.08.31-16.20.38.892.jpk-force-map,5,50.0,64,26.036856573151425,52.09468737060954,87.78375455587039,35.689067185260846,0.2469830453063877,-0.6002775300912612,1.0765095197089911,18.009907600693825,15.559931854302425,-37.81748439574945,67.82009974166644,0.04833788317368334,16.839414001521693,3.0452866399420504,0.0002338115282732861,0.9045440063790104,2.0992124999999997
