source,map_order,distance_nm,force_first_pN,force_64th_pN,endpoint_delta_64_minus_1_pN,first_row_median_pN,last_row_median_pN,last_minus_first_row_median_pN,Theil_Sen_endpoint_change_pN,first_to_64th_no_XY_overhead_min
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,20.0,54.20971461988743,154.37043699922364,100.16072237933622,140.24355668386852,102.1486770806132,-38.09487960325532,-118.13841659611954,4.2
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,50.0,-20.29968281443139,96.50811232554345,116.80779513997484,-1.3251957048257312,35.541949515177045,36.867145220002776,-18.328088445234265,4.2
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,100.0,-52.81851385392465,97.2119733891895,150.03048724311415,-50.66479940328962,7.138092847687437,57.80289225097706,25.019896476810537,4.2
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,200.0,-92.81545262162987,79.36722170667757,172.18267432830743,-73.06679699779521,1.6005864525188347,74.66738345031405,29.629824165888817,4.2
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2,20.0,619.8830493677269,451.4118778915206,-168.47117147620634,368.49824241226196,765.0144662684272,396.51622385616525,249.63680329657547,2.0992124999999997
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2,50.0,182.16420776305543,146.52006295460373,-35.6441448084517,135.44703934427852,204.3949593725057,68.94792002822717,54.99327108153097,2.0992124999999997
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2,100.0,-1.7524246237570205,53.32617847954364,55.078603103300665,-6.229190384964382,49.24724810871113,55.476438493675516,19.771946179832582,2.0992124999999997
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2,200.0,-55.06357076185806,-3.764472357531802,51.29909840432626,-43.43054881707717,-21.331417894276033,22.099130922801134,44.29492138434746,2.0992124999999997
31-08-26/map-data-2026.08.31-15.29.09.174.jpk-force-map,3,20.0,736.3122555408784,268.0946052603475,-468.21765028053085,331.5779992673118,482.758394853049,151.18039558573724,217.2605960402326,2.1
31-08-26/map-data-2026.08.31-15.29.09.174.jpk-force-map,3,50.0,50.0382997035971,-28.206288954445064,-78.24458865804216,10.934014955560468,16.065421624397647,5.1314066688371796,128.84726729281132,2.1
31-08-26/map-data-2026.08.31-15.29.09.174.jpk-force-map,3,100.0,-168.43224694596233,-96.66671047082805,71.76553647513428,-106.39069755295914,-84.70126976277727,21.689427790181867,122.75701433009911,2.1
31-08-26/map-data-2026.08.31-15.29.09.174.jpk-force-map,3,200.0,-123.26241943582303,-51.72929453013002,71.53312490569301,-50.974500389816285,-37.428203120463024,13.54629726935326,84.36312188144674,2.1
31-08-26/map-data-2026.08.31-15.55.19.495.jpk-force-map,4,20.0,814.0352947561271,192.0687794824965,-621.9665152736306,314.6913421889798,354.13123334407777,39.439891155097996,161.46205937407234,2.0986875
31-08-26/map-data-2026.08.31-15.55.19.495.jpk-force-map,4,50.0,10.176937089004628,-30.42329403667274,-40.60023112567737,16.320700731613556,-31.276563222726324,-47.59726395433988,101.89498007226183,2.0986875
31-08-26/map-data-2026.08.31-15.55.19.495.jpk-force-map,4,100.0,-150.17442143550122,-67.0742248438364,83.10019659166481,-54.591810741084515,-80.5721479148931,-25.98033717380858,93.21517405392756,2.0986875
31-08-26/map-data-2026.08.31-15.55.19.495.jpk-force-map,4,200.0,-97.98646728964133,19.2378456284199,117.22431291806123,-23.199678105512895,-47.40160669367569,-24.201928588162794,46.868505584950185,2.0986875
31-08-26/map-data-2026.08.31-16.20.38.892.jpk-force-map,5,20.0,609.8558618037052,254.47474728837184,-355.38111451533337,174.66754112178722,250.13519595836533,75.4676548365781,99.3198135945579,2.0992124999999997
31-08-26/map-data-2026.08.31-16.20.38.892.jpk-force-map,5,50.0,52.09468737060954,87.78375455587039,35.689067185260846,48.40863321440007,8.538602632521965,-39.870030581878105,15.559931854302425,2.0992124999999997
31-08-26/map-data-2026.08.31-16.20.38.892.jpk-force-map,5,100.0,-14.680129875478663,79.14330596729693,93.82343584277558,10.871500022863275,-42.82758215865593,-53.6990821815192,-0.6738425935623185,2.0992124999999997
31-08-26/map-data-2026.08.31-16.20.38.892.jpk-force-map,5,200.0,-4.252174427291727,69.66771508823528,73.919889515527,16.456366556054036,-10.432910078433519,-26.889276634487555,-7.891625525235456,2.0992124999999997
