source,timestamp,map_order,point_index,row,column,pixel_acquisition_order,global_InvOLS_used_nm_per_V,local_contact_InvOLS_nm_per_V,contact_fit_R2,terminal_load_nN,far_slope_pN_per_100nm,far_noise_pN,scanner_speed_um_per_s,gap_speed_20_200nm_um_per_s,approach_snap_detected,approach_snap_distance_nm,retract_free_baseline_valid,retract_snapoff_detected,retract_pull_off_censored,retract_pull_off_force_nN,retract_detachment_piezo_travel_nm
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,0,0,0,1,68.28960406065333,70.29471272286897,0.9994329698753268,14.131515805768137,-1.0486093772279812,11.146208458246134,1.00008063789559,0.9982403571346596,False,263.9424208630032,True,True,False,-1.0183034249381164,7.7478374832963945
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,1,0,1,2,68.28960406065333,62.92374501406513,0.9996785811598295,14.02630263140335,-2.808298148476858,8.592251191190751,1.0001512038912215,0.9982077715345624,True,8.857899819500025,True,True,False,-13.70883972670175,44.60954967545052
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,2,0,2,3,68.28960406065333,62.90114463147056,0.9996366600077099,13.9043786164689,-5.5407107636177795,9.853033160479182,1.0001486810237978,0.9990959299541392,False,106.02472104465782,True,True,False,-5.80694310514797,21.134572637506793
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,3,0,3,4,68.28960406065333,64.08039167574137,0.9997549995788525,14.21303744562409,-0.3899136496697735,17.878784677792435,1.0001450455319476,0.9983962710644225,False,274.5479148313692,True,True,False,-12.878365405740139,44.19922645188772
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,4,0,4,5,68.28960406065333,67.14818285496084,0.9997658163413422,13.993603681474378,-6.733916827381864,12.573672767605835,1.0001402412845946,0.9975822872826555,False,166.7151308273463,True,True,False,-5.597640674731133,18.842436859933176
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,5,0,5,6,68.28960406065333,75.88455919582817,0.9948223212970349,14.011541093394818,-6.146721160713298,9.243563383795752,1.000133348665806,0.9971588327403825,False,195.97555957902946,True,True,False,-6.953584601101977,31.03028268573728
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,6,0,6,7,68.28960406065333,75.18768638422898,0.9990035785640758,14.455088419566833,2.713728487898929,13.155177578829738,1.00012239998828,0.996422067729131,False,94.27552645058049,True,True,False,-6.20701557715809,23.642587421720425
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,7,0,7,8,68.28960406065333,94.13046779836922,0.9935453818649006,14.38848159259827,-1.124952843042579,16.51609419158705,1.0001258344517256,0.999012361554675,False,201.6989059390807,True,True,False,-4.2987938449827245,16.441020895609125
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,8,1,7,9,68.28960406065333,84.54872107205003,0.9992559634778686,14.491894446795483,-0.13196551133327308,13.318039292447523,1.0001466215657058,0.9974569567335366,False,290.16783966862846,True,True,False,-2.423141825882847,31.867181828029683
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,9,1,6,10,68.28960406065333,71.51869518471314,0.9970549781920383,14.073362945192509,-0.6202138297302224,10.756262629779583,1.0001513709089298,0.9955424304354608,False,349.67672352872194,True,True,False,-2.383728711657844,13.159668957854457
