before_map,after_map,pair,baseline_method,distance_nm,time_lag_min,paired_pixels,before_median_pN,after_median_pN,paired_difference_after_minus_before_mean_pN,paired_difference_after_minus_before_median_pN,paired_difference_q25_pN,paired_difference_q75_pN,fraction_after_greater_before,paired_t_p_value,Wilcoxon_p_value,row_block_Wilcoxon_p_value,Pearson_r_before_after,Spearman_rho_before_after,Theil_Sen_delta_endpoint_change_pN,Theil_Sen_delta_endpoint_low_pN,Theil_Sen_delta_endpoint_high_pN
2,3,map2_to_map3,linear_drift_corrected,20.0,27.161,64,392.35065384843665,343.32343321474156,-14.690348999813107,-32.35600442437051,-136.23343735687476,73.47422057493384,0.4375,0.5958680967182384,0.27568527605631776,0.9453125,0.7159392995897926,0.7956043956043954,-5.611841784446483,-148.70396529923067,165.62983387365725
2,3,map2_to_map3,linear_drift_corrected,50.0,27.161,64,135.67832693433365,62.33697884967705,-30.63638107991126,-28.584825444441314,-106.27364141265681,66.04527352971363,0.4375,0.03557545708572587,0.05245552648181837,0.9453125,0.5874730234386043,0.5265567765567765,83.23820375667157,-34.94959806888429,191.3740691304892
2,3,map2_to_map3,linear_drift_corrected,100.0,27.161,64,-8.659321240116961,-15.2347341054585,-11.803891359121735,-12.10516950121956,-112.57101964033328,73.00606892870414,0.484375,0.42214057167797514,0.4069626274850596,0.84375,0.4345997234852266,0.4066849816849817,117.29444496277193,13.148395738897008,234.20201931360938
2,3,map2_to_map3,linear_drift_corrected,200.0,27.161,64,-38.50069759549231,6.6496989956162675,25.40628068401459,16.01585157759632,-43.08007512429654,91.65651765792524,0.546875,0.0379228485901579,0.08813593401248211,0.3125,0.3821035852664852,0.3771062271062271,40.05924360064836,-44.0845349083376,143.41529024026735
2,3,map2_to_map3,far_constant_referenced,20.0,27.161,64,402.70058242376444,358.6447205533797,-14.33377620756307,-35.19404564721354,-106.24587292183473,33.189400678377815,0.34375,0.5832167794838135,0.06789715365025045,0.0234375,0.6974032236261944,0.8428571428571427,-77.61849423230898,-206.25971422104627,55.49234779519729
2,3,map2_to_map3,far_constant_referenced,50.0,27.161,64,150.59357995060765,105.46118890507587,-30.327777450383877,-31.159152923022212,-75.73157909771352,11.246644833226012,0.328125,0.00022304809972340724,0.000531954440566536,0.0546875,0.6126384456251988,0.6226190476190475,-2.2248484556453425,-66.51940973152965,58.392333815392554
2,3,map2_to_map3,far_constant_referenced,100.0,27.161,64,41.198046909061134,30.244873277247677,-11.52154034086858,-11.056087373022738,-38.021084048753266,15.23089370832529,0.40625,0.011676677146956011,0.018241012892888434,0.3125,0.3477563232177538,0.3188644688644688,32.985700799346816,1.1860291058831602,68.00014363820364
2,3,map2_to_map3,far_constant_referenced,200.0,27.161,64,6.953344308100017,38.306262430747104,25.573296015902002,34.686661094885025,7.997840435677428,52.217163976601185,0.796875,2.0496883880607306e-07,1.7393499679331598e-06,0.0390625,0.22234793109901035,0.27628205128205124,-16.333674608990968,-47.20175252673112,10.283505907830197
2,4,map2_to_map4,linear_drift_corrected,20.0,53.33301666666667,64,392.35065384843665,259.07078910786294,-130.47024697850213,-107.70970124346832,-235.94825765549012,9.894264287891296,0.265625,5.47439653511548e-06,5.258763478792238e-06,0.015625,0.6426064308204028,0.7586538461538461,-42.15184576269523,-215.61985706893535,116.26581413426317
2,4,map2_to_map4,linear_drift_corrected,50.0,53.33301666666667,64,135.67832693433365,38.023205976069235,-74.14928783949881,-60.61086773195045,-163.07553201304933,-1.5262865555580787,0.25,9.271468713729148e-06,3.3796051027549454e-05,0.109375,0.28356720164041327,0.25357142857142856,31.78304262381726,-83.98774547144696,154.84892472417172
