baseline_method,distance_nm,map2_median_pN,map3_median_pN,map4_median_pN,map5_median_pN,pixel_time_slope_median_pN_per_min,pixel_time_slope_q25_pN_per_min,pixel_time_slope_q75_pN_per_min,fitted_full_interval_change_median_pN,fitted_full_interval_change_q25_pN,fitted_full_interval_change_q75_pN,fraction_negative_time_slope,fraction_strict_monotonic_decrease,fraction_strict_monotonic_increase,pixel_slope_Wilcoxon_p_value,row_block_slope_Wilcoxon_p_value,total_time_span_min
linear_drift_corrected,20.0,392.35065384843665,343.32343321474156,259.07078910786294,144.44059012742605,-2.71324631804827,-4.246163567161712,-1.4327306017992072,-213.41391636630016,-333.9875153877418,-112.69328803429897,0.9375,0.296875,0.0,7.488704563214638e-12,0.0078125,78.6563
linear_drift_corrected,50.0,135.67832693433365,62.33697884967705,38.023205976069235,26.036856573151425,-1.2632282748793564,-2.370585784392568,-0.30295638026407334,-99.36086215739311,-186.46150663291715,-23.829427932965032,0.796875,0.140625,0.0,1.4761174513991332e-08,0.0078125,78.6563
linear_drift_corrected,100.0,-8.659321240116961,-15.2347341054585,-12.736666576312867,-8.623712937339743,-0.13305444848407338,-1.1191584889128292,0.7462218846516729,-10.465570616297821,-88.02886585147417,58.69505242572738,0.546875,0.0625,0.046875,0.2876399194327771,0.640625,78.6563
linear_drift_corrected,200.0,-38.50069759549231,6.6496989956162675,-4.51351301683168,-4.2804993054185845,0.45156924916936925,-0.5675641391887187,1.131590374528144,35.51876633344066,-44.64249520126961,89.00671197599804,0.375,0.0625,0.0625,0.10997319689394638,0.1953125,78.6563
far_constant_referenced,20.0,402.70058242376444,358.6447205533797,250.5134211807901,161.93910298190286,-2.9713574970224315,-4.319384178371273,-1.7278840195160734,-233.71598669304547,-339.7467777492243,-135.90896380426213,0.953125,0.640625,0.0,7.146616708287586e-12,0.0078125,78.6563
far_constant_referenced,50.0,150.59357995060765,105.46118890507587,60.939037024241344,42.1146917083222,-1.455027684955295,-2.068522125365824,-0.957231400952521,-114.44709409614917,-162.70229684941185,-75.29228024274178,1.0,0.4375,0.0,3.5254980732707397e-12,0.0078125,78.6563
far_constant_referenced,100.0,41.198046909061134,30.244873277247677,11.24742829032025,18.170350811662477,-0.35211388809045785,-0.6876961265539114,-0.040564408842374534,-27.69597561580948,-54.09163283906242,-3.190646311228464,0.8125,0.140625,0.015625,1.7929352721496346e-08,0.0078125,78.6563
far_constant_referenced,200.0,6.953344308100017,38.306262430747104,28.859602878470103,20.921674737121986,0.16565445288389918,-0.15064223894820097,0.3890448405174234,13.02976634237184,-11.84896113938138,30.60082768919061,0.375,0.03125,0.078125,0.022581658649974103,0.1953125,78.6563
