dataset_type,baseline_method,fit_variant,nominal_speed_um_per_s,parameter,unit,n,median,q25,q75,minimum,maximum
palindrome_Fsym,linear_drift_corrected,measurement_window_20_200nm,0.05,lambda_D_nm,nm,5,13.44207608814922,12.616612944575133,20.294088553975286,9.190199357757056,20.94745836293309
palindrome_Fsym,linear_drift_corrected,measurement_window_20_200nm,0.05,zeta_magnitude_mV,mV,5,62.5,62.5,67.0,41.5,71.5
palindrome_Fsym,linear_drift_corrected,measurement_window_20_200nm,0.1,lambda_D_nm,nm,4,17.08446668004323,13.874844806111179,20.294088553975286,13.874844806111179,20.294088553975286
palindrome_Fsym,linear_drift_corrected,measurement_window_20_200nm,0.1,zeta_magnitude_mV,mV,4,64.75,60.625,69.625,59.5,73.0
palindrome_Fsym,linear_drift_corrected,measurement_window_20_200nm,0.2,lambda_D_nm,nm,5,14.7826298876199,14.321546547664008,20.294088553975286,8.62583929892546,20.294088553975286
palindrome_Fsym,linear_drift_corrected,measurement_window_20_200nm,0.2,zeta_magnitude_mV,mV,5,59.5,58.0,70.0,44.5,73.0
palindrome_Fsym,linear_drift_corrected,previous_primary_10_250nm,0.05,lambda_D_nm,nm,5,13.02280581041226,12.616612944575133,20.294088553975286,8.903548887106776,20.294088553975286
palindrome_Fsym,linear_drift_corrected,previous_primary_10_250nm,0.05,zeta_magnitude_mV,mV,5,65.5,64.0,71.5,44.5,73.0
palindrome_Fsym,linear_drift_corrected,previous_primary_10_250nm,0.1,lambda_D_nm,nm,4,16.551587008558215,13.44207608814922,19.819345585219228,13.44207608814922,20.294088553975286
palindrome_Fsym,linear_drift_corrected,previous_primary_10_250nm,0.1,zeta_magnitude_mV,mV,4,67.0,63.625,71.125,62.5,74.5
palindrome_Fsym,linear_drift_corrected,previous_primary_10_250nm,0.2,lambda_D_nm,nm,5,13.874844806111179,13.874844806111179,20.294088553975286,8.62583929892546,20.294088553975286
palindrome_Fsym,linear_drift_corrected,previous_primary_10_250nm,0.2,zeta_magnitude_mV,mV,5,62.5,61.0,71.5,46.0,74.5
