baseline_method,fit_variant,parameter,block,low_speed_um_per_s,high_speed_um_per_s,low_value,high_value,high_minus_low,log_high_over_low,high_vs_low_percent
linear_drift_corrected,previous_primary_10_250nm,lambda_D_nm,3,0.048016408350180846,0.19165641955162213,20.294088553975286,20.294088553975286,0.0,0.0,0.0
linear_drift_corrected,previous_primary_10_250nm,lambda_D_nm,4,0.04925536853190737,0.1968899240691211,13.02280581041226,13.874844806111179,0.8520389956989192,0.06337536082951331,6.542668362740067
linear_drift_corrected,previous_primary_10_250nm,lambda_D_nm,5,0.04992569032215696,0.1997452400244206,8.903548887106776,8.62583929892546,-0.27770958818131675,-0.03168768041475654,-3.119088710609175
linear_drift_corrected,previous_primary_10_250nm,zeta_magnitude_mV,3,0.048016408350180846,0.19165641955162213,71.5,71.5,0.0,0.0,0.0
linear_drift_corrected,previous_primary_10_250nm,zeta_magnitude_mV,4,0.04925536853190737,0.1968899240691211,65.5,61.0,-4.5,-0.071176278467895,-6.870229007633588
linear_drift_corrected,previous_primary_10_250nm,zeta_magnitude_mV,5,0.04992569032215696,0.1997452400244206,44.5,46.0,1.5,0.03315220731690055,3.370786516853941
linear_drift_corrected,measurement_window_20_200nm,lambda_D_nm,3,0.048016408350180846,0.19165641955162213,20.94745836293309,20.294088553975286,-0.6533698089578053,-0.03168768041475665,-3.119088710609186
linear_drift_corrected,measurement_window_20_200nm,lambda_D_nm,4,0.04925536853190737,0.1968899240691211,13.44207608814922,14.321546547664008,0.8794704595147884,0.06337536082951352,6.5426683627400894
linear_drift_corrected,measurement_window_20_200nm,lambda_D_nm,5,0.04992569032215696,0.1997452400244206,9.190199357757056,8.62583929892546,-0.5643600588315962,-0.06337536082951335,-6.14089027737188
linear_drift_corrected,measurement_window_20_200nm,zeta_magnitude_mV,3,0.048016408350180846,0.19165641955162213,67.0,70.0,3.0,0.04380262265839284,4.477611940298498
linear_drift_corrected,measurement_window_20_200nm,zeta_magnitude_mV,4,0.04925536853190737,0.1968899240691211,62.5,58.0,-4.5,-0.07472354619593642,-7.199999999999996
linear_drift_corrected,measurement_window_20_200nm,zeta_magnitude_mV,5,0.04992569032215696,0.1997452400244206,41.5,44.5,3.0,0.06979576193554192,7.2289156626506035
far_constant_referenced,previous_primary_10_250nm,lambda_D_nm,3,0.048016408350180846,0.19165641955162213,20.94745836293309,20.294088553975286,-0.6533698089578053,-0.03168768041475665,-3.119088710609186
far_constant_referenced,previous_primary_10_250nm,lambda_D_nm,4,0.04925536853190737,0.1968899240691211,13.44207608814922,14.321546547664008,0.8794704595147884,0.06337536082951352,6.5426683627400894
far_constant_referenced,previous_primary_10_250nm,lambda_D_nm,5,0.04992569032215696,0.1997452400244206,9.190199357757056,9.190199357757056,0.0,0.0,0.0
far_constant_referenced,previous_primary_10_250nm,zeta_magnitude_mV,3,0.048016408350180846,0.19165641955162213,68.5,71.5,3.0,0.042863704431782314,4.379562043795615
far_constant_referenced,previous_primary_10_250nm,zeta_magnitude_mV,4,0.04925536853190737,0.1968899240691211,64.0,59.5,-4.5,-0.07290677080808779,-7.03125
far_constant_referenced,previous_primary_10_250nm,zeta_magnitude_mV,5,0.04992569032215696,0.1997452400244206,43.0,41.5,-1.5,-0.03550668845690976,-3.488372093023251
far_constant_referenced,measurement_window_20_200nm,lambda_D_nm,3,0.048016408350180846,0.19165641955162213,20.94745836293309,20.294088553975286,-0.6533698089578053,-0.03168768041475665,-3.119088710609186
far_constant_referenced,measurement_window_20_200nm,lambda_D_nm,4,0.04925536853190737,0.1968899240691211,13.874844806111179,14.7826298876199,0.9077850815087203,0.06337536082951331,6.542668362740067
far_constant_referenced,measurement_window_20_200nm,lambda_D_nm,5,0.04992569032215696,0.1997452400244206,9.190199357757056,9.190199357757056,0.0,0.0,0.0
far_constant_referenced,measurement_window_20_200nm,zeta_magnitude_mV,3,0.048016408350180846,0.19165641955162213,67.0,70.0,3.0,0.04380262265839284,4.477611940298498
far_constant_referenced,measurement_window_20_200nm,zeta_magnitude_mV,4,0.04925536853190737,0.1968899240691211,61.0,56.5,-4.5,-0.07663322602091596,-7.377049180327866
far_constant_referenced,measurement_window_20_200nm,zeta_magnitude_mV,5,0.04992569032215696,0.1997452400244206,41.5,40.0,-1.5,-0.036813973122716316,-3.6144578313253017
