concentration_wt_percent,load_regime,preferred_primary_model,preferred_primary_delta_aicc,lambda_all_tested_min_nm,lambda_all_tested_max_nm,zeta_all_tested_min_mV,zeta_all_tested_max_mV,M2_lambda_window_scale_min_nm,M2_lambda_window_scale_max_nm,M2_zeta_window_scale_min_mV,M2_zeta_window_scale_max_mV,M2_chi_min,M2_chi_max,claim_boundary
0,main,M2_fitted_chi,0.0,18.127318870237016,20.061551532798386,68.25259449284788,82.25737173520251,18.127318870237016,20.061551532798386,68.25259449284788,82.25737173520251,-12.614707578440772,-0.06264318853939094,exploratory_systematic_range_not_velocity_identified_parameter
20,main,M0_no_hydrodynamic,0.0,17.293644324508094,18.688679033172633,70.87105191722732,86.28797213636315,17.293644324508094,18.688679033172633,70.87105191722732,86.28797213636315,-1.8792931661226975,18.79222705159113,exploratory_systematic_range_not_velocity_identified_parameter
30,high_load,M2_fitted_chi,0.0,15.537700640024871,16.81980653217119,71.36378063299809,88.27583963970434,15.537700640024871,16.81980653217119,71.36378063299809,88.27583963970434,-3.5416295781254683,9.044834035815047,exploratory_systematic_range_not_velocity_identified_parameter
40,main,M2_fitted_chi,0.0,18.93357752338442,24.119433139365988,70.84367667196558,99.32588212705183,18.93357752338442,24.119433139365988,70.84367667196558,99.32588212705183,-9.026553651759555,11.007480920318448,exploratory_systematic_range_not_velocity_identified_parameter
