concentration_wt_percent,slow_speed_um_per_s,fast_speed_um_per_s,comparison,slow_map_timestamp,fast_map_timestamp,distance_nm,paired_pixel_count,spatial_block_size_pixels,spatial_block_count,slow_force_q25_pN,slow_force_median_pN,slow_force_q75_pN,fast_force_q25_pN,fast_force_median_pN,fast_force_q75_pN,median_difference_fast_minus_slow_pN,difference_mad_pN,robust_effect_median_over_mad,difference_pointwise_ci95_low_pN,difference_pointwise_ci95_high_pN,difference_simultaneous_ci95_low_pN,difference_simultaneous_ci95_high_pN,paired_dominance_fast_gt_slow,dominance_pointwise_ci95_low,dominance_pointwise_ci95_high,dominance_simultaneous_ci95_low,dominance_simultaneous_ci95_high,bootstrap_median_positive_fraction,bootstrap_median_negative_fraction,simultaneous_force_difference_excludes_zero,inference_scope
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,25.0,255,4,16,1838.645870018551,1902.4839356571,1957.6647163069574,1861.892483452561,1931.3414511056449,1977.2680785027533,21.955377712517475,112.54187933668831,0.19508629002750347,3.922759752510501,42.53128213599666,-13.960066639303164,57.870822064338114,0.596078431372549,0.546875,0.64453125,0.5140475780295084,0.6781092847155896,1.0,0.0,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,50.0,255,4,16,479.0468909799181,514.4234970449016,544.8554630559058,532.9749127941175,572.9783459798168,596.9906470105647,52.95389109036694,56.10185694293262,0.9438883840196622,40.1213782606053,62.948613041633735,27.538957211073118,78.36882496966075,0.8313725490196079,0.7843137254901961,0.8779527559055118,0.7538932308654298,0.908851867173786,1.0,0.0,True,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,100.0,255,4,16,14.82935902791331,35.88408132121935,57.44939925864958,27.575030710803116,57.60297987302009,79.72877037936132,16.89540323994322,40.474430084129914,0.41743399980739776,11.578621141150503,21.33153301333172,8.035547216817436,25.755259263069007,0.6588235294117647,0.6078431372549019,0.7098039215686275,0.5747479725766362,0.7428990862468932,1.0,0.0,True,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,150.0,255,4,16,-28.71420932645499,-12.04570369534152,9.098058904151927,-27.794624256518702,-3.5207331702454563,14.924753673264641,1.616197334785472,38.67572952078,0.04178841239224999,-3.3722566977543345,6.900559500473424,-9.132671108760732,12.365065778331676,0.5137254901960784,0.4745098039215686,0.5568627450980392,0.4445323126827816,0.5829186677093752,0.7192,0.2808,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,200.0,255,4,16,-30.693423925385687,-15.102483565241613,8.298119436959809,-31.033605654161935,-8.044701637697639,9.699551913565866,-1.4454129878147626,34.61494623808677,-0.041756904022701526,-5.021122464353504,3.2171376420282396,-9.761026433520628,6.870200457891103,0.47843137254901963,0.43529411764705883,0.5215686274509804,0.40722735746101424,0.549635387637025,0.1611,0.8389,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,250.0,255,4,16,-25.055112410341238,-9.74315146777438,8.284750056341682,-25.70586597990419,-5.788452546248128,13.590208931631963,-0.840958638452463,35.30039429215813,-0.023822924794901775,-5.145404101360175,4.974130562889144,-9.768049553384635,8.08613227647971,0.49019607843137253,0.4409448818897638,0.5411764705882353,0.40726151144835765,0.5731306454143874,0.3287,0.6713,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,2,4,F_4_minus_F_2,2026-08-20T15:01:47.915000,2026-08-20T15:15:57.076000,25.0,255,4,16,1861.892483452561,1931.3414511056449,1977.2680785027533,1739.4496960434617,1819.7009858024603,1881.0576258688384,-94.11124193544492,124.26702258914513,-0.7573307863551054,-114.84396124956766,-79.5100878201713,-132.696752235627,-55.52573163526286,0.19215686274509805,0.13333333333333333,0.2559055118110236,0.08963486826368759,0.2946788572265085,0.0,1.0,True,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,2,4,F_4_minus_F_2,2026-08-20T15:01:47.915000,2026-08-20T15:15:57.076000,50.0,255,4,16,532.9749127941175,572.9783459798168,596.9906470105647,404.69227144861077,447.22220328625207,475.98146406245155,-128.52705532973135,60.23147708450537,-2.1338851635566995,-139.10833708282354,-118.15189917985134,-149.00714542674393,-108.04696523271878,0.043137254901960784,0.01568627450980392,0.07421875,0.0,0.08984462788496216,0.0,1.0,True,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,2,4,F_4_minus_F_2,2026-08-20T15:01:47.915000,2026-08-20T15:15:57.076000,100.0,255,4,16,27.575030710803116,57.60297987302009,79.72877037936132,-8.006540327899101,13.21420224405304,37.271594945229154,-44.7113102135873,42.75138796859487,-1.0458446459430086,-53.077235985895456,-36.7985969489236,-61.72449256417282,-27.698127863001787,0.1607843137254902,0.10546875,0.2283464566929134,0.057195943955666614,0.2643726834953138,0.0,1.0,True,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,2,4,F_4_minus_F_2,2026-08-20T15:01:47.915000,2026-08-20T15:15:57.076000,150.0,255,4,16,-27.794624256518702,-3.5207331702454563,14.924753673264641,-44.24348747860088,-20.968220540408396,-1.2666775273618924,-19.625196402419263,36.66961910236922,-0.5351895351743995,-26.40805203699301,-14.417407832444688,-33.203281933670354,-6.047110871168174,0.3215686274509804,0.25,0.39215686274509803,0.2033074271327927,0.4398298277691681,0.0,1.0,True,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,2,4,F_4_minus_F_2,2026-08-20T15:01:47.915000,2026-08-20T15:15:57.076000,200.0,255,4,16,-31.033605654161935,-8.044701637697639,9.699551913565866,-45.583879472863224,-25.543037931532794,-6.793212868767574,-18.610139469520824,33.53831610444402,-0.5548918857931234,-25.342295368167214,-12.53775413642001,-31.39840977545463,-5.821869163587019,0.3176470588235294,0.25390625,0.3828125,0.21185264074020727,0.4234414769068515,0.0,1.0,True,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
