pair_id,concentration_wt_percent,primary_included,load_regime,speed_first_um_per_s,speed_second_um_per_s,same_speed_control,response,predictor,paired_pixel_count,pearson_r,spearman_rho,robust_slope,robust_intercept,robust_inliers
c20_main_155955_1_to_160919_4,20,True,main,1.00017199010353,4.00274158490682,False,delta_snap_distance_nm,delta_contact_height_nm,158,-0.12760925201612544,-0.15128263247327564,-0.06107098787819387,-0.10732182669026935,155
c20_main_155955_1_to_160919_4,20,True,main,1.00017199010353,4.00274158490682,False,delta_snap_distance_nm,delta_terminal_load_nN,158,-0.027743466148232584,0.008623902616378569,-0.6408131426093066,-2.169644622258712,158
c20_main_155955_1_to_160919_4,20,True,main,1.00017199010353,4.00274158490682,False,delta_snap_distance_nm,delta_far_slope_pN_per_100nm,158,0.0012443389070538123,0.035607636010155784,-0.001420860828843479,-1.8970772615375933,155
c30_low_load_162049_2_to_162444_2,30,True,low_load,2.000701279094644,2.000698613716714,True,delta_snap_distance_nm,delta_contact_invOLS_nm_per_V,100,-0.0552163747629594,0.023678367836783676,-0.1601834064686044,1.0925733234159116,100
c30_low_load_162049_2_to_162444_2,30,True,low_load,2.000701279094644,2.000698613716714,True,delta_snap_distance_nm,delta_contact_height_nm,100,0.15723599682862863,0.17550555055505548,0.14448680657379928,-27.571031050134334,100
c30_low_load_162049_2_to_162444_2,30,True,low_load,2.000701279094644,2.000698613716714,True,delta_snap_distance_nm,delta_terminal_load_nN,100,-0.07738093983295949,-0.10385838583858385,-5.484350243698151,1.271187625576475,100
c30_low_load_162049_2_to_162444_2,30,True,low_load,2.000701279094644,2.000698613716714,True,delta_snap_distance_nm,delta_far_slope_pN_per_100nm,100,-0.057478594742500846,-0.025334533453345333,-0.0764133124757504,1.3937010638379888,100
c30_high_load_162734_2_to_163753_1,30,True,high_load,2.0006948003103613,1.0001704103420987,False,delta_snap_distance_nm,delta_contact_invOLS_nm_per_V,73,-0.029056850749265815,-0.014284832777983467,-0.42802044939373335,-3.3203962176974775,73
c30_high_load_162734_2_to_163753_1,30,True,high_load,2.0006948003103613,1.0001704103420987,False,delta_snap_distance_nm,delta_contact_height_nm,73,-0.019220887230560913,0.03424657534246576,-0.023076502370729328,-1.775758932553446,73
c30_high_load_162734_2_to_163753_1,30,True,high_load,2.0006948003103613,1.0001704103420987,False,delta_snap_distance_nm,delta_terminal_load_nN,73,0.09105709258556453,-0.01116870294952487,3.3020781210580297,-3.3825104967182087,73
c30_high_load_162734_2_to_163753_1,30,True,high_load,2.0006948003103613,1.0001704103420987,False,delta_snap_distance_nm,delta_far_slope_pN_per_100nm,73,0.1491965217396471,0.04794520547945206,0.06850677093425454,-4.143578809106917,73
c30_high_load_162734_2_to_164202_1,30,True,high_load,2.0006948003103613,1.0001721841168327,False,delta_snap_distance_nm,delta_contact_invOLS_nm_per_V,128,-0.10024305766920454,-0.14439891961179271,-0.5176358610381646,-3.655736550727849,123
c30_high_load_162734_2_to_164202_1,30,True,high_load,2.0006948003103613,1.0001721841168327,False,delta_snap_distance_nm,delta_contact_height_nm,128,0.0012468708805063484,-0.09697170847830065,-0.34892488903508545,3.3570962865437304,124
c30_high_load_162734_2_to_164202_1,30,True,high_load,2.0006948003103613,1.0001721841168327,False,delta_snap_distance_nm,delta_terminal_load_nN,128,0.14577062811051908,0.1990764054202527,1.1213014656439921,-2.996820781494294,125
